"study" "esid" "id" "yi" "vi" "pubstatus" "year" "deltype"
1 1 1 0.9066 0.074 1 4.5 "general"
1 2 2 0.4295 0.0398 1 4.5 "general"
1 3 3 0.2679 0.0481 1 4.5 "general"
1 4 4 0.2078 0.0239 1 4.5 "general"
1 5 5 0.0526 0.0331 1 4.5 "general"
1 6 6 -0.0507 0.0886 1 4.5 "general"
2 1 7 0.5117 0.0115 1 1.5 "general"
2 2 8 0.4738 0.0076 1 1.5 "general"
2 3 9 0.3544 0.0065 1 1.5 "general"
3 1 10 2.2844 0.3325 1 -8.5 "general"
3 2 11 2.1771 0.3073 1 -8.5 "general"
3 3 12 1.7777 0.2697 1 -8.5 "general"
3 4 13 1.548 0.4533 1 -8.5 "general"
3 5 14 1.4855 0.1167 1 -6.5 "general"
3 6 15 1.4836 0.1706 1 -6.5 "general"
3 7 16 1.2777 0.1538 1 -8.5 "general"
3 8 17 1.0311 0.3132 1 -8.5 "general"
3 9 18 0.9409 0.1487 1 -6.5 "general"
3 10 19 0.6263 0.2139 1 -6.5 "general"
4 1 20 -0.0447 0.0331 1 -7.5 "general"
5 1 21 1.549 0.1384 1 -11.5 "general"
6 1 22 0.7516 0.0477 1 5.5 "general"
6 2 23 0.3979 0.0449 1 5.5 "general"
6 3 24 0.2062 0.3533 1 5.5 "general"
6 4 25 -0.2927 0.0758 1 5.5 "general"
6 5 26 -0.5067 0.0314 1 5.5 "general"
7 1 27 1.7083 0.0729 1 3.5 "general"
7 2 28 0.8003 0.0815 1 3.5 "general"
7 3 29 0.7268 0.1394 1 3.5 "general"
7 4 30 0.6569 0.0943 1 3.5 "general"
7 5 31 0.5569 0.1355 1 3.5 "general"
7 6 32 0.3504 0.0763 1 3.5 "general"
8 1 33 0.3695 0.0199 1 1.5 "general"
9 1 34 0.1048 0.0331 1 5.5 "general"
9 2 35 0.1748 0.0346 1 5.5 "general"
10 1 36 0.4549 0.0278 1 4.5 "general"
10 2 37 0.3161 0.0185 1 4.5 "general"
10 3 38 0.0826 0.0328 1 4.5 "general"
10 4 39 0.0221 0.0612 1 4.5 "general"
10 5 40 -0.0199 0.0127 1 4.5 "general"
11 1 41 2.358 0.1226 0 -6.5 "general"
11 2 42 2.358 0.1226 0 -6.5 "general"
11 3 43 2.3157 0.2416 0 -6.5 "general"
11 4 44 2.0765 0.0844 0 -6.5 "general"
11 5 45 2.0034 0.078 0 -6.5 "general"
11 6 46 1.7716 0.0723 0 -6.5 "general"
11 7 47 1.4918 0.0701 0 -6.5 "general"
11 8 48 1.4476 0.0422 0 -6.5 "general"
11 9 49 1.2897 0.0663 0 -6.5 "overt"
11 10 50 1.2637 0.0935 0 -6.5 "overt"
11 11 51 1.2423 0.0392 0 -6.5 "general"
11 12 52 1.1769 0.0387 0 -6.5 "general"
11 13 53 1.076 0.0391 0 -6.5 "general"
11 14 54 1.0653 0.038 0 -6.5 "overt"
11 15 55 1.0379 0.1651 0 -6.5 "general"
11 16 56 1.0101 0.0586 0 -6.5 "overt"
11 17 57 1.0087 0.0386 0 -6.5 "overt"
11 18 58 0.8765 0.0893 0 -6.5 "general"
11 19 59 0.8615 0.1591 0 -6.5 "overt"
11 20 60 0.8531 0.035 0 -6.5 "general"
11 21 61 0.6999 0.0353 0 -6.5 "general"
11 22 62 0.6947 0.0353 0 -6.5 "general"
12 1 63 0.2994 0.0041 0 4.5 "overt"
12 2 64 0.2992 0.0042 0 4.5 "general"
12 3 65 0.2989 0.0041 0 4.5 "overt"
12 4 66 0.291 0.0042 0 4.5 "overt"
12 5 67 0.217 0.0041 0 4.5 "overt"
13 1 68 0.3874 0.0138 1 -3.5 "general"
13 2 69 0.2178 0.0137 1 -3.5 "general"
14 1 70 0.4571 0.01 1 -1.5 "general"
14 2 71 0.1947 0.0059 1 -1.5 "general"
14 3 72 0.0239 0.0025 1 -1.5 "general"
14 4 73 -0.0575 0.0032 1 -1.5 "general"
14 5 74 -0.119 0.0789 1 -1.5 "general"
14 6 75 -0.2945 0.0179 1 -1.5 "general"
15 1 76 0.713 0.1537 1 -13.5 "general"
15 2 77 0.399 0.2334 1 -13.5 "general"
15 3 78 -0.7645 0.1674 1 -13.5 "general"
16 1 79 0.7156 0.0914 1 2.5 "overt"
16 2 80 0.7067 0.0875 1 2.5 "covert"
16 3 81 0.6475 0.033 1 2.5 "general"
16 4 82 0.6428 0.0861 1 2.5 "covert"
16 5 83 0.6271 0.04 1 2.5 "general"
16 6 84 0.6238 0.068 1 2.5 "general"
16 7 85 0.6025 0.1287 1 2.5 "overt"
16 8 86 0.5763 0.0332 1 2.5 "general"
16 9 87 0.5171 0.0517 1 2.5 "covert"
16 10 88 -0.3797 0.039 1 2.5 "covert"
16 11 89 -0.4228 0.0664 1 2.5 "covert"
16 12 90 -0.4245 0.0809 1 2.5 "covert"
16 13 91 -0.4671 0.0667 1 2.5 "covert"
16 14 92 -0.523 0.0988 1 2.5 "overt"
16 15 93 -0.5675 0.034 1 2.5 "covert"
16 16 94 -0.7586 0.0437 1 2.5 "covert"
17 1 95 0.3453 0.034 1 5.5 "general"
17 2 96 0.1221 0.0158 1 5.5 "general"
17 3 97 0.0906 0.0107 1 5.5 "general"
17 4 98 0.004 0.0208 1 5.5 "general"
17 5 99 -0.0207 0.0123 1 5.5 "general"
17 6 100 -0.066 0.01 1 5.5 "general"
