author      year  country     rehabtype      lohs1  lohs2  mage  nti nci  multidim assign   meetings        fup  conc  blind  itt  outcome    time         or     lb     ub     ai   n1i   ci   n2i
Applegate   1990  USA         general        21     23.6   78.8   78  77  yes      yes      weekly          no   yes   yes    yes  function   discharge    NA     NA     NA     NA    NA   NA    NA
Applegate   1990  USA         general        21     23.6   78.8   78  77  yes      yes      weekly          no   yes   yes    yes  function   followup   1.11   0.51   2.39     NA    NA   NA    NA
Applegate   1990  USA         general        21     23.6   78.8   78  77  yes      yes      weekly          no   yes   yes    yes  admission  discharge    NA     NA     NA      6    78   17    77
Applegate   1990  USA         general        21     23.6   78.8   78  77  yes      yes      weekly          no   yes   yes    yes  admission  followup     NA     NA     NA      7    78   15    77
Applegate   1990  USA         general        21     23.6   78.8   78  77  yes      yes      weekly          no   yes   yes    yes  mortality  discharge    NA     NA     NA     NA    NA   NA    NA
Applegate   1990  USA         general        21     23.6   78.8   78  77  yes      yes      weekly          no   yes   yes    yes  mortality  followup     NA     NA     NA     16    78   19    77
Cohen       2002  USA         general        NA     23.2   74.2  694 694  yes      yes      "twice a week"  yes  yes   yes    yes  function   discharge  1.35   1.11   1.63     NA    NA   NA    NA
Cohen       2002  USA         general        NA     23.2   74.2  694 694  yes      yes      "twice a week"  yes  yes   yes    yes  function   followup   0.97   0.78   1.21     NA    NA   NA    NA
Cohen       2002  USA         general        NA     23.2   74.2  694 694  yes      yes      "twice a week"  yes  yes   yes    yes  admission  discharge    NA     NA     NA     NA    NA   NA    NA
Cohen       2002  USA         general        NA     23.2   74.2  694 694  yes      yes      "twice a week"  yes  yes   yes    yes  admission  followup     NA     NA     NA    127   694  177   694
Cohen       2002  USA         general        NA     23.2   74.2  694 694  yes      yes      "twice a week"  yes  yes   yes    yes  mortality  discharge    NA     NA     NA     NA    NA   NA    NA
Cohen       2002  USA         general        NA     23.2   74.2  694 694  yes      yes      "twice a week"  yes  yes   yes    yes  mortality  followup     NA     NA     NA    150   694  147   694
Fleming     2004  UK          general        35     16.3   81.5   81  84  no       no       no              no   no    yes    yes  function   discharge    NA     NA     NA     NA    NA   NA    NA
Fleming     2004  UK          general        35     16.3   81.5   81  84  no       no       no              no   no    yes    yes  function   followup     NA     NA     NA     NA    NA   NA    NA
Fleming     2004  UK          general        35     16.3   81.5   81  84  no       no       no              no   no    yes    yes  admission  discharge    NA     NA     NA     NA    NA   NA    NA
Fleming     2004  UK          general        35     16.3   81.5   81  84  no       no       no              no   no    yes    yes  admission  followup     NA     NA     NA     25    81   21    84
Fleming     2004  UK          general        35     16.3   81.5   81  84  no       no       no              no   no    yes    yes  mortality  discharge    NA     NA     NA     NA    NA   NA    NA
Fleming     2004  UK          general        35     16.3   81.5   81  84  no       no       no              no   no    yes    yes  mortality  followup     NA     NA     NA     22    81   23    84
Karppi      1995  Finland     general        0      16.5   78.5  104 208  yes      NA       NA              no   no    no     yes  function   discharge    NA     NA     NA     NA    NA   NA    NA
Karppi      1995  Finland     general        0      16.5   78.5  104 208  yes      NA       NA              no   no    no     yes  function   followup   1.13   0.73   1.72     NA    NA   NA    NA
Karppi      1995  Finland     general        0      16.5   78.5  104 208  yes      NA       NA              no   no    no     yes  admission  discharge    NA     NA     NA     NA    NA   NA    NA
Karppi      1995  Finland     general        0      16.5   78.5  104 208  yes      NA       NA              no   no    no     yes  admission  followup     NA     NA     NA     11   104   18   208
Karppi      1995  Finland     general        0      16.5   78.5  104 208  yes      NA       NA              no   no    no     yes  mortality  discharge    NA     NA     NA     NA    NA   NA    NA
Karppi      1995  Finland     general        0      16.5   78.5  104 208  yes      NA       NA              no   no    no     yes  mortality  followup     NA     NA     NA     14   104   25   208
Rubenstein  1984  USA         general        7      85.1   77.9   63  60  yes      yes      weekly          yes  no    no     yes  function   discharge    NA     NA     NA     NA    NA   NA    NA
Rubenstein  1984  USA         general        7      85.1   77.9   63  60  yes      yes      weekly          yes  no    no     yes  function   followup   1.08   0.42   2.75     NA    NA   NA    NA
Rubenstein  1984  USA         general        7      85.1   77.9   63  60  yes      yes      weekly          yes  no    no     yes  admission  discharge    NA     NA     NA      8    63   18    60
Rubenstein  1984  USA         general        7      85.1   77.9   63  60  yes      yes      weekly          yes  no    no     yes  admission  followup     NA     NA     NA     11    63    7    60
