     person hsame hdiff tsame tdiff  same flips
    XiaoyiL   375   406   405   414   780  1600
   JoyceYCP   588   586   538   588  1126  2300
  AndreeaSZ  1129  1134  1075  1139  2204  4477
    KaleemU  3506  3642  3550  3626  7056 14324
   FelipeFV  2502  2531  2455  2527  4957 10015
      ArneJ   995   982   942   981  1937  3900
      AmirS  3756  3775  3702  3779  7458 15012
    ChrisGI  2546  2519  2425  2515  4971 10005
  FrederikA  2564  2638  2655  2643  5219 10500
 FranziskaN  2634  2718  2734  2671  5368 10757
   RietvanB   876   899   925   900  1801  3600
     JasonN  1692  1676  1660  1672  3352  6700
   PierreYG  3825  3745  3681  3749  7506 15000
  KarolineH  1370  1369  1391  1370  2761  5500
    SjoerdT  1291  1247  1219  1243  2510  5000
      SaraS  2615  2486  2407  2492  5022 10000
   HenrikRG  4382  4264  4267  4269  8649 17182
      IrmaT   188   173   165   175   353   701
 KatharinaK  1136  1088  1084  1092  2220  4400
      JillR  1619  1601  1642  1601  3261  6463
 FrantisekB  5097  4979  5051  4973 10148 20100
 IngeborgBR  2132  2126  2208  2130  4340  8596
  VincentLO  1143  1215  1332  1210  2475  4900
     EricJW  1012  1015  1059  1014  2071  4100
     MalteZ  2831  2715  2728  2726  5559 11000
  TheresaEL   895   866   874   865  1769  3500
     DavidV  3552  3933  4034  3480  7586 14999
    AntonJZ  2587  2463  2482  2472  5069 10004
     MagdaM  1244  1221  1266  1213  2510  4944
    ThomasB  1221  1233  1319  1227  2540  5000
     BohanF   580   544   538   538  1118  2200
     JonasP  2546  2458  2534  2458  5080  9996
    HannahA   704   739   821   736  1525  3000
   AdrianKM   880   828   869   823  1749  3400
    AaronBL  1937  1787  1878  1798  3815  7400
      KoenD  1622  1550  1687  1541  3309  6400
 MichelleCD  1118  1037  1106  1039  2224  4300
      RoyMM   971   942  1049   938  2020  3900
      TingP   855   770   803   772  1658  3200
      MaraB   728   660   698   664  1426  2750
      AdamF  2175  1996  2159  1998  4334  8328
 AlexandraS  4556  4180  4524  4174  9080 17434
   MadlenFH  1769  1699  1936  1694  3705  7098
    DavidKL  3903  3552  3992  3553  7895 15000
 XiaochangZ   901   804   968   808  1869  3481
 FranziskaA   990   876  1065   869  2055  3800
       JanY   510   368   446   367   956  1691
    TianqiP   780   557   902   561  1682  2800
