"study"	"trt"	"arms"	"yi"	"sei"	"vi"
1	"BMT"	2	0.46	0.118	0.013924
1	"CMO"	2	0.25	0.074	0.005476
2	"BMT"	2	0.5	0.1	0.01
2	"CMO"	2	0.23	0.067	0.004489
3	"BMT"	2	0.47	0.129	0.016641
3	"CMO"	2	0.42	0.086	0.007396
4	"BMT"	2	0.7	0.23	0.0529
4	"CMO"	2	0.48	0.167	0.027889
5	"BMT"	1	0.46	0.081	0.006561
6	"BMT"	1	0.43	0.034	0.001156
7	"BMT"	1	0.49	0.088	0.007744
8	"BMT"	1	0.53	0.079	0.006241
9	"CMO"	1	0.21	0.051	0.002601
10	"CMO"	1	0.32	0.039	0.001521
11	"CMO"	1	0.48	0.094	0.008836
12	"CMO"	1	0.26	0.046	0.002116
13	"CMO"	1	0.33	0.029	0.000841
14	"CMO"	1	0.38	0.033	0.001089
15	"CMO"	1	0.24	0.084	0.007056
16	"CMO"	1	0.53	0.084	0.007056
