comp_ID,study_ID,dam_ID,animal_ID,Reference,species,strain,manip_type,manip_direction,nom_manip_val,exp,control,manip_parameter,vitmin_eql,adlib_con,adlib_exp,diet_con,diet_exp,dam_diet_start_dPC,dam_diet_end_dPC,diet_label,age_mating,n_con_dam,n_exp_dam,multi_use_con,dam_housing,temperature,photoperiod,litter_size,litter_size_equalized,crossfostered,sex,housing,bodymass_mean_contr,bodymass_SE_contr,bodymass_mean_exp,bodymass_SE_exp,bm_N_contr,bm_N_exp,bm_dPP,offspring_diet,offspring_con_adlib,offspring_diet_level,offspring_diet_end_dPP,post_diet_adlib,response_age_dPP,authors_behaviour_classification,our_behaviour_classification,response_test,time_trial,measure,unit,high_better,night/day,comparison,exp_mean,exp_se,exp_n,con_mean,con_se,con_n,con_ID,percentage,Data_source,measure_comments,SE_imputed,Comments
comp_01,s_01,D_01,A_01,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-5,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-5,1,yes,90,ANXIETY,ACTIVITY,EPM,5,T_dist_moved,m,yes,night,cc-rc,13.9,1.28,8,11.97,1.28,8,con_01,no,Fig. 1,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_02,s_01,D_02,A_02,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-6,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-6,21,yes,90,ANXIETY,ACTIVITY,EPM,5,T_dist_moved,m,yes,night,cc-cr,13.9,0.96,8,11.97,1.28,8,con_01,no,Fig. 1,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_03,s_01,D_03,A_03,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-7,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-7,21,yes,90,ANXIETY,ACTIVITY,EPM,5,T_dist_moved,m,yes,night,cc-rr,10.69,0.32,8,11.97,1.28,8,con_01,no,Fig. 1,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_04,s_01,D_01,A_01,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-8,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-8,1,yes,90,ANXIETY,ANXIETY,EPM,5,Open_arm_entries,#,yes,night,cc-rc,3.59,0.7,8,5,0.89,8,con_02,no,Fig. 1,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_05,s_01,D_02,A_02,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-9,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-9,21,yes,90,ANXIETY,ANXIETY,EPM,5,Open_arm_entries,#,yes,night,cc-cr,4.29,0.7,8,5,0.89,8,con_02,no,Fig. 1,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_06,s_01,D_03,A_03,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-10,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-10,21,yes,90,ANXIETY,ANXIETY,EPM,5,Open_arm_entries,#,yes,night,cc-rr,3.2,0.48,8,5,0.89,8,con_02,no,Fig. 1,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_07,s_01,D_01,A_01,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-11,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-11,1,yes,90,ANXIETY,ANXIETY,EPM,5,Open_arm_time,sec,yes,night,cc-rc,27.77,5.11,8,51.7,5.1,8,con_03,no,Fig. 1,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_08,s_01,D_02,A_02,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-12,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-12,21,yes,90,ANXIETY,ANXIETY,EPM,5,Open_arm_time,sec,yes,night,cc-cr,50.11,8.62,8,51.7,5.1,8,con_03,no,Fig. 1,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_09,s_01,D_03,A_03,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-13,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-13,21,yes,90,ANXIETY,ANXIETY,EPM,5,Open_arm_time,sec,yes,night,cc-rr,28.08,5.11,8,51.7,5.1,8,con_03,no,Fig. 1,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_10,s_01,D_01,A_01,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-14,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-14,1,yes,90,ANXIETY,ANXIETY,EPM,5,Open_arm_dist,m,yes,night,cc-rc,0.8,0.19,8,1.69,0.21,8,con_04,no,Fig. 1,NA,no,details of diet can be found in Zambrano et al. (2005). 
