"study"	"obs"	"doctype"	"gender"	"year"	"org"	"country"	"type"	"discipline"	"waward"	"wtotal"	"maward"	"mtotal"
"Ackers (2000)"	1	"Grey"	"M&F"	1996	"MSCA"	"Europe"	"Fellowship"	"Physical Sciences"	139	711	274	1029
"Ackers (2000)"	2	"Grey"	"M&F"	1996	"MSCA"	"Europe"	"Fellowship"	"Physical Sciences"	45	258	166	908
"Ackers (2000)"	3	"Grey"	"M&F"	1996	"MSCA"	"Europe"	"Fellowship"	"Physical Sciences"	44	236	219	928
"Ackers (2000)"	4	"Grey"	"M&F"	1996	"MSCA"	"Europe"	"Fellowship"	"Physical Sciences"	63	251	96	507
"Ackers (2000)"	5	"Grey"	"M&F"	1996	"MSCA"	"Europe"	"Fellowship"	"Social Sciences / Biology"	157	910	252	1118
"Ackers (2000)"	6	"Grey"	"M&F"	1996	"MSCA"	"Europe"	"Fellowship"	"Physical Sciences"	114	589	460	2244
"Ackers (2000)"	7	"Grey"	"M&F"	1996	"MSCA"	"Europe"	"Fellowship"	"Life Sciences / Biology"	381	2027	489	2275
"Allmendinger (2002)"	1	"Article"	"M&F"	1993	"DFG"	"Europe"	"Grant"	"Social Sciences / Biology"	8	13	53	72
"Allmendinger (2002)"	2	"Article"	"M&F"	1994	"DFG"	"Europe"	"Grant"	"Social Sciences / Biology"	5	8	53	82
"Allmendinger (2002)"	3	"Article"	"M&F"	1995	"DFG"	"Europe"	"Grant"	"Social Sciences / Biology"	6	8	63	97
"Allmendinger (2002)"	4	"Article"	"M&F"	1996	"DFG"	"Europe"	"Grant"	"Social Sciences / Biology"	8	16	53	94
"Allmendinger (2002)"	5	"Article"	"M&F"	1997	"DFG"	"Europe"	"Grant"	"Social Sciences / Biology"	4	11	43	92
"Allmendinger (2002)"	6	"Article"	"M&F"	1998	"DFG"	"Europe"	"Grant"	"Social Sciences / Biology"	20	44	55	93
"Allmendinger (2002)"	7	"Article"	"M&F"	1999	"DFG"	"Europe"	"Grant"	"Social Sciences / Biology"	5	15	70	116
"Bazeley (1998)"	1	"Article"	"F"	1995	"ARC"	"Australia"	"Grant"	"Multidisciplinary"	11	56	82	344
"Bornmann (2005)"	1	"Article"	"M"	1992.5	"BIF"	"Europe"	"Fellowship"	"Life Sciences / Biology"	204	1085	430	1612
"Brouns (2000)"	1	"Article"	"F"	1993.5	"NWO/KNAW"	"Europe"	"Fellowship"	"Social Sciences / Biology"	8	12	25	33
"Brouns (2000)"	2	"Article"	"F"	1993.5	"NWO/KNAW"	"Europe"	"Fellowship"	"Social Sciences / Biology"	6	16	26	44
"Brouns (2000)"	3	"Article"	"F"	1993.5	"NWO/KNAW"	"Europe"	"Fellowship"	"Physical Sciences"	21	25	127	236
"Brouns (2000)"	4	"Article"	"F"	1993.5	"NWO/KNAW"	"Europe"	"Fellowship"	"Life Sciences / Biology"	9	34	77	168
"Brouns (2000)"	5	"Article"	"F"	1993.5	"NWO/KNAW"	"Europe"	"Fellowship"	"Life Sciences / Biology"	30	67	82	174
"Dexter (2002)"	1	"Grey"	"M"	2000.5	"WT"	"United Kingdom"	"Fellowship"	"Life Sciences / Biology"	54	174	84	280
"Dexter (2002)"	2	"Grey"	"M"	2000.5	"WT"	"United Kingdom"	"Grant"	"Life Sciences / Biology"	84	290	253	791
"Dexter (2002)"	3	"Grey"	"M"	2000.5	"WT"	"United Kingdom"	"Grant"	"Life Sciences / Biology"	4	17	30	70
"Emery (1992)"	1	"Article"	"M&F"	1990	"NIH"	"United States"	"Fellowship"	"Life Sciences / Biology"	23	91	39	203
"Friesen (1998)"	1	"Letter"	"M"	1998	"MRC"	"Canada"	"Grant"	"Life Sciences / Biology"	297	1167	1160	4368
"Friesen (1998)"	2	"Letter"	"M"	1998	"MRC"	"Canada"	"Fellowship"	"Life Sciences / Biology"	20	143	64	386
"Friesen (1998)"	3	"Letter"	"M"	1998	"MRC"	"Canada"	"Fellowship"	"Life Sciences / Biology"	111	858	222	1361
"Goldsmith (2002)"	1	"Grey"	"F"	1979	"NSF"	"United States"	"Fellowship"	"Multidisciplinary"	146	1447	378	2841
"Goldsmith (2002)"	2	"Grey"	"F"	1993	"NSF"	"United States"	"Fellowship"	"Multidisciplinary"	379	3858	491	4776
"Grant (1997)"	1	"Letter"	"M"	1996	"WT"	"United Kingdom"	"Grant"	"Life Sciences / Biology"	72	268	302	1097
