id trial          year  ref   trt   ctrl  nti   b.xti  o.xti  d.xti   nci   b.xci  o.xci  d.xci
1  "Hoare"        1979  3     C     P     50    8      5      1       50    16     12     1
2  "La Brooy"     1979  4     C     P     56    11     6      1       53    12     7      0
3  "Macklon"      1979  5     C     P     18    5      NA     NA      12    1      NA     NA
4  "Nair"         1979  6     C     AA    14    2      2      0       15    6      3      4
5  "Pickard"      1979  7     C     P     33    12     NA     NA      36    10     NA     NA
6  "Siddiqi"      1979  8     C     UT    58    NA     8      4       55    NA     8      5
7  "Carstensen"   1980  9     C     P     40    9      15     4       48    11     16     5
8  "Foco"         1980  10    C     P     20    7      2      0       20    8      3      2
9  "Galmiche"     1980  11    C     P     46    5      5      2       47    12     6      5
10 "Gilsanz"      1980  12    C     P     18    0      NA     0       19    3      NA     1
11 "Meredith"     1980  13    C     P     45    9      6      1       43    3      1      0
12 "Teres"        1980  14    C     P     21    10     0      6       19    8      0      4
13 "Zuckerman"    1984  15    C     P     153   44     NA     10      132   30     NA     4
14 "Colecchia"    1981  16    C     UT    14    0      2      1       14    0      5      0
15 "Arvanitakis"  1982  17    C     AA    10    1      NA     NA      9     4      NA     NA
16 "Hostein"      1982  18    C     AA    24    4      2      3       24    5      3      1
17 "Dawson"       1982  19    R     P     78    14     11     5       80    21     15     4
18 "Nowak"        1984  20    R     AA    75    NA     5      1       75    NA     17     4
19 "Barer"        1983  21    C     P     259   50     34     20      260   51     38     35
20 "Brown"        1983  NA    C     P     10    3      2      1       11    1      0      0
21 "Stiel"        1984  22    C     P     31    6      4      0       29    12     5      0
22 "Carr-Locke"   1984  23    C     P     51    16     7      0       54    15     6      2
23 "Birnie"       1984  24    C     P     106   16     2      4       107   15     7      4
24 "Darle"        1984  25    C     P     33    6      6      1       39    7      7      5
25 "Karlstrom"    1981  26    C     UT    36    11     10     3       26    5      3      2
26 "Londong"      1982  27    C     P     34    3      3      1       31    13     8      7
27 "Foco"         1984  28    R     P     15    2      0      0       14    3      0      0
