"studyid" "year" "source" "sampleid" "criterion" "class" "ni" "ri"
1 2009 "dissertation" 1 "grade" "nonscience" 76 0.886
2 1975 "journal" 1 "grade" "nonscience" 297 0.3
3 2007 "dissertation" 1 "gpa" NA 191 0.72
4 1989 "journal" 1 "grade" "nonscience" 265 0.475
4 1989 "journal" 2 "grade" "nonscience" 154 0.334
5 2008 "journal" 1 "grade" "nonscience" 162 0.615
6 1999 "journal" 1 "grade" "nonscience" 28 0.145
6 1999 "journal" 2 "grade" "nonscience" 33 0.23
6 1999 "journal" 3 "grade" "nonscience" 47 0.27
6 1999 "journal" 4 "grade" "nonscience" 25 -0.0228
6 1999 "journal" 5 "grade" "nonscience" 48 0.429
6 1999 "journal" 6 "grade" "nonscience" 39 0.349
6 1999 "journal" 7 "grade" "nonscience" 41 0.22
6 1999 "journal" 8 "grade" "nonscience" 35 0.339
6 1999 "journal" 9 "grade" "nonscience" 46 0.447
7 2007 "dissertation" 1 "gpa" NA 350 0.332
7 2007 "dissertation" 1 "grade" "nonscience" 350 0.401
8 2003 "journal" 1 "grade" "nonscience" 421 0.22
9 2006 "journal" 1 "grade" "nonscience" 347 0.265
10 2006 "journal" 1 "gpa" NA 300 -0.37
10 2006 "journal" 1 "grade" "nonscience" 300 0.54
11 1990 "dissertation" 1 "grade" "nonscience" 72 0.377
12 1980 "journal" 1 "gpa" NA 65 0.47
12 1980 "journal" 2 "gpa" NA 31 0.19
13 1990 "dissertation" 1 "grade" "nonscience" 78 0.467
14 2006 "journal" 1 "grade" "nonscience" 79 0.29
15 1996 "journal" 1 "gpa" NA 151 0.09
15 1996 "journal" 1 "grade" "nonscience" 151 0.22
16 2008 "journal" 1 "gpa" NA 338 0.2
16 2008 "journal" 1 "grade" "nonscience" 338 0.38
17 1994 "dissertation" 1 "grade" "science" 52 0.534
18 2003 "journal" 1 "gpa" NA 432 0.36
19 1976 "journal" 1 "grade" "nonscience" 114 0.22
19 1976 "journal" 1 "gpa" NA 114 0.23
20 1998 "journal" 1 "grade" "science" 152 0.341
21 2005 "dissertation" 1 "grade" "nonscience" 428 0.641
22 2003 "journal" 1 "grade" "science" 61 0.51
23 2005 "journal" 1 "grade" "nonscience" 300 0.861
24 1993 "journal" 1 "grade" "nonscience" 103 0.66
25 1994 "journal" 1 "grade" "nonscience" 556 0.327
26 1984 "dissertation" 1 "gpa" NA 39 0.579
27 1990 "other" 1 "gpa" NA 60 0.39
27 1990 "other" 1 "grade" "nonscience" 60 0.5
27 1990 "other" 2 "gpa" NA 335 0.29
28 1984 "journal" 1 "gpa" NA 92 0.5
28 1984 "journal" 2 "gpa" NA 101 0.41
29 2008 "journal" 1 "grade" "nonscience" 233 0.39
29 2008 "journal" 2 "grade" "nonscience" 132 0.47
30 1986 "journal" 1 "grade" "science" 170 0.453
31 1982 "other" 1 "grade" "science" 23 0.49
32 2007 "dissertation" 1 "gpa" NA 191 0.72
33 1984 "journal" 1 "grade" "nonscience" 496 0.33
34 1931 "journal" 1 "gpa" NA 869 0.254
35 2002 "journal" 1 "grade" "nonscience" 109 0.24
35 2002 "journal" 1 "gpa" NA 109 0.31
35 2002 "journal" 2 "grade" "nonscience" 326 0.21
35 2002 "journal" 2 "gpa" NA 326 0.22
36 1989 "journal" 1 "gpa" NA 56 0.22
37 1997 "journal" 1 "grade" "nonscience" 378 0.36
38 2008 "journal" 1 "grade" "science" 1697 0.36
39 2003 "journal" 1 "grade" "science" 1400 0.78
40 2005 "journal" 1 "grade" "science" 847 0.36
41 1973 "dissertation" 1 "grade" "nonscience" 318 0.402
42 2008 "journal" 1 "grade" "nonscience" 748 0.377
43 1995 "journal" 1 "grade" "science" 109 0.404
44 2004 "journal" 1 "gpa" NA 136 0.53
45 2002 "journal" 1 "grade" "nonscience" 142 0.082
45 2002 "journal" 2 "grade" "nonscience" 188 0.15
46 2007 "other" 1 "grade" "nonscience" 75 0.495
47 2007 "journal" 1 "grade" "nonscience" 90 0.547
48 1993 "journal" 1 "grade" "nonscience" 195 0.56
49 1996 "journal" 1 "grade" "nonscience" 202 0.36
49 1996 "journal" 1 "gpa" NA 202 0.39
50 2005 "journal" 1 "grade" "nonscience" 134 0.47
51 2001 "journal" 1 "grade" "nonscience" 57 0.61
52 1985 "journal" 1 "gpa" NA 424 0.276
52 1985 "journal" 2 "grade" "science" 114 0.273
53 2003 "journal" 1 "grade" "nonscience" 277 0.44
54 1979 "dissertation" 1 "gpa" NA 60 0.418
55 1983 "other" 1 "grade" "nonscience" 68 0.42
56 2004 "dissertation" 1 "grade" "nonscience" 766 0.499
57 1975 "journal" 1 "grade" "nonscience" 40 0.72
58 2007 "journal" 1 "gpa" NA 131 0.44
58 2007 "journal" 2 "grade" "nonscience" 951 0.39
59 2000 "journal" 1 "gpa" NA 120 0.248
60 1927 "journal" 1 "gpa" NA 1000 0.544
60 1927 "journal" 2 "gpa" NA 1000 0.395
60 1927 "journal" 3 "gpa" NA 1000 0.471
61 2000 "other" 1 "grade" "science" 3899 0.487
62 1992 "journal" 1 "grade" "nonscience" 959 0.55
62 1992 "journal" 2 "grade" "nonscience" 117 0.131
63 1996 "other" 1 "grade" "nonscience" 140 0.46
64 1980 "journal" 1 "grade" "nonscience" 121 0.35
65 2007 "journal" 1 "grade" "nonscience" 100 0.24
66 1992 "journal" 1 "gpa" NA 186 0.17
67 1992 "journal" 1 "gpa" NA 110 0.29
68 1986 "journal" 1 "grade" "nonscience" 215 0.309
