"study"	"treatment"	"control"	"week"	"yi"	"vi"	"n1i"	"n2i"	"instrument"	"region"	"mean.age"	"percent.women"	"rob"
"1"	"Aagaard, 2017"	"cbt"	"cau"	0	-0.193944008910266	0.0503650044884937	42	38	"bdi-1"	"europe"	48	71	"high risk"
"2"	"Aagaard, 2017"	"cbt"	"cau"	26	0	0.0535714285714286	42	38	"bdi-1"	"europe"	48	71	"high risk"
"3"	"Aagaard, 2017"	"cbt"	"cau"	52	-0.216889183225824	0.0575966864001767	42	38	"bdi-1"	"europe"	48	71	"high risk"
"4"	"Aagaard, 2017"	"cbt"	"cau"	78	0.0736258723626091	0.0579386816488655	42	38	"bdi-1"	"europe"	48	71	"high risk"
"5"	"Aagaard, 2017"	"cbt"	"cau"	104	0.21455016320778	0.0630351406393799	42	38	"bdi-1"	"europe"	48	71	"high risk"
"6"	"Abas, 2018"	"pst"	"cau"	0	1.55940840683238	0.166971024786989	14	18	"phq-9"	"other"	37.8	66	"high risk"
"7"	"Abas, 2018"	"pst"	"cau"	26	0.710417767645097	0.153150979891978	14	18	"phq-9"	"other"	37.8	66	"high risk"
"8"	"Ahmed, 2025 - BD"	"bat"	"cau"	0	0.0236431431915735	0.0635126126154858	32	32	"phq-9"	"other"	50	76	"high risk"
"9"	"Ahmed, 2025 - BD"	"bat"	"cau"	13	0.743	0.085264	32	32	"phq-9"	"other"	50	76	"high risk"
"10"	"Ahmed, 2025 - BD"	"bat"	"cau"	26	0.807	0.084681	32	32	"phq-9"	"other"	50	68	"high risk"
"11"	"Ahmed, 2025 - Pak"	"bat"	"cau"	0	-0.246395192154487	0.0640020156392605	32	32	"phq-9"	"other"	50	68	"high risk"
"12"	"Ahmed, 2025 - Pak"	"bat"	"cau"	13	1.924	0.099856	32	32	"phq-9"	"other"	50	68	"high risk"
"13"	"Ahmed, 2025 - Pak"	"bat"	"cau"	26	0.372	0.086436	32	32	"phq-9"	"other"	50	76	"high risk"
"14"	"Alexopoulos, 2016"	"pst"	"other ctr"	0	0.0695928198207529	0.0234133027888489	84	87	"hdrs-24"	"usa"	74.9	NA	"some concerns"
"15"	"Alexopoulos, 2016"	"pst"	"other ctr"	12	-0.215183490629242	0.03057826378148	84	87	"hdrs-24"	"usa"	74.9	NA	"some concerns"
"16"	"Alexopoulos, 2016"	"pst"	"other ctr"	24	-0.249212692759728	0.0313351582791518	84	87	"hdrs-24"	"usa"	74.9	NA	"some concerns"
"17"	"Alhusen, 2021"	"cbt"	"cau"	0	0.236575768031744	0.0671454219030521	30	30	"epds"	"usa"	24.5	100	"high risk"
"18"	"Alhusen, 2021"	"cbt"	"cau"	25	1.45689151068139	0.0848229706390328	30	30	"epds"	"usa"	24.5	100	"high risk"
"19"	"Alhusen, 2021"	"cbt"	"cau"	41	1.48531859424224	0.0900907236018067	30	30	"epds"	"usa"	24.5	100	"high risk"
"20"	"Allart van Dam, 2003"	"cbt"	"cau"	0	0.256254147854103	0.0411104752472522	68	42	"bdi-1"	"europe"	45.5	62	"high risk"
"21"	"Allart van Dam, 2003"	"cbt"	"cau"	12	0.569637930381429	0.04239850255515	68	42	"bdi-1"	"europe"	45.5	62	"high risk"
"22"	"Allart van Dam, 2003"	"cbt"	"cau"	38	0.202230353204729	0.044192634811372	68	42	"bdi-1"	"europe"	45.5	62	"high risk"
"23"	"Allart van Dam, 2003"	"cbt"	"cau"	64	0.404550497630497	0.0470198048540093	68	42	"bdi-1"	"europe"	45.5	62	"high risk"
"24"	"Ammerman, 2013"	"cbt"	"wl"	0	-0.142252385992436	0.0431263412812683	47	46	"bdi-2"	"usa"	21.9	100	"some concerns"
"25"	"Ammerman, 2013"	"cbt"	"wl"	22	0.943988689018691	0.047886846817671	47	46	"bdi-2"	"usa"	21.9	100	"some concerns"
"26"	"Ammerman, 2013"	"cbt"	"wl"	35	0.65326044949046	0.0453484753038995	47	46	"bdi-2"	"usa"	21.9	100	"some concerns"
"27"	"Araya, 2021 Lima"	"bat"	"cau"	19	0.395725691602631	0.0120417705469566	217	215	"phq-9"	"other"	57	85	"some concerns"
"28"	"Araya, 2021 Lima"	"bat"	"cau"	32	0.102157117474912	0.0112847382834882	217	215	"phq-9"	"other"	57	85	"some concerns"
"29"	"Araya, 2021 SP"	"bat"	"cau"	19	0.265099475177847	0.00659219173629338	440	440	"phq-9"	"other"	57	85	"some concerns"
"30"	"Araya, 2021 SP"	"bat"	"cau"	32	0.107465324212131	0.0059412513354501	440	440	"phq-9"	"other"	57	85	"some concerns"
"31"	"Arjadi, 2018"	"bat"	"other ctr"	0	-0.017198909203468	0.0127832894867182	159	154	"phq-9"	"other"	24.5	81	"low risk"
"32"	"Arjadi, 2018"	"bat"	"other ctr"	10	0.388644587098011	0.0130252689191716	159	154	"phq-9"	"other"	24.5	81	"low risk"
