study year xt nt xc nc conceal blind
Abele-Horn 1997 13 58 23 30 0 0
Aerdts 1991 1 28 29 60 1 0
Blair 1991 12 161 38 170 1 0
Boland 1991 14 32 17 32 0 1
Cockerill 1992 4 75 12 75 0 0
Finch 1991 4 20 7 24 1 0
Jacobs 1992 0 45 4 46 0 0
Kerver 1988 5 49 31 47 0 0
Palomar 1997 10 50 25 49 0 0
Rocha 1992 7 47 25 54 0 1
Sanchez-Garcia 1992 32 131 60 140 1 1
Stoutenbeek 2007 62 201 100 200 1 0
Ulrich 1989 7 55 26 57 1 0
Verwaest 1997 22 193 40 185 1 0
Winter 1992 3 91 17 92 1 0
Krueger 2002 91 265 149 262 1 1
