"study"	"treatment"	"control"	"yi"	"sei"	"vi"	"m1i"	"sd1i"	"n1i"	"m2i"	"sd2i"	"n2i"	"instrument"	"time.week"	"sessions"	"country"	"mean.age"	"percent.women"	"rob"
"1"	"Abramowitz, 2009"	"cbt"	"wlc"	1.12932189289906	0.473136560320295	0.22385820471172	21.72	7.32	11	28.6	3.56	10	"bsps"	8	8	"north america"	43.4	76	"some concerns"
"2"	"Abramowitz, 2009"	"cbt"	"wlc"	0.741581091078142	0.452898276106858	0.205116848500564	40.81	16.34	11	52.2	12.74	10	"sias"	8	8	"north america"	43.4	76	"some concerns"
"3"	"Abramowitz, 2009"	"cbt"	"wlc"	0.0330499490072489	0.43696374042093	0.19093731044265	49.63	13.72	11	50	5.89	10	"stai-trait"	8	8	"north america"	43.4	76	"some concerns"
"4"	"Anderson, 2013"	"cbt (group)"	"wlc"	0.386830844482815	0.249996679329327	0.0624983396756904	38.68	9.31	39	42.45	10.07	28	"fne-b"	8	8	"north america"	39	61.9	"high"
"5"	"Anderson, 2013"	"cbt (vret)"	"wlc"	0.282656098573649	0.26411224227209	0.0697552765179912	39.47	10.7	30	42.45	10.07	28	"fne-b"	8	8	"north america"	39	61.9	"high"
"6"	"Anderson, 2013"	"cbt (group)"	"wlc"	1.22550523269277	0.26986565151561	0.0728274698679447	14.79	8.53	39	23.57	4.28	28	"prcs"	8	8	"north america"	39	61.9	"high"
"7"	"Anderson, 2013"	"cbt (vret)"	"wlc"	1.16217989172676	0.284624272984466	0.0810109767719359	16.23	7.61	30	23.57	4.28	28	"prcs"	8	8	"north america"	39	61.9	"high"
"8"	"Andersson, 2006"	"cbt"	"wlc"	0.579107409206834	0.255313269249379	0.0651848654548059	8.7	5.8	32	13.6	10.3	32	"bai"	9	11	"europe"	37.3	51.6	"some concerns"
"9"	"Andersson, 2006"	"cbt"	"wlc"	0.724206439163866	0.258261180425793	0.066698837314924	45.6	25.1	32	62.8	21.7	32	"lsas-sr"	9	11	"europe"	37.3	51.6	"some concerns"
"10"	"Andersson, 2006"	"cbt"	"wlc"	0.541415457452693	0.254650237178408	0.0648467432950195	22.7	5.4	32	25.5	4.8	32	"prcs"	9	11	"europe"	37.3	51.6	"some concerns"
"11"	"Andersson, 2006"	"cbt"	"wlc"	0.501288764041932	0.253991690394217	0.0645117787893118	27.3	13.4	32	33.9	12.6	32	"sias"	9	11	"europe"	37.3	51.6	"some concerns"
"12"	"Andersson, 2006"	"cbt"	"wlc"	0.662434764232694	0.25693014621058	0.06601310003179	20.7	14.8	32	31	15.9	32	"sps"	9	11	"europe"	37.3	51.6	"some concerns"
"13"	"Andersson, 2006"	"cbt"	"wlc"	1.07146643920964	0.267751697859267	0.0716909717065202	20	8.5	32	28.9	7.9	32	"spsq"	9	11	"europe"	37.3	51.6	"some concerns"
"14"	"Andersson, 2012"	"cbt"	"wlc"	0.607311404998645	0.143243115010572	0.020518589997932	9.46	6.42	102	14	8.35	102	"bai"	9	9	"europe"	38.2	60.3	"some concerns"
"15"	"Andersson, 2012"	"cbt"	"wlc"	0.834379943586394	0.146037490403766	0.0213269486034301	43.74	24.33	102	63.85	23.69	102	"lsas-sr"	9	9	"europe"	38.2	60.3	"some concerns"
"16"	"Andersson, 2012"	"cbt"	"wlc"	0.813433903911313	0.145745394770462	0.0212417200967978	33.77	15.33	102	46.02	14.67	102	"sias"	9	9	"europe"	38.2	60.3	"some concerns"
"17"	"Andersson, 2012"	"cbt"	"wlc"	0.656810299447637	0.143781434560214	0.0206731009241931	23.31	14.33	102	32.9	14.76	102	"sps"	9	9	"europe"	38.2	60.3	"some concerns"
"18"	"Andersson, 2012"	"cbt"	"wlc"	0.776796945275809	0.145251008072898	0.0210978553461931	18.93	10.42	102	26.76	9.65	102	"spsq"	9	9	"europe"	38.2	60.3	"some concerns"
"19"	"Beidel, 2014"	"exposure"	"wlc"	1.27642900061022	0.301593647203787	0.0909587280336823	22.44	10.31	41	37.52	14.21	19	"bsps"	12	24	"north america"	36.4	51.89	"high"
"20"	"Beidel, 2014"	"exposure + sst"	"wlc"	1.89860962065118	0.320584191846328	0.102774224061763	17.07	8.82	46	37.52	14.21	19	"bsps"	12	24	"north america"	36.4	51.89	"high"
"21"	"Beidel, 2014"	"exposure"	"wlc"	1.1135520178403	0.296021720041756	0.0876288587364798	6.89	4.74	41	12.92	6.49	19	"hama"	12	24	"north america"	36.4	51.89	"high"
"22"	"Beidel, 2014"	"exposure + sst"	"wlc"	1.58967072999599	0.307054911373623	0.0942827185986635	5.06	4.07	46	12.92	6.49	19	"hama"	12	24	"north america"	36.4	51.89	"high"
"23"	"Beidel, 2014"	"exposure"	"wlc"	0.981366048167044	0.291993278935578	0.0852600749435503	70.77	21.64	41	93.65	25.8	19	"spai"	12	24	"north america"	36.4	51.89	"high"
"24"	"Beidel, 2014"	"exposure + sst"	"wlc"	1.24665647093458	0.294307171539947	0.0866167112198439	67.6	18.18	46	93.65	25.8	19	"spai"	12	24	"north america"	36.4	51.89	"high"
"25"	"Berger, 2009"	"cbt"	"wlc"	0.879747286322846	0.295886035410225	0.087548545950781	52.7	21.9	31	70.7	17.2	21	"lsas-sr"	10	5	"europe"	28.9	55.8	"high"
"26"	"Berger, 2009"	"cbt"	"wlc"	0.822182675357196	0.294240478900956	0.086577459423864	34.1	12.9	31	44	10.1	21	"sias"	10	5	"europe"	28.9	55.8	"high"
"27"	"Berger, 2009"	"cbt"	"wlc"	0.54467320654347	0.28778062838863	0.0828176900757548	23.5	13.2	31	30.3	10.8	21	"sps"	10	5	"europe"	28.9	55.8	"high"
"28"	"Blanco, 2010"	"cbt"	"other ctr"	0	0.257776650887778	0.0664488017429194	4.7	1.16	34	4.7	1.31	27	"adis"	12	12	"north america"	31.9	45.9	"high"
"29"	"Blanco, 2010"	"cbt"	"other ctr"	0.419445862111201	0.260630825224381	0.0679284270571418	15.39	8.64	34	19.24	9.57	27	"fq"	12	12	"north america"	31.9	45.9	"high"
"30"	"Blanco, 2010"	"cbt"	"other ctr"	0.0220073584965254	0.257784551405152	0.0664528749431555	62.71	24.78	34	63.29	27.51	27	"lsas"	12	12	"north america"	31.9	45.9	"high"
"31"	"Blanco, 2010"	"cbt"	"other ctr"	0.299018836628955	0.259231104789432	0.0672007656903495	29.94	15.43	34	34.52	14.72	27	"sias"	12	12	"north america"	31.9	45.9	"high"
"32"	"Blanco, 2010"	"cbt"	"other ctr"	0.554753485482687	0.262748957518709	0.0690370146771683	21.22	13	34	28.95	14.66	27	"sps"	12	12	"north america"	31.9	45.9	"high"
"33"	"Botella, 2010"	"cbt (ind)"	"wlc"	1.22117157135318	0.319162117323322	0.101864457134306	3.5	1.95	22	5.85	1.84	25	"anxiety-ist-p"	9	NA	"europe"	24.4	79.2	"high"
"34"	"Botella, 2010"	"cbt (ush)"	"wlc"	0.780384634325341	0.281123732776513	0.0790305531302003	4.17	2.33	30	5.85	1.84	25	"anxiety-ist-p"	9	NA	"europe"	24.4	79.2	"high"
"35"	"Botella, 2010"	"cbt (ind)"	"wlc"	1.24932782832483	0.320359016710417	0.102629899587665	4.73	1.28	22	6.37	1.3	25	"anxiety-ist-t"	9	NA	"europe"	24.4	79.2	"high"
"36"	"Botella, 2010"	"cbt (ush)"	"wlc"	0.890839594170563	0.284178546719089	0.0807574464153735	5.04	1.6	30	6.37	1.3	25	"anxiety-ist-t"	9	NA	"europe"	24.4	79.2	"high"
"37"	"Botella, 2010"	"cbt (ind)"	"wlc"	1.83675210375035	0.350112092225251	0.122578477122343	3.36	2.4	22	7.48	2.02	25	"avoidance-tb"	9	NA	"europe"	24.4	79.2	"high"
"38"	"Botella, 2010"	"cbt (ush)"	"wlc"	2.08554298724488	0.337672879174228	0.114022973329813	2.97	2.22	30	7.48	2.02	25	"avoidance-tb"	9	NA	"europe"	24.4	79.2	"high"
"39"	"Botella, 2010"	"cbt (ind)"	"wlc"	1.91865550600922	0.354912823889108	0.125963112560941	4.82	2.04	22	8.04	1.21	25	"fear-tb"	9	NA	"europe"	24.4	79.2	"high"
"40"	"Botella, 2010"	"cbt (ush)"	"wlc"	1.88948497400229	0.326699027623467	0.106732254650119	5	1.84	30	8.04	1.21	25	"fear-tb"	9	NA	"europe"	24.4	79.2	"high"
"41"	"Botella, 2010"	"cbt (ind)"	"wlc"	0.509747922229888	0.297176500242458	0.0883138722963557	40.18	11.24	22	45.33	8.63	25	"fne-b"	9	NA	"europe"	24.4	79.2	"high"
