"id","treatment","death","randomized"
1,"TIO-SMI",52,1989
1,"Placebo",38,2002
2,"TIO-SMI",35,1337
2,"Placebo",9,653
3,"TIO-HH",381,2986
3,"Placebo",411,3006
4,"TIO-HH",3,266
4,"Placebo",6,288
5,"TIO-HH",0,117
5,"Placebo",0,117
6,"TIO-HH",15,608
6,"Placebo",4,305
7,"TIO-HH",1,69
7,"Placebo",2,73
8,"TIO-HH",7,500
8,"Placebo",8,510
9,"TIO-HH",1,55
9,"Placebo",0,53
10,"TIO-HH",22,914
10,"Placebo",19,915
11,"TIO-HH",7,550
11,"Placebo",7,317
12,"TIO-HH",64,3707
12,"LABA",78,3669
13,"TIO-HH",1,402
13,"LABA",6,405
13,"Placebo",5,400
14,"TIO-HH",38,665
14,"LABA-ICS",21,658
15,"LABA",6,316
15,"Placebo",5,318
16,"LABA",3,440
16,"Placebo",0,217
17,"LABA",1,201
17,"Placebo",2,207
18,"ICS",5,127
18,"Placebo",5,127
19,"ICS",3,128
19,"Placebo",0,132
20,"ICS",4,123
20,"Placebo",0,121
21,"ICS",32,376
21,"Placebo",36,375
22,"ICS",8,634
22,"Placebo",10,643
23,"ICS",4,145
23,"Placebo",5,145
24,"ICS",0,142
24,"Placebo",2,139
25,"ICS",0,434
25,"Placebo",0,206
26,"LABA-ICS",6,479
26,"LABA",0,239
27,"LABA-ICS",4,394
27,"LABA",6,403
28,"LABA-ICS",6,394
28,"LABA",3,388
29,"LABA-ICS",7,507
29,"LABA",9,487
30,"LABA-ICS",2,189
30,"LABA",4,184
31,"LABA-ICS",5,92
31,"LABA",7,94
32,"LABA-ICS",7,988
32,"LABA",4,495
32,"Placebo",4,481
33,"LABA-ICS",1,131
33,"LABA",0,131
33,"Placebo",0,125
34,"LABA-ICS",2,297
34,"Placebo",0,148
35,"LABA-ICS",7,845
35,"LABA",1,284
35,"ICS",2,275
35,"Placebo",1,300
36,"LABA-ICS",193,1546
36,"LABA",205,1542
36,"ICS",246,1552
36,"Placebo",231,1544
37,"LABA-ICS",0,178
37,"LABA",0,177
37,"ICS",0,183
37,"Placebo",0,185
38,"LABA-ICS",2,358
38,"LABA",3,372
38,"ICS",3,374
38,"Placebo",7,361
39,"LABA-ICS",5,254
39,"LABA",13,255
39,"ICS",6,257
39,"Placebo",5,256
40,"LABA-ICS",6,208
40,"LABA",6,201
40,"ICS",5,198
40,"Placebo",9,205
41,"LABA-ICS",0,165
41,"LABA",0,160
41,"ICS",0,168
41,"Placebo",3,181
