study nei nci e1i c1i e2i c2i e3i c3i e4i c4i
1 19 22 16 20 11 12 4 8 4 3
2 34 35 22 22 18 12 15 8 15 6
3 72 68 44 40 21 15 10 3 3 0
4 22 20 19 12 14 5 5 4 2 3
5 70 32 62 27 42 13 26 6 15 5
6 183 94 130 65 80 33 47 14 30 11
7 26 50 24 30 13 18 5 10 3 9
8 61 55 51 44 37 30 19 19 11 15
9 36 25 30 17 23 12 13 4 10 4
10 45 35 43 35 19 14 8 4 6 0
11 246 208 169 139 106 76 67 42 51 35
12 386 141 279 97 170 46 97 21 73 8
13 59 32 56 30 34 17 21 9 20 7
14 45 15 42 10 18 3 9 1 9 1
15 14 18 14 18 13 14 12 13 9 12
16 26 19 21 15 12 10 6 4 5 1
17 74 75 NA NA 42 40 NA NA 23 30
