study ai n1i ci n2i
"Oseasohn 1965" 8 6956 33 7103
"McCormack 1969" 44 29939 35 9923
"Mosley 1970-i" 32 11491 13 3810
"Mosley 1970-ii" 2 11435 12 3810
"Taneja 1965" 73 40326 27 10789
"PCC 1973b" 72 82220 93 40620
"PCC 1973a-i" 38 44500 23 11050
"PCC 1973a-ii" 33 45750 22 11050
"PCC 1973a-iii" 36 44450 23 11050
"PCC 1973a-iv" 26 44700 22 11050
"Azurin 1965-i" 110 145500 52 48934
"Azurin 1965-ii" 92 148100 52 48933
"Azurin 1965-iii" 71 143600 52 48933
"Pal 1980" 13 101096 33 101030
"PCC 1968" 54 268700 41 90900
"Saroso 1978-i" 18 156300 19 79250
"Saroso 1978-ii" 10 155600 18 79250
