"author","year","b","SE"
"Hiatt and Bawol",1984,0.00434,0.00247
"Hiatt et al.",1988,0.0109,0.0041
"Willett t al.",1987,0.0284,0.00564
"Schatzkin et al.",1987,0.118,0.0476
"Harvey et al.",1987,0.0121,0.00429
"Rosenberg et al.",1982,0.087,0.0232
"Webster et al.",1983,0.00311,0.00373
"Paganini-Hill and Ross",1983,0,0.0094
"Byers and Funch",1982,0.00597,0.00658
"Rohan and McMichael",1988,0.0479,0.0205
"Talamini et al.",1984,0.0389,0.00768
"O'Connell et al.",1987,0.203,0.0946
"Harris and Wynder",1988,-0.00673,0.00419
"Le et al.",1984,0.0111,0.00481
"La Vecchia et al.",1985,0.0148,0.00635
"Begg et al.",1983,-0.000787,0.00867
