study x.nrt n.nrt x.ctrl n.ctrl treatment
"Ahluwalia 2006" 53 378 42 377 "gum"
"Areechon 1988" 56 99 37 101 "gum"
"Blondal 1989" 30 92 22 90 "gum"
"Br Thor Society 1983" 39 410 111 1208 "gum"
"Campbell 1987" 13 424 9 412 "gum"
"Campbell 1991" 21 107 21 105 "gum"
"Clavel 1985" 24 205 6 222 "gum"
"Clavel-Chapelon 1992" 47 481 42 515 "gum"
"Cooper 2005" 17 146 15 147 "gum"
"Fagerstrom 1982" 30 50 23 50 "gum"
"Fagerstrom 1984" 28 96 5 49 "gum"
"Fee 1982" 23 180 15 172 "gum"
"Fortmann 1995" 110 552 84 522 "gum"
"Garcia 1989" 21 68 5 38 "gum"
"Garvey 2000" 75 405 17 203 "gum"
"Gilbert 1989" 11 112 9 111 "gum"
"Gross 1995" 37 131 6 46 "gum"
"Hall 1985" 18 41 10 36 "gum"
"Hall 1987" 30 71 14 68 "gum"
"Hall 1996" 24 98 28 103 "gum"
"Harackiewicz 1988" 12 99 7 52 "gum"
"Herrera 1995" 30 76 13 78 "gum"
"Hjalmarson 1984" 31 106 16 100 "gum"
"Huber 1988" 13 54 11 60 "gum"
"Hughes 1989a" 23 210 6 105 "gum"
"Hughes 1990" 15 59 5 19 "gum"
"Jamrozik 1984" 10 101 8 99 "gum"
"Jarvis 1982" 22 58 9 58 "gum"
"Jensen 1991" 49 211 19 82 "gum"
"Killen 1984" 16 44 6 20 "gum"
"Killen 1990" 129 600 112 617 "gum"
"Llivina 1988" 61 113 28 103 "gum"
"Malcolm 1980" 6 73 3 121 "gum"
"McGovern 1992" 51 146 40 127 "gum"
"Moolchan 2005" 8 46 2 40 "gum"
"Mori 1992" 30 178 22 186 "gum"
"Nakamura 1990" 13 30 5 30 "gum"
"Nebot 1992" 5 106 13 319 "gum"
"Niaura 1994" 5 84 4 89 "gum"
"Niaura 1999" 1 31 2 31 "gum"
"Ockene 1991" 40 402 33 420 "gum"
"Oncken 2008" 11 100 9 94 "gum"
"Page 1986" 9 93 13 182 "gum"
"Pirie 1992" 75 206 50 211 "gum"
"Puska 1979" 29 116 21 113 "gum"
