"study" "pubtype" "country" "design" "program" "setting" "designprob" "n.ctrl.rec" "n.ctrl.non" "n.cbt.rec" "n.cbt.non" "interval" "group" "age" "male" "minority" "length" "sessions" "hrs_week" "hrs_total" "cbt.cogskills" "cbt.cogrestruct" "cbt.intpprbsolv" "cbt.socskills" "cbt.angerctrl" "cbt.victimimpact" "cbt.subabuse" "cbt.behavmod" "cbt.relapseprev" "cbt.moralrsng" "cbt.roletaking" "cbt.other"
"Guerra (1990)" "journal" "USA" "rct" "research" "prison" "no" 23 29 10 19 12 "juveniles" 17 50 60 12 1 1 12 "yes" "yes" "yes" "no" "no" "no" "no" "no" "no" "no" "yes" "no"
"Leeman (1993)" "journal" "USA" "rct" "demo" "prison" "no" 15 22 3 17 12 "juveniles" 16 100 34 26 1 6 169 "yes" "yes" "no" "yes" "yes" "no" "no" "no" "no" "yes" "yes" "no"
"Kownacki (1995)" "chapter" "USA" "rct" "research" "community" "no" 4 6 2 9 6 "adults" 28 100 NA 7 1 2 14 "yes" "no" "yes" "yes" "no" "no" "no" "no" "no" "no" "yes" "no"
"Larson (1989)" "chapter" "USA" "rct" "research" "community" "no" 11 2 8 5 15 "adults" 19 100 94 63 1 1 63 "yes" "no" "yes" "yes" "no" "no" "no" "no" "no" "no" "yes" "yes"
"Finn (1998)" "report" "USA" "rct" "practice" "prison" "no" 22 60 16 66 12 "adults" 30 100 74 17 5 15 240 "yes" "yes" "yes" "no" "yes" "yes" "no" "no" "no" "yes" "no" "yes"
"Goldstein (1989)" "chapter" "USA" "rct" "demo" "community" "no" 14 18 5 28 6 "juveniles" NA NA NA 13 2 1.5 44 "yes" "no" "no" "yes" "yes" "no" "no" "no" "no" "yes" "yes" "yes"
"Goldstein (1989)" "chapter" "USA" "nonequiv" "research" "community" "no" 14 13 5 33 8 "juveniles" NA 100 NA 17 2 2 50 "yes" "yes" "yes" "yes" "yes" "no" "no" "no" "no" "yes" "yes" "no"
"Ross (1988)" "journal" "CAN" "rct" "research" "community" "no" 16 7 4 18 9 "adults" 24 100 NA 20 2 4 80 "yes" "yes" "yes" "yes" "no" "no" "no" "no" "no" "no" "yes" "no"
"Pullen (1996)" "report" "USA" "rct" "practice" "community" "favors_ctrl" 6 14 7 13 6 "juveniles" 16 100 NA 18 2 4 70 "yes" "yes" "yes" "yes" "no" "no" "no" "no" "no" "no" "yes" "no"
"Shivrattan (1988)" "journal" "CAN" "rct" "demo" "prison" "no" 9 6 5 8 13 "juveniles" 16 100 NA 8 1 1 8 "yes" "yes" "yes" "yes" "no" "no" "no" "yes" "no" "no" "yes" "no"
