id        study year      ai     n1i     ci    n2i
1       Agarwal 2000      18     100     20    100
2       Agarwal 2002       5      50     18     50
3      Alkaissi 1999       9      20      7     20
4      Alkaissi 2002      32     135     31    139
5         Allen 1994       9      23     10     23
6  Andrzejowski 1996      11      18     12     18
7        Duggal 1998      69     122     80    122
8        Dundee 1986       3      25     12     25
9  Ferrera-Love 1996       1      30      1     30
10       Gieron 1993      11      30     19     30
11       Harmon 1999       7      44     16     39
12       Harmon 2000       4      47      6     47
13           Ho 1996       1      30     13     30
14         Rusy 2002      24      40     71     80
15         Wang 2002      16      50     53     88
16       Zarate 2001      28     110     25    111
