"Short_Title","Full_Citation","Year","PRPublication","Source_Type","Preregistered","Moderator_Group","Context","Gender","Color_Contrast","Color_Form","Photo_Type","Photo_Similarity","DV_Type","DV_Items","DV_Scale","DV_ScaleBottom","DV_ScaleTop","Location","Continent","Participants","Participant_Notes","Design","Eth_Majority","Eth_Majority_Detail","Eth_Stim","Eth_Match","Red_Age","Control_Age","Color_Red","Color_Control","Red_Original","Color_Match","Presentation_Control","Stimuli_Presentation","Red_N","Red_M","Red_SD","Control_N","Control_M","Control_SD","SD_diff","RM_r","Control_Attractiveness","Notes","Total.SampleSize","pooled","yi","vi"
"Roberts et al., 2010 - Exp 2","Roberts, S. C., Owen, R. C., & Havlicek, J. (2010). Distinguishing between Perceiver and Wearer Effects in Clothing Color-Associated Attributions. Evolutionary Psychology, 8(3), 350-364. http://doi.org/10.1177/147470491000800304",2010.1,"Yes","Journal","Not Pre-Registered","No","Romantic","Females","Blue/Green/White","Clothing","Bust","Different between conditions","Single item rating of attractiveness",1,"1-10",1,10,"England","Europe","Students","Undergrads","Within Subjects","White","Noted in manuscript all caucasian","White","Matched",NA,NA,"No Data","No Data","No","No","Yes","Screen",15,3.66,0.59976,15,3.44666666666667,0.608566724936551,NA,0.66,0.271851851851852,"Age range includes both male and female participants.",15,0.604179408909307,0.333777317264367,0.0490469099173399
"Roberts et al., 2010 - Exp 2","Roberts, S. C., Owen, R. C., & Havlicek, J. (2010). Distinguishing between Perceiver and Wearer Effects in Clothing Color-Associated Attributions. Evolutionary Psychology, 8(3), 350-364. http://doi.org/10.1177/147470491000800304",2010.1,"Yes","Journal","Not Pre-Registered","No","Romantic","Males","Blue/Green/White","Clothing","Bust","Different between conditions","Single item rating of attractiveness",1,"1-10",1,10,"England","Europe","Students","Undergrads","Within Subjects","White","Noted in manuscript all caucasian","White","Matched",NA,NA,"No Data","No Data","No","No","Yes","Screen",15,3.6533,0.4486,15,3.45556666666667,0.482089580818061,NA,0.92,0.272840740740741,"Age range includes both male and female participants.",15,0.465645962042695,0.401409888437507,0.0160376632845137
"Wartenberg et al., 2011 - Exp 1 - In Group","Wartenberg, W., Hoepfner, T., Potthast, P., & Mirau, A. (2011). If you wear red on a date, you will please your mate. Proceedings of Empiriepraktikumskongress, 6th, Aug. 7, pp 26-27. University of Jena, Germany.",2011,"No","Conference Proceedings","Not Pre-Registered","No","Romantic","Females","Blue","Background","Bust","Same between conditions","Perceived attractiveness",4,"1-7",1,7,"Germany","Europe","Students","Undergrads","Within Subjects","White","White","White","Matched",21.47,21.47,"No Data","No Data","No","No","Yes","Screen",39,3,1.18,39,2.76,1.13,0.63,0.856,0.293333333333333,"Translation of summary provided by Elliot; within subjects info still needed",39,1.15527053108785,0.203611613194989,0.00791612421830597
"Gilston & Privitera, 2016 - Exp 1 - Healthy","Gilston, A., & Privitera, G. J. (2015). A 'Healthy' Color: Information About Healthy Eating Attenuates the 'Red Effect.' Global Journal of Health Science, 8(1), 56-61. https://doi.org/10.5539/gjhs.v8n1p56",2016,"Yes","Journal","Not Pre-Registered","No","Romantic","Males","White","Clothing","Head Shot","Same between conditions","Perceived attractiveness",1,"1-7",1,7,"USA","North America","Students","Undergrad","Within Subjects",NA,NA,"White",NA,19.85,19.85,"No Data","No Data","No","No","Yes","Screen",54,5.65,1.51,54,3.09,1.09,NA,0.893,0.348333333333333,NA,54,1.31685230758806,1.9163675469246,0.0379672645824613
"Roberts et al., 2010 - Exp 1","Roberts, S. C., Owen, R. C., & Havlicek, J. (2010). Distinguishing between Perceiver and Wearer Effects in Clothing Color-Associated Attributions. Evolutionary Psychology, 8(3), 350-364. http://doi.org/10.1177/147470491000800304",2010.1,"Yes","Journal","Not Pre-Registered","No","Romantic","Females","Blue/Green/White","Clothing","Bust","Different between conditions","Single item rating of attractiveness",1,"1-10",1,10,"England","Europe","Students","Undergrads","Within Subjects","White","Noted in manuscript all caucasian","White","Matched",NA,NA,"No Data","No Data","No","No","Yes","Screen",30,4.49655172413793,1.22765400820122,30,4.26321839080459,1.18381876686023,NA,0.66,0.36257982120051,"Age range includes both male and female participants.",30,1.20593557801049,0.188432533668833,0.0232584469957476
"Roberts et al., 2010 - Exp 1","Roberts, S. C., Owen, R. C., & Havlicek, J. (2010). Distinguishing between Perceiver and Wearer Effects in Clothing Color-Associated Attributions. Evolutionary Psychology, 8(3), 350-364. http://doi.org/10.1177/147470491000800304",2010.1,"Yes","Journal","Not Pre-Registered","No","Romantic","Males","Blue/Green/White","Clothing","Bust","Different between conditions","Single item rating of attractiveness",1,"1-10",1,10,"England","Europe","Students","Undergrads","Within Subjects","White","Noted in manuscript all caucasian","White","Matched",NA,NA,"No Data","No Data","No","No","Yes","Screen",30,4.59655172413793,1.09544511501033,30,4.40459770114942,0.915125898565832,NA,0.92,0.378288633461047,"Age range includes both male and female participants.",30,1.00932041746561,0.185212959082523,0.00590506400353507
"Roberts et al., 2010 - Exp 3","Roberts, S. C., Owen, R. C., & Havlicek, J. (2010). Distinguishing between Perceiver and Wearer Effects in Clothing Color-Associated Attributions. Evolutionary Psychology, 8(3), 350-364. http://doi.org/10.1177/147470491000800304",2010.1,"Yes","Journal","Not Pre-Registered","No","Romantic","Males","White","Clothing","Bust","Same between conditions","Single item rating of attractiveness",1,"1-10",1,10,"England","Europe","Students","Undergrads","Within Subjects","White","Noted in manuscript all caucasian","White","Matched",NA,NA,"No Data","No Data","No","No","Yes","Screen",25,4.816,0.9008,25,4.884,0.8494,0.3614,0.92,0.431555555555556,"Age range includes both male and female participants.",25,0.87547729839214,-0.0752147839759867,0.00651314527457108
"Roberts et al., 2010 - Exp 3","Roberts, S. C., Owen, R. C., & Havlicek, J. (2010). Distinguishing between Perceiver and Wearer Effects in Clothing Color-Associated Attributions. Evolutionary Psychology, 8(3), 350-364. http://doi.org/10.1177/147470491000800304",2010.1,"Yes","Journal","Not Pre-Registered","No","Romantic","Females","White","Clothing","Bust","Same between conditions","Single item rating of attractiveness",1,"1-10",1,10,"England","Europe","Students","Undergrads","Within Subjects","White","Noted in manuscript all caucasian","White","Matched",NA,NA,"No Data","No Data","No","No","Yes","Screen",23,4.86957,0.7486,23,4.90435,0.73018,0.60574,0.66,0.433816666666667,"Age range includes both male and female participants.",23,0.739447358640221,-0.0454100937955686,0.0296100451438809
"Young, 2015 - Exp 1 - More Attractive","Young, S. G. (2015). The effect of red on male perceptions of female attractiveness: Moderation by baseline attractiveness of female faces. European Journal of Social Psychology, 45(2), 146-151. http://doi.org/10.1002/ejsp.2098",2015,"Yes","Journal","Not Pre-Registered","No","Romantic","Males","Gray","Background","Head Shot","Same between conditions","Single item",1,"1-7",1,7,"USA","North America","Students","Undergrads","Within Subjects","Mixed","Mixed","White","Mis-match",19.9,19.9,"LCh(62.7, 84.6, 34.1)","LCh(62.6, -, 265.5)","No","Yes","Yes","Screen",19,4.29,0.86,19,4.17,0.81,0.22637,0.965,0.528333333333333,NA,19,0.835374167663808,0.137564190623973,0.00418220806689549
"Young, 2015 - Exp 2 - More Attractive","Young, S. G. (2015). The effect of red on male perceptions of female attractiveness: Moderation by baseline attractiveness of female faces. European Journal of Social Psychology, 45(2), 146-151. http://doi.org/10.1002/ejsp.2098",2015,"Yes","Journal","Not Pre-Registered","No","Romantic","Males","Blue/Gray","Background","Head Shot","Same between conditions","Single item",1,"1-7",1,7,"USA","North America","Students","Undergrads","Within Subjects","Mixed","Mixed","White","Mis-match",21.1,21.1,"LCh(62.7, 84.6, 34.1)","LCh(62.7, 84.6, 34.1)","No","Yes","Yes","Screen",46,4.301,1.106,46,4.19,1.068,0.24711,0.975,0.531666666666667,"Blue and Gray ratings averaged, then compared to red; original data provided",46,1.0871660406764,0.100387540028362,0.00119649628470593
