"Article","Datapoint","Amniotes","animal","Species","Common.Name","Parameters","Statistics","Estimate","df","df.1","SE","Type","Direction","Formula","Process","N","Maternal","Offspring","Fecundity","Reproduction","Propagule","Environment","Comments","Author","year","Data.Extraction","Phylum","Class","Order","Family","Genus","X","r","Zr","RU"
1,20,"Y","Sceloporus_virgatus","Sceloporus_virgatus","Spiny lizard",NA,0.38,NA,NA,NA,NA,"r","+","r",0,21,"Length","Mass","Clutch","it","Egg","Wild","1993","Abell, A.J.","1999",1,"Chordata","Reptilia","Squamata","Phrynosomatidae","Sceloporus",NA,0.38,0.400059650056057,"Single"
1,22,"Y","Sceloporus_virgatus","Sceloporus_virgatus","Spiny lizard",NA,0.21,NA,NA,NA,NA,"r","+","r",0,14,"Length","Mass","Clutch","it","Egg","Wild","1994","Abell, A.J.","1999",1,"Chordata","Reptilia","Squamata","Phrynosomatidae","Sceloporus",NA,0.21,0.21317134656486,"Single"
2,24,"N","Elysia_stylifera","Elysia_stylifera","Sea slug",2,0.417,NA,NA,NA,NA,"r2","+","13",1,21,"Length","Area","Clutch","it","Egg","Wild","2D cross section area","Allen, R.M., Krug, P.J. & Marshall, D.J.","2009",1,"Mollusca","Gastropoda","Heterobranchia","Plakobranchidae","Elysia",NA,0.593483127158829,0.683026054764422,"Single"
3,26,"N","Callosobruchus_maculatus","Callosobruchus_maculatus","Cowpea weevil",NA,0.274,NA,NA,NA,NA,"r","+","r",0,115,"Weight","Diameter","Clutch","it","Egg","Captive","","Fox, C.W.","1993",1,"Arthropoda","Insecta","Coleoptera","Chrysomelidae","Callosobruchus",NA,0.274,0.281183410653656,"Single"
5,30,"Y","Mirounga_leonina","Mirounga_leonina","Southern elephant seals",2,0.3,NA,NA,NA,NA,"r2","+","13",1,71,"Weight","Mass","Clutch","it","Offspring","Wild","Male offsprings","Arnboom, T., Fedak, M.A. & Rothery, P.","1994",1,"Chordata","Mammalia","Carnivora","Phocidae","Mirounga",NA,0.528594139870924,0.588192153694394,"Single"
5,31,"Y","Mirounga_leonina","Mirounga_leonina","Southern elephant seals",2,0.37,NA,NA,NA,NA,"r2","+","13",1,80,"Weight","Mass","Clutch","it","Offspring","Wild","Female offsprings","Arnboom, T., Fedak, M.A. & Rothery, P.","1994",1,"Chordata","Mammalia","Carnivora","Phocidae","Mirounga",NA,0.594673325142774,0.684865417928901,"Single"
6,33,"N","Sancassania_berlesei","Sancassania_berlesei","Soil mite",NA,0.384,NA,NA,NA,NA,"r","+","r",1,117,"Mass","Mass","Clutch","it","Egg","Captive","Graph Clicked Values","Benton, T.G., St Clair, J.J.H & Palistow, S.J.","2008",1,"Arthropoda","Arachnida","Sarcoptiformes","Acaridae","Sancassania",NA,0.384,0.404743086322048,"Single"
7,34,"N","Salmo_salar","Salmo_salar","Atlantic salmon",NA,0.813,NA,NA,NA,NA,"r","+","r",0,6,"Length","Diameter","Clutch","it","Egg","Wild","","Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A.","2001",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salmo",NA,0.813,1.13581479695013,"Single"
7,36,"N","Salmo_salar","Salmo_salar","Atlantic salmon",NA,0.759,NA,NA,NA,NA,"r","+","r",0,6,"Weight","Diameter","Clutch","it","Egg","Wild","","Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A.","2001",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salmo",NA,0.759,0.993851905623452,"Single"
7,35,"N","Salmo_salar","Salmo_salar","Atlantic salmon",NA,0.823,NA,NA,NA,NA,"r","+","r",0,6,"Size","Mass","Clutch","it","Egg","Wild","","Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A.","2001",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salmo",NA,0.823,1.16604452105242,"Single"
