"Article","Amniotes","animal","Type","Parameters","Statistics","Estimate","df","df.1","SE","Correlation","Direction","Adjusted","Formula","N","Maternal","Offspring","Propagule","Reproduction..0...itero..1...semel.","Environment","Comments","Author","Date","Species","Data.Extraction","Phylum","Class","Order","Family","Genus","X","r","Zr"
74,"Y","Acanthodactylus_erythrurus","r",NA,0.064,NA,NA,NA,NA,"","+","Y",NA,14,"Fecundity","Mass","Egg","0","Captive","","Castilla, A. M., Barbadillo, L. J. & Bauwens, D.","1992","Acanthodactylus_erythrurus",2,"Chordata","Reptilia","Squamata","Lacertidae","Acanthodactylus",NA,0.064,0.0640875967119989
142,"N","Alopecosa_hirtipes","r2",2,2e-04,NA,NA,NA,NA,"","+","Y",NA,40,"Fecundity","Diameter","Egg","0","Wild","Width; 1990","Simpson, M. R.","1993","Alopecosa_hirtipes",2,"Arthropoda","Arachnida","Araneae","Lycosidae","Alopecosa",NA,0.014142135623731,0.0141430785459258
142,"N","Alopecosa_hirtipes","r2",2,0.0431,NA,NA,NA,NA,"","-","Y",NA,55,"Fecundity","Diameter","Egg","0","Wild","Width; 1991","Simpson, M. R.","1993","Alopecosa_hirtipes",2,"Arthropoda","Arachnida","Araneae","Lycosidae","Alopecosa",NA,-0.079348307141072,-0.0795154687986372
95,"N","Anisakis_simplex","r",NA,-0.238,NA,NA,NA,NA,"","-","Y",NA,50,"Fecundity","Volume","Egg","0","Wild","","Herreras, M. V., Montero, F. E., Marcogliese, D. J., Raga, J. A. & Balbuena, J. A.","2007","Anisakis_simplex",2,"Nematoda","Secernentea","Ascaridida","Anisakidae","Anisakis",NA,-0.238,-0.242652948778948
101,"Y","Apalone_ferox","r",NA,-0.18,NA,NA,NA,NA,"","-","Y",NA,41,"Fecundity","Length","Egg","0","Wild","Only length was significant and thus only r of length was given in paper","Iverson, J. B. & Moler, P. E.","1997","Apalone_ferox",2,"Chordata","Reptilia","Testudines","Trionychidae","Apalone",NA,-0.18,-0.181982688600706
48,"Y","Apodemus_argenteus","d",NA,0.006,NA,NA,NA,NA,"-0.012","+","Y",NA,177,"Fecundity","Mass","Offspring","0","Wild","","Shibata, F. & Kawamichi, T.","2009","Apodemus_argenteus",1,"Chordata","Mammalia","Rodentia","Muridae","Apodemus",NA,0.00299998650009112,0.00299999550001823
67,"N","Araschnia_levana","r",NA,-0.2,NA,NA,NA,NA,"","-","Y",NA,142,"Fecundity","Mass","Egg","0","Captive","","Bauerfeind, S. S. & Fischer, K.","2008","Araschnia_levana",2,"Arthropoda","Insecta","Lepidoptera","Nymphalidae","Araschnia",NA,-0.2,-0.202732554054082
148,"Y","Caiman_crocodilus","r",NA,-0.12,NA,NA,NA,NA,"","-","Y",NA,25,"Fecundity","Mass","Egg","0","Wild","","Thorbjarnarson, J. B.","1994","Caiman_crocodilus",2,"Chordata","Reptilia","Crocodilia","Alligatoridae","Caiman",NA,-0.12,-0.120581028408444
72,"N","Centruroides_exilicauda","r",NA,0.02,NA,NA,NA,NA,"","+","Y",NA,18,"Fecundity","Mass","Offspring","0","Captive","","Brown, C. A.","2003","Centruroides_exilicauda",2,"Arthropoda","Arachnida","Scorpiones","Buthidae","Centruroides",NA,0.02,0.0200026673068496
72,"N","Centruroides_exilicauda","r",NA,-0.05,NA,NA,NA,NA,"","-","Y",NA,15,"Fecundity","Mass","Offspring","0","Captive","","Brown, C. A.","2003","Centruroides_exilicauda",2,"Arthropoda","Arachnida","Scorpiones","Buthidae","Centruroides",NA,-0.05,-0.0500417292784913
72,"N","Centruroides_vittatus","r",NA,-0.66,NA,NA,NA,NA,"","-","Y",NA,13,"Fecundity","Mass","Offspring","0","Captive","","Brown, C. A.","2003","Centruroides_vittatus",2,"Arthropoda","Arachnida","Scorpiones","Buthidae","Centruroides",NA,-0.66,-0.792813631870191
72,"N","Centruroides_vittatus","r",NA,-0.02,NA,NA,NA,NA,"","-","Y",NA,23,"Fecundity","Mass","Offspring","0","Captive","","Brown, C. A.","2003","Centruroides_vittatus",2,"Arthropoda","Arachnida","Scorpiones","Buthidae","Centruroides",NA,-0.02,-0.0200026673068496
72,"N","Centruroides_vittatus","r",NA,-0.01,NA,NA,NA,NA,"","-","Y",NA,23,"Fecundity","Mass","Offspring","0","Captive","","Brown, C. A.","2003","Centruroides_vittatus",2,"Arthropoda","Arachnida","Scorpiones","Buthidae","Centruroides",NA,-0.01,-0.0100003333533348
72,"N","Centruroides_vittatus","r",NA,0.05,NA,NA,NA,NA,"","+","Y",NA,45,"Fecundity","Mass","Offspring","0","Captive","","Brown, C. A.","2003","Centruroides_vittatus",2,"Arthropoda","Arachnida","Scorpiones","Buthidae","Centruroides",NA,0.05,0.0500417292784913
72,"N","Centruroides_vittatus","r",NA,-0.02,NA,NA,NA,NA,"","-","Y",NA,12,"Fecundity","Mass","Offspring","0","Captive","","Brown, C. A.","2003","Centruroides_vittatus",2,"Arthropoda","Arachnida","Scorpiones","Buthidae","Centruroides",NA,-0.02,-0.0200026673068496
72,"N","Centruroides_vittatus","r",NA,-0.46,NA,NA,NA,NA,"","-","Y",NA,17,"Fecundity","Mass","Offspring","0","Captive","","Brown, C. A.","2003","Centruroides_vittatus",2,"Arthropoda","Arachnida","Scorpiones","Buthidae","Centruroides",NA,-0.46,-0.497311287572031
72,"N","Centruroides_vittatus","r",NA,-0.25,NA,NA,NA,NA,"","-","Y",NA,19,"Fecundity","Mass","Offspring","0","Captive","","Brown, C. A.","2003","Centruroides_vittatus",2,"Arthropoda","Arachnida","Scorpiones","Buthidae","Centruroides",NA,-0.25,-0.255412811882995
72,"N","Centruroides_vittatus","r",NA,-0.004,NA,NA,NA,NA,"","-","Y",NA,51,"Fecundity","Mass","Offspring","0","Captive","","Brown, C. A.","2003","Centruroides_vittatus",2,"Arthropoda","Arachnida","Scorpiones","Buthidae","Centruroides",NA,-0.004,-0.00400002133353813
72,"N","Centruroides_vittatus","r",NA,-0.02,NA,NA,NA,NA,"","-","Y",NA,32,"Fecundity","Mass","Offspring","0","Captive","","Brown, C. A.","2003","Centruroides_vittatus",2,"Arthropoda","Arachnida","Scorpiones","Buthidae","Centruroides",NA,-0.02,-0.0200026673068496
72,"N","Centruroides_vittatus","r",NA,-0.31,NA,NA,NA,NA,"","-","Y",NA,41,"Fecundity","Mass","Offspring","0","Captive","","Brown, C. A.","2003","Centruroides_vittatus",2,"Arthropoda","Arachnida","Scorpiones","Buthidae","Centruroides",NA,-0.31,-0.320545409301946
72,"N","Centruroides_vittatus","r",NA,-0.01,NA,NA,NA,NA,"","-","Y",NA,44,"Fecundity","Mass","Offspring","0","Captive","","Brown, C. A.","2003","Centruroides_vittatus",2,"Arthropoda","Arachnida","Scorpiones","Buthidae","Centruroides",NA,-0.01,-0.0100003333533348
72,"N","Centruroides_vittatus","r",NA,-0.32,NA,NA,NA,NA,"","-","Y",NA,28,"Fecundity","Mass","Offspring","0","Captive","","Brown, C. A.","2003","Centruroides_vittatus",2,"Arthropoda","Arachnida","Scorpiones","Buthidae","Centruroides",NA,-0.32,-0.331647108705132
44,"Y","Chrysemys_picta","r",NA,-0.3,NA,NA,NA,NA,"-0.3","+","Y",NA,82,"Fecundity","Mass","Egg","0","Wild","Location 1","Rowe, J.W.","1994","Chrysemys_picta",1,"Chordata","Reptilia","Testudines","Emydidae","Chrysemys",NA,-0.3,-0.309519604203112
44,"Y","Chrysemys_picta","r",NA,-0.35,NA,NA,NA,NA,"-0.35","+","Y",NA,66,"Fecundity","Mass","Egg","0","Wild","Location 2","Rowe, J.W.","1994","Chrysemys_picta",1,"Chordata","Reptilia","Testudines","Emydidae","Chrysemys",NA,-0.35,-0.365443754271396
44,"Y","Chrysemys_picta","r",NA,0.16,NA,NA,NA,NA,"0.16","+","Y",NA,34,"Fecundity","Mass","Egg","0","Wild","Location 3","Rowe, J.W.","1994","Chrysemys_picta",1,"Chordata","Reptilia","Testudines","Emydidae","Chrysemys",NA,0.16,0.161386696131526
44,"Y","Chrysemys_picta","r",NA,-0.12,NA,NA,NA,NA,"-0.12","+","Y",NA,35,"Fecundity","Mass","Egg","0","Wild","Location 4","Rowe, J.W.","1994","Chrysemys_picta",1,"Chordata","Reptilia","Testudines","Emydidae","Chrysemys",NA,-0.12,-0.120581028408444
45,"Y","Chrysemys_picta","r",NA,-0.05,NA,NA,NA,NA,"-0.05","+","Y",NA,144,"Fecundity","Mass","Egg","0","Wild","","Rowe, J.W., Coval, K.A. & Campbell, K.C.","2003","Chrysemys_picta",1,"Chordata","Reptilia","Testudines","Emydidae","Chrysemys",NA,-0.05,-0.0500417292784913
62,"Y","Chrysemys_picta","t",NA,-6.09,NA,127,NA,NA,"-0.003","-","Y",NA,130,"Fecundity","Mass","Egg","0","Wild","","Rollison, N., Brooks, R.J.","2008","Chrysemys_picta",1,"Chordata","Reptilia","Testudines","Emydidae","Chrysemys",NA,-0.47542142506055,-0.517051857014323
176,"Y","Chrysemys_picta","t",5,-4.66,-0.788,163,NA,NA,"","-","Y",NA,168,"Fecundity","Mass","Egg","0","Wild","","Rollinson, N. & Brooks, R.","2008","Chrysemys_picta",2,"Chordata","Reptilia","Testudines","Emydidae","Chrysemys",NA,-0.342873664641065,-0.357345415661247
70,"Y","Clemmys_insculpta","r",NA,0.35,NA,NA,NA,NA,"","+","Y",NA,21,"Fecundity","Mass","Egg","0","Wild","","Brooks, R. J., Shilton, C. M., Brown, G. P. & Quinn, N. W. S.","1992","Clemmys_insculpta",2,"Chordata","Reptilia","Testudines","Emydidae","Clemmys",NA,0.35,0.365443754271396
36,"Y","Coronella_austriaca","r",NA,0.06,NA,NA,NA,NA,"0.06","+","Y",NA,28,"Fecundity","Length","Offspring","0","Wild","","Luiselli, L., Capula, M. & Shine, R.","1996","Coronella_austriaca",1,"Chordata","Reptilia","Squamata","Colubridae","Coronella",NA,0.06,0.0600721559210317
