"article" "author" "year" "species" "amniotes" "environment" "reprounit" "ri" "ni"
1 "Abell, A.J." "1999" "Sceloporus_virgatus" "yes" "wild" "single" 0.8 21
1 "Abell, A.J." "1999" "Sceloporus_virgatus" "yes" "wild" "single" 0.74 14
2 "Allen, R.M., Krug, P.J. & Marshall, D.J." "2009" "Elysia_stylifera" "no" "wild" "single" 0.663 24
4 "Gunn, J.S. & Thresher, R.E." "1991" "Heteroclinus_perspicillatus" "no" "wild" "single" 0.918 19
4 "Gunn, J.S. & Thresher, R.E." "1991" "Heteroclinus_puellarum" "no" "wild" "single" 0.746 27
8 "Bernal, J.S., Gillogly, P.O. & Griset, J." "2001" "Parallorhogas_pyralophagus" "no" "captive" "single" 0.882 38
9 "Blouin-Demers, G. & Weatherhead, P.J." "2007" "Pantherophis_obsoletus" "yes" "wild" "single" 0.264 52
13 "Bonnet, X., Naulleau, G., Shine, R. & Lourdais, O." "2001" "Vipera_aspis" "yes" "wild" "single" 0.17 146
14 "Bonnet, X., Shine, R., Lourdais, O. & Naulleau, G." "2003" "Vipera_aspis" "yes" "wild" "single" 0.55 57
14 "Bonnet, X., Shine, R., Lourdais, O. & Naulleau, G." "2003" "Vipera_aspis" "yes" "wild" "single" 0.21 173
15 "Dziminski, M.A. & Alford, R.A." "2005" "Limnodynastes_ornatus" "no" "wild" "single" 0.163 24
15 "Dziminski, M.A. & Alford, R.A." "2005" "Cyclorana_alboguttata" "no" "wild" "single" -0.029 21
15 "Dziminski, M.A. & Alford, R.A." "2005" "Cyclorana_brevipes" "no" "wild" "single" 0.771 8
15 "Dziminski, M.A. & Alford, R.A." "2005" "Cyclorana_novaehollandiae" "no" "wild" "single" -0.452 8
15 "Dziminski, M.A. & Alford, R.A." "2005" "Litoria_caerulea" "no" "wild" "single" 0.636 15
15 "Dziminski, M.A. & Alford, R.A." "2005" "Litoria_fallax" "no" "wild" "single" 0.557 28
15 "Dziminski, M.A. & Alford, R.A." "2005" "Litoria_gracilenta" "no" "wild" "single" 0.283 9
15 "Dziminski, M.A. & Alford, R.A." "2005" "Litoria_nasuta" "no" "wild" "single" 0.261 10
15 "Dziminski, M.A. & Alford, R.A." "2005" "Litoria_rothii" "no" "wild" "single" 0.697 11
15 "Dziminski, M.A. & Alford, R.A." "2005" "Litoria_rubella" "no" "wild" "single" 0.036 8
16 "Ford, N.B. & Seigel, R.A." "1989" "Pantherophis_guttatus" "yes" "captive" "single" 0.76 21
16 "Ford, N.B. & Seigel, R.A." "1989" "Trimeresurus_flavoviridis" "yes" "captive" "single" 0.178 15
16 "Ford, N.B. & Seigel, R.A." "1989" "Ovophis_okinavensis" "yes" "captive" "single" 0.418 23
17 "Barbosa, M. & Magurran, A.E." "2010" "Poecilia_reticulata" "no" "captive" "single" 0.501 140
21 "Campbell, M.T. & Slade, N.A." "1995" "Sigmodon_hispidus" "yes" "wild" "single" 0.517 29
22 "Castro, L.R., Claramunt, G., Krautz, M.C., Llanos-Rivera, A. & Morena, P." "2009" "Engraulis_ringens" "no" "wild" "single" 0.778 168
