"article" "author" "year" "species" "amniotes" "environment" "ri" "ni"
1 "Abell, A.J." "1999" "Sceloporus_virgatus" "yes" "wild" -0.44 21
1 "Abell, A.J." "1999" "Sceloporus_virgatus" "yes" "wild" -0.52 14
1 "Abell, A.J." "1999" "Sceloporus_virgatus" "yes" "wild" -0.48 21
1 "Abell, A.J." "1999" "Sceloporus_virgatus" "yes" "wild" -0.47 14
4 "Blouin-Demers, G. & Weatherhead, P.J." "2007" "Pantherophis_obsoletus" "yes" "wild" -0.193 52
6 "Brown, G.P. & Shine, R." "2005" "Tropidonophis_mairii" "yes" "wild" -0.69 318
7 "Dahle, B., Zedrosser, A. & Swenson, J.E." "2006" "Ursus_arctos" "yes" "wild" -0.548 226
7 "Dahle, B., Zedrosser, A. & Swenson, J.E." "2006" "Ursus_arctos" "yes" "wild" -0.828 224
12 "Du, W.G., Ji, X., Zhang, Y.P., Xu, X.F & Shine, R." "2005" "Takydromus_septentrionalis" "yes" "captive" -0.185 401
13 "Dziminski, M.A. & Roberts, J.D." "2006" "Crinia_georgiana" "no" "wild" -0.961 33
14 "Dziminski, M.A., Vercoe, P.E. & Roberts, J.D. " "2009" "Crinia_georgiana" "no" "wild" -0.56 36
15 "Ebert, D." "1993" "Daphnia_magna" "no" "captive" -0.18 215
16 "Edwards, T.M., Miller, H.D. & Guillette Jr., L.J." "2006" "Gambusia_holbrooki" "no" "wild" -0.61 240
18 "Ford, N.B. & Seigel, R.A." "1989" "Ovophis_okinavensis" "yes" "captive" -0.63 13
18 "Ford, N.B. & Seigel, R.A." "1989" "Ovophis_okinavensis" "yes" "captive" -0.61 19
18 "Ford, N.B. & Seigel, R.A." "1989" "Pantherophis_guttatus" "yes" "captive" -0.36 21
19 "Ford, N.B. & Seigel, R.A." "2006" "Lamprophis_fuliginosus" "yes" "captive" -0.728 15
22 "Gignac, A. & Gregory, P.T." "2005" "Thamnophis_ordinoides" "yes" "captive" -0.61 24
24 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" -0.58 40
24 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" -0.189 41
24 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" -0.333 38
24 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" -0.029 40
24 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" -0.241 45
24 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" 0.024 45
24 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" -0.218 35
24 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" -0.135 44
24 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" -0.118 43
24 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" -0.045 46
25 "Gregerson, F, Haugen, T.O. & Larsen, O.N." "2006" "Thymallus_thymallus" "no" "wild" -0.59 42
25 "Gregerson, F, Haugen, T.O. & Larsen, O.N." "2006" "Thymallus_thymallus" "no" "wild" -0.265 7
25 "Gregerson, F, Haugen, T.O. & Larsen, O.N." "2006" "Thymallus_thymallus" "no" "wild" -0.369 28
25 "Gregerson, F, Haugen, T.O. & Larsen, O.N." "2006" "Thymallus_thymallus" "no" "wild" -0.613 37
25 "Gregerson, F, Haugen, T.O. & Larsen, O.N." "2006" "Thymallus_thymallus" "no" "wild" -0.517 35
28 "Heath, D.D., Fox, C.W. & Heath, J.W." "1999" "Oncorhynchus_tshawytscha" "no" "captive" -0.77 80
31 "Ji, X. & Wang, Z.W." "2005" "Naja_atra" "yes" "wild" -0.26 152
33 "Kudo, S." "2001" "Elasmucha_dorsalis" "no" "wild" -0.448 22
33 "Kudo, S." "2001" "Elasmucha_putoni" "no" "wild" -0.802 20
33 "Kudo, S." "2001" "Elasmucha_putoni" "no" "captive" -0.283 28
33 "Kudo, S." "2001" "Sastragala_esakii" "no" "wild" -0.745 14
33 "Kudo, S." "2001" "Sastragala_scutellata" "no" "wild" -0.821 10
34 "Kudo, S." "2006" "Elasmucha_signoreti" "no" "wild" -0.038 24
