id    study                 year     country             ni    major    baseline    version  duration    prep             dosage   response   ai    n1i   ci    n2i      group
1     "Hoffman & Kuehl"     1979     "Germany"           60    0        NA          NA       6           "Hyperforat"     NA       4          19    30    3     30       3
2     "Schlich et al."      1987     "Germany"           49    0        31.3        21       4           "PsychotoninM"   350      1          15    25    3     24       3
3     "Schmidt et al."      1989     "Germany"           40    0        29.4        21       4           "PsychotoninM"   500      1          10    20    4     20       3
4     "Halama"              1991     "Germany"           50    0        18.2        17       4           "LI160"          900      1          10    25    0     25       3
5     "Harrer et al."       1991     "Austria"           120   0        21.3        NA       6           "PsychotoninM"   500      NA         NA    NA    NA    NA       NA
6     "Osterheider et al."  1992     "Germany"           47    0        22.2        NA       8           "PsychotoninM"   500      3          0     22    0     23       3
7     "Reh et al."          1992     "Germany"           50    0        19.5        21       8           "Neuroplant"     380      1          20    25    11    25       4
8     "Huebner et al."      1993     "Germany"           40    0        12.5        17       4           "LI160"          900      1          14    20    9     20       4
9     "Lehrl & Woelk"       1993     "Germany"           50    1        22.7        21       4           "LI160"          900      1          4     25    2     25       1
10    "Schmidt & Sommer"    1993     "Germany"           65    0        16.5        21       6           "LI160"          900      1          20    32    6     33       4
11    "Quandt et al."       1993     "Germany"           88    0        17.6        21       4           "PsychotoninM"   500      1          29    44    3     44       3
12    "Koenig"              1993     "Switzerland"       112   0        NA          NA       6           "Z90017"         750      4          29    55    31    57       4
13    "Sommer & Harrer"     1994     "Germany/Austria"   105   0        15.8        21       4           "LI160"          900      1          28    50    13    55       4
14    "Witte et al."        1995     "Germany"           97    1        23.6        21       6           "Psychotoninf"   240      1          34    48    25    49       2
15    "Haensgen & Vesper"   1996     "Germany"           197   1        20.7        21       4           "LI160"          900      1          35    53    12    54       1
16    "Laakmann et al."     1998     "Germany"           147   1        21.1        17       6           "WS5572"         900      2          24    49    16    49       1
17    "Schrader et al."     1998     "Germany"           162   1        19.4        21       6           "ZE117"          500      1          45    80    12    79       1
18    "Philipp et al."      1999     "Germany"           263   1        22.7        17       6           "STEI3000"       1050     1          67    106   22    47       2
19    "Winkel et al."       2000     "Germany"           119   0        16.7        21       6           "LI160"          900      3          34    60    17    59       4
20    "Volz et al."         2000     "Germany"           140   1        20.9        21       6           "D0496"          500      5          46    70    34    70       2
21    "Montgomery et al."   2000     "UK"                247   1        21.5        17       6           "LI160"          900      1          55    123   57    124      2
22    "Kalb et al."         2001     "Germany"           72    1        19.9        17       6           "WS5572"         900      2          23    37    15    35       1
23    "Shelton et al."      2001     "USA"               200   1        22.5        17       8           "LI160"          1050     2          26    98    19    102      1
24    "HDTSG"               2002     "USA"               340   1        22.9        17       8           "LI160"          1200     1          46    113   56    116      2
25    "Lecrubier et al."    2002     "France"            375   1        21.9        17       6           "WS5570"         900      2          98    186   80    189      2
26    "Bjerkenstedt et al." NA       "Sweden"            170   1        NA          NA       6           "LI160"          900      NA         NA    NA    NA    NA       NA
