"id","author","year","treatment1","treatment2","treatment3","n1","resp1","remi1","loss1","loss.ae1","ae1","n2","resp2","remi2","loss2","loss.ae2","ae2","n3","resp3","remi3","loss3","loss.ae3","ae3"
1,"Lecrubier",1997,"TCA","SNRI","Placebo",75,49,NA,23,10,NA,78,60,NA,23,11,NA,76,48,NA,19,4,NA
4,"Blashki",1971,"TCA","Placebo","",35,20,16,8,7,NA,23,8,6,5,4,NA,NA,NA,NA,NA,NA,NA
7,"Barge-Schaapveld",2002,"TCA","Placebo","",32,16,9,9,NA,NA,31,12,5,5,NA,NA,NA,NA,NA,NA,NA,NA
9,"Simon",1996,"TCA","SSRI","",363,59,95,NA,NA,NA,173,37,56,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Doogan",1994,"TCA","SSRI","Placebo",108,48,NA,12,2,32,99,50,NA,16,5,33,101,40,NA,11,3,28
14,"Barge-Schaapveld",1995,"TCA","SSRI","",10,NA,NA,NA,0,5,11,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA
17,"Boyer Teil 1",1996,"TCA","Placebo","",111,55,55,40,5,69,108,27,30,42,1,48,NA,NA,NA,NA,NA,NA
18,"Boyer Teil 2",1996,"TCA","Placebo","",73,NA,NA,33,17,63,73,NA,NA,35,2,43,NA,NA,NA,NA,NA,NA
20,"Moon",1994,"TCA","SSRI","",55,29,NA,10,10,37,51,27,NA,4,2,26,NA,NA,NA,NA,NA,NA
21,"Wheatley",1992,"TCA","rMAO-A","",46,NA,12,12,5,18,98,NA,29,19,3,25,NA,NA,NA,NA,NA,NA
22,"Christiansen",1996,"TCA","SSRI","",73,48,29,16,6,NA,71,46,20,15,8,NA,NA,NA,NA,NA,NA,NA
23,"Freed",1999,"TCA","SSRI","",191,122,70,103,38,91,184,127,76,78,23,72,NA,NA,NA,NA,NA,NA
24,"Mynor-Wallis",1995,"TCA","Placebo","",31,16,16,6,3,NA,30,9,8,18,2,NA,NA,NA,NA,NA,NA,NA
26,"Lepola",2003,"SSRI","Placebo","",314,183,NA,17,10,212,154,74,NA,15,4,92,NA,NA,NA,NA,NA,NA
27,"Barrett",2001,"SSRI","Placebo","",80,NA,45,20,6,NA,81,NA,37,14,0,NA,NA,NA,NA,NA,NA,NA
29,"Corne",1989,"TCA","SSRI","",51,31,16,7,2,15,49,19,9,14,6,13,NA,NA,NA,NA,NA,NA
30,"Wheatley",1989,"NaSSa","rMAO-A","",38,17,10,4,NA,NA,79,34,12,14,NA,NA,NA,NA,NA,NA,NA,NA
31,"Hollyman",1988,"TCA","Placebo","",90,37,41,28,NA,NA,88,23,28,24,NA,NA,NA,NA,NA,NA,NA,NA
33,"Beaumont",1984,"TCA","rMAO-A","",175,120,69,38,24,86,170,95,51,42,16,64,NA,NA,NA,NA,NA,NA
34,"Moon",1996,"TCA","SSRI","",68,33,21,14,4,32,70,38,28,19,5,35,NA,NA,NA,NA,NA,NA
37,"Hutchinson",1992,"TCA","SSRI","",32,18,17,11,6,20,58,35,39,12,8,20,NA,NA,NA,NA,NA,NA
39,"Brink",1984,"NaSSa","Placebo","",27,15,10,9,1,NA,25,12,7,6,0,NA,NA,NA,NA,NA,NA,NA
41,"Tylee",1997,"SSRI","SNRI","",170,98,53,46,24,122,171,81,52,47,36,138,NA,NA,NA,NA,NA,NA
46,"Gastpar",2005,"SSRI","Hypericum","",118,72,41,19,2,60,123,70,41,17,1,74,NA,NA,NA,NA,NA,NA
48,"Wade",2002,"SSRI","Placebo","",191,103,60,31,9,112,189,79,44,NA,2,105,NA,NA,NA,NA,NA,NA
49,"Williams",2000,"SSRI","Placebo","",137,60,52,31,12,NA,140,43,53,21,8,NA,NA,NA,NA,NA,NA,NA
50,"Gastpar",2006,"SSRI","Hypericum","Placebo",127,71,38,6,2,53,131,71,40,6,2,39,130,51,25,8,3,46
51,"Kragh-Sorensen",1995,"TCA","rMAO-A","",71,NA,25,28,21,NA,71,NA,36,13,4,NA,NA,NA,NA,NA,NA,NA
52,"Lingjarde",1995,"TCA","rMAO-A","",23,14,19,3,2,NA,30,13,21,4,0,NA,NA,NA,NA,NA,NA,NA
53,"Malt",1999,"SSRI","NaSSa","Placebo",122,66,NA,NA,12,NA,121,60,NA,NA,18,NA,129,59,NA,NA,6,NA
55,"Philipp",1999,"TCA","Hypericum","Placebo",110,70,50,11,1,51,106,76,48,13,0,23,47,29,14,9,0,9
56,"Rosenberg",1994,"TCA","SSRI","",92,49,NA,18,12,NA,380,202,NA,54,32,NA,NA,NA,NA,NA,NA,NA
