"study"	"treatment"	"scale"	"n"	"diff"	"se"	"group"	"tailored"	"sessions"	"length"	"intensity"	"multi"	"cog"	"ba"	"psed"	"home"	"prob"	"soc"	"relax"	"goal"	"final"	"mind"	"act"
"1"	"Andersson (2005)"	"Placebo"	"BDI"	49	-0.214	0.0208	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"2"	"Andersson (2005)"	"Multimedia CBT"	"BDI"	36	-1.5529	0.0425	1	0	5	NA	NA	1	1	1	1	0	0	0	0	0	1	0	0
"3"	"Arean (1993)"	"Wait list"	"BDI"	20	-0.4032	0.0531	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"4"	"Arean (1993)"	"F2F CBT"	"BDI"	19	-1.5505	0.0831	1	1	12	90	10.8	0	1	0	0	0	1	0	0	0	0	0	0
"5"	"Beckenridge (1985)"	"Wait list"	"BDI"	19	0.2131	0.0542	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"6"	"Beckenridge (1985)"	"F2F CBT"	"BDI"	17	-1.5438	0.0934	0	1	18	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0
"7"	"Berger (2011)"	"Wait list"	"BDI"	22	-0.1787	0.0465	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"8"	"Berger (2011)"	"Multimedia CBT"	"BDI"	22	-0.8963	0.0557	0	0	10	35	3.5	1	1	1	1	0	0	1	1	0	0	1	1
"9"	"Berger (2011)"	"Multimedia CBT"	"BDI"	25	-1.513	0.0613	0	1	10	35	3.5	1	1	1	1	0	0	1	1	0	0	1	1
"10"	"Besyner (1979)"	"Wait list"	"BDI"	11	-0.2115	0.0952	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"11"	"Besyner (1979)"	"F2F CBT"	"BDI"	10	-2.2068	0.2171	1	1	4	120	4.8	0	1	0	1	0	0	0	0	0	0	0	0
"12"	"Beutler (1990)"	"Placebo"	"BDI"	20	-0.3835	0.0529	0	0	6	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"13"	"Beutler (1990)"	"F2F CBT"	"BDI"	21	-1.3043	0.068	1	1	20	30	6	0	1	1	1	0	0	0	0	0	0	0	0
"14"	"Brown (1984)"	"Wait list"	"BDI"	11	-1.4411	0.1452	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"15"	"Brown (1984)"	"F2F CBT"	"BDI"	25	-1.6482	0.0644	1	1	12	120	14.4	0	1	1	1	0	0	1	1	0	0	0	0
"16"	"Brown (1984)"	"F2F CBT"	"BDI"	13	-2.6039	0.1822	0	1	12	50	6	0	1	1	1	0	0	1	1	0	0	0	0
"17"	"Brown (1984)"	"F2F CBT"	"BDI"	14	-1.8304	0.1287	0	1	NA	15	NA	0	1	1	1	0	0	1	1	0	0	0	0
"18"	"Casanas (2012)"	"TAU"	"BDI"	77	-0.3973	0.0136	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"19"	"Casanas (2012)"	"F2F CBT"	"BDI"	93	-1.0078	0.0133	1	1	12	90	10.8	0	0	1	1	0	1	1	1	0	0	0	0
"20"	"Chan (2012)"	"Wait list"	"BDI"	16	-0.3795	0.0665	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"21"	"Chan (2012)"	"F2F CBT"	"BDI"	17	-0.7576	0.0694	1	1	10	90	9	0	1	1	1	0	0	0	1	0	0	0	0
"22"	"Chiang (2015)"	"TAU"	"BDI"	32	0.0202	0.0315	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"23"	"Chiang (2015)"	"F2F CBT"	"BDI"	30	-4.3137	0.113	1	1	12	120	14.4	0	1	0	0	0	1	0	0	0	0	0	0
"24"	"Choi (2012)"	"Wait list"	"BDI"	29	0.0715	0.0349	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"25"	"Choi (2012)"	"Multimedia CBT"	"BDI"	30	-1.7252	0.0547	0	0	6	NA	NA	1	1	1	0	0	1	1	0	0	0	0	0
"26"	"Choi (2014)"	"Placebo"	"HAM-24"	36	-1.0254	0.0351	0	0	6	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"27"	"Choi (2014)"	"F2F CBT"	"HAM-24"	54	-2.45	0.038	0	1	6	60	3.6	0	0	0	1	0	1	0	0	0	0	0	0
"28"	"Choi (2014)"	"Hybrid CBT"	"HAM-24"	49	-1.7721	0.0335	0	1	6	30	1.8	1	0	0	1	0	1	0	0	0	0	0	0
"29"	"Clarke (2002)"	"TAU"	"CES-D"	94	-0.8118	0.0123	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"30"	"Clarke (2002)"	"Multimedia CBT"	"CES-D"	83	-0.9248	0.0145	0	0	NA	NA	NA	1	1	0	0	0	0	0	0	0	0	0	0
"31"	"Clarke (2005)"	"TAU"	"CES-D"	80	-0.5506	0.0135	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"32"	"Clarke (2005)"	"Multimedia CBT"	"CES-D"	46	-1.3052	0.0302	0	0	NA	NA	NA	1	1	0	0	0	0	0	0	0	0	0	0
"33"	"Clarke (2005)"	"Multimedia CBT"	"CES-D"	43	-1.0528	0.0295	0	0	NA	NA	NA	1	1	0	0	0	0	0	0	0	0	0	0
"34"	"Cramer (2011)"	"TAU"	"PHQ-9"	19	-0.2679	0.0546	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"35"	"Cramer (2011)"	"F2F CBT"	"PHQ-9"	48	-0.7704	0.024	1	1	12	NA	NA	0	1	1	0	0	1	0	1	0	0	0	0
"36"	"Dalgard (2006)"	"TAU"	"BDI"	67	-0.5265	0.016	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"37"	"Dalgard (2006)"	"F2F CBT"	"BDI"	62	-0.9985	0.02	1	1	8	150	12	0	1	1	1	1	0	1	0	0	0	0	0
"38"	"Dimidjian (2004a)"	"F2F CBT"	"BDI"	16	-4.6552	0.2399	0	1	24	50	12	0	0	1	0	0	0	0	0	0	0	0	0
"39"	"Dimidjian (2004a)"	"F2F CBT"	"BDI"	18	-1.2967	0.0799	0	1	24	50	12	0	1	1	0	0	0	0	0	0	0	0	0
"40"	"Dimidjian (2004b)"	"F2F CBT"	"BDI"	13	-2.1801	0.1585	0	1	24	50	12	0	0	1	0	0	0	0	0	0	0	0	0
"41"	"Dimidjian (2004b)"	"F2F CBT"	"BDI"	17	-2.8124	0.1436	0	1	24	50	12	0	1	1	0	0	0	0	0	0	0	0	0
"42"	"Dowrick (1996)"	"No treatment"	"BDI"	139	-1.0196	0.0089	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"43"	"Dowrick (1996)"	"F2F CBT"	"BDI"	98	-1.4775	0.0149	0	1	6	30	1.8	0	0	0	0	0	1	0	0	0	0	0	0
"44"	"Dunn (1979)"	"TAU"	"BDI"	10	-0.3342	0.1076	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"45"	"Dunn (1979)"	"F2F CBT"	"BDI"	10	-2.791	0.2626	0	1	16	NA	NA	0	1	0	0	0	0	0	0	0	0	0	0
"46"	"Dwight-Johnson (2011)"	"TAU"	"PHQ-9"	43	-10.4398	0.1803	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"47"	"Dwight-Johnson (2011)"	"Hybrid CBT"	"PHQ-9"	46	-12.5154	0.201	0	1	8	47.5	3.8	1	1	1	0	1	0	0	0	0	0	0	0
"48"	"Ekers (2011)"	"TAU"	"BDI"	22	-0.7397	0.0528	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"49"	"Ekers (2011)"	"F2F CBT"	"BDI"	16	-2.6223	0.145	0	1	12	60	7.2	0	0	1	0	0	0	0	0	0	0	0	0
"50"	"Embling (2002)"	"Wait list"	"BDI"	19	0.2668	0.0546	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"51"	"Embling (2002)"	"F2F CBT"	"BDI"	19	-2.0617	0.1	1	1	12	75	9	0	1	1	0	0	0	0	0	0	0	0	0
"52"	"Epstein (1987)"	"Wait list"	"BDI"	11	-0.9295	0.118	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"53"	"Epstein (1987)"	"F2F CBT"	"BDI"	9	-1.8156	0.2135	1	1	8	90	7.2	0	1	0	0	0	0	0	0	0	0	0	0
"54"	"Faramarzi (2008)"	"No treatment"	"BDI"	30	-0.0149	0.0336	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"55"	"Faramarzi (2008)"	"F2F CBT"	"BDI"	30	-2.1229	0.0629	1	1	10	120	12	0	1	0	1	0	0	0	1	0	0	0	0
"56"	"Gawrysiak (2009)"	"No treatment"	"BDI"	16	-1.3567	0.0928	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"57"	"Gawrysiak (2009)"	"F2F CBT"	"BDI"	14	-2.436	0.1588	0	1	9	90	8.1	0	0	1	0	0	0	0	0	0	0	0	0
"58"	"Gilbody (2007)"	"TAU"	"PHQ-9"	179	-1.5723	0.0084	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"59"	"Gilbody (2007)"	"Multimedia CBT"	"PHQ-9"	165	-1.4205	0.0086	0	0	8	50	4	1	1	1	0	1	1	0	0	0	0	0	0
"60"	"Gilbody (2007)"	"Multimedia CBT"	"PHQ-9"	182	-1.564	0.0082	0	0	6	NA	NA	1	1	0	1	0	0	0	1	0	0	0	0
"61"	"Hallgren (2015)"	"TAU"	"MADRS"	232	-1.0919	0.0055	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"62"	"Hallgren (2015)"	"Multimedia CBT"	"MADRS"	259	-1.8843	0.0065	0	1	5	52.5	2.625	1	0	1	0	0	0	0	0	0	0	0	0
"63"	"Hamamci (2006)"	"No treatment"	"BDI"	11	-0.887	0.116	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"64"	"Hamamci (2006)"	"F2F CBT"	"BDI"	10	-2.5556	0.2441	1	1	11	180	19.8	0	1	1	1	0	1	0	0	0	0	0	0
"65"	"Hamdam-Mansour (2009)"	"No treatment"	"BDI"	40	-0.43	0.0264	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"66"	"Hamdam-Mansour (2009)"	"F2F CBT"	"BDI"	44	-2.154	0.0427	1	1	10	45	4.5	0	0	1	0	0	1	0	0	0	0	0	0
"67"	"Hegerl (2010)"	"Placebo"	"HAM-17"	32	-0.2942	0.0323	0	0	9	90	8.1	0	0	0	0	0	0	0	0	0	0	0	0
"68"	"Hegerl (2010)"	"F2F CBT"	"HAM-17"	40	-1.0108	0.0313	1	1	9	90	8.1	0	1	1	0	0	0	0	0	0	0	0	0
"69"	"Hoifodt (2013)"	"TAU"	"BDI"	47	-0.5766	0.0232	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"70"	"Hoifodt (2013)"	"Hybrid CBT"	"BDI"	37	-1.1438	0.0356	0	1	5	75	3.75	1	1	1	0	0	1	0	1	0	0	0	0
"71"	"Horrell (2014)"	"TAU"	"BDI"	202	-0.4867	0.0052	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"72"	"Horrell (2014)"	"F2F CBT"	"BDI"	180	-1.0344	0.0069	1	1	1	420	4.2	0	1	1	1	0	1	0	0	0	0	0	0
"73"	"Kanter (2015)"	"TAU"	"BDI"	12	-0.6032	0.0954	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"74"	"Kanter (2015)"	"F2F CBT"	"BDI"	16	-1.51	0.0984	0	1	NA	50	NA	0	0	1	0	0	0	0	0	0	0	0	0
"75"	"Kelly (1982)"	"Placebo"	"BDI"	5	-2.4438	0.621	0	0	6	75	4.5	0	0	0	0	0	0	0	0	0	0	0	0
"76"	"Kelly (1982)"	"F2F CBT"	"BDI"	6	-1.0203	0.2538	1	1	6	75	4.5	0	1	0	0	1	1	0	0	0	0	0	0
"77"	"Kessler (2009)"	"TAU"	"BDI"	97	-1.1833	0.0136	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"78"	"Kessler (2009)"	"Multimedia CBT"	"BDI"	113	-2.2689	0.0169	0	1	10	55	5.5	1	1	1	1	1	0	0	0	1	1	0	0
"79"	"Kivi (2014)"	"TAU"	"BDI"	35	-1.151	0.0378	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"80"	"Kivi (2014)"	"Multimedia CBT"	"BDI"	30	-1.0923	0.0433	0	0	NA	NA	NA	1	0	1	0	0	0	0	0	0	0	1	1
"81"	"Losada (2015)"	"Placebo"	"CES-D"	31	-0.3823	0.0338	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"82"	"Losada (2015)"	"F2F CBT"	"CES-D"	33	-1.7679	0.0503	0	1	8	90	7.2	0	0	0	0	0	0	0	0	0	0	0	1
"83"	"Losada (2015)"	"F2F CBT"	"CES-D"	30	-1.5298	0.051	0	1	8	90	7.2	0	1	1	0	0	0	0	1	0	0	0	0
"84"	"Ly (2015)"	"F2F CBT"	"BDI"	46	-1.7558	0.0356	0	1	10	60	6	0	0	1	1	1	0	0	0	0	1	0	0
"85"	"Ly (2015)"	"Hybrid CBT"	"BDI"	44	-1.6482	0.0358	0	1	4	60	2.4	1	0	1	1	1	0	0	0	0	1	0	0
"86"	"Malouff (1984)"	"Wait list"	"BDI"	14	-0.3286	0.0755	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"87"	"Malouff (1984)"	"F2F CBT"	"BDI"	14	-2.7585	0.1755	1	1	4	90	3.6	0	1	0	0	0	0	0	0	0	0	0	0
"88"	"Malouff (1984)"	"F2F CBT"	"BDI"	15	-2.0742	0.1301	1	1	4	90	3.6	0	0	0	0	0	1	0	0	0	0	0	0
"89"	"McIndoo (2016)"	"Wait list"	"BDI"	13	-0.4481	0.0838	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"90"	"McIndoo (2016)"	"F2F CBT"	"BDI"	15	-1.7321	0.1149	0	1	4	60	2.4	0	0	1	0	0	0	0	0	1	0	0	0
"91"	"Miranda (2003)"	"TAU"	"HAM-17"	89	-0.3882	0.0117	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"92"	"Miranda (2003)"	"F2F CBT"	"HAM-17"	90	-0.3116	0.0114	0	1	8	NA	NA	0	1	1	0	0	0	1	0	0	0	0	0
"93"	"Mohr (2011)"	"TAU"	"HAM-17"	44	-0.539	0.0246	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"94"	"Mohr (2011)"	"Multimedia CBT"	"HAM-17"	41	-1.346	0.0345	0	1	16	47.5	7.6	1	1	1	1	1	0	0	0	1	0	0	0
"95"	"Mohr (2012)"	"F2F CBT"	"HAM-17"	141	-1.2159	0.0094	0	1	18	45	8.1	0	1	1	0	0	0	1	1	0	0	0	0
"96"	"Mohr (2012)"	"Multimedia CBT"	"HAM-17"	142	-1.2073	0.0093	0	1	18	45	8.1	1	1	1	0	0	0	1	1	0	0	0	0
"97"	"Mukhtar (2011)"	"TAU"	"BDI"	55	0.4067	0.0191	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"98"	"Mukhtar (2011)"	"F2F CBT"	"BDI"	58	-6.5174	0.0837	1	1	8	180	14.4	0	0	0	0	1	0	0	0	0	0	0	0
"99"	"Nezu (1986)"	"Wait list"	"BDI"	11	-0.4144	0.0991	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"100"	"Nezu (1986)"	"F2F CBT"	"BDI"	14	-7.4957	0.4398	1	1	8	105	8.4	0	0	0	0	0	1	0	0	0	0	0	0
"101"	"Nezu (1989)"	"Wait list"	"BDI"	6	0.0606	0.1815	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"102"	"Nezu (1989)"	"F2F CBT"	"BDI"	11	-2.5655	0.2185	1	1	10	105	10.5	0	0	0	0	0	1	0	0	0	0	0	0
"103"	"Omidi (2013)"	"TAU"	"BSI"	30	-3.0411	0.0832	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"104"	"Omidi (2013)"	"F2F CBT"	"BSI"	30	-2.1607	0.0637	1	1	8	120	9.6	0	0	1	0	1	0	0	0	0	0	1	0
"105"	"Pace (1993)"	"Wait list"	"BDI"	43	-0.6253	0.0257	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"106"	"Pace (1993)"	"F2F CBT"	"BDI"	31	-2.8326	0.0758	0	1	7	45	3.15	0	1	0	0	0	0	0	0	0	0	0	0
"107"	"Pecheur (1980)"	"Wait list"	"BDI"	7	-0.3622	0.1602	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"108"	"Pecheur (1980)"	"F2F CBT"	"BDI"	7	-3.3753	0.4915	0	1	8	50	4	0	1	0	0	1	0	0	0	0	0	0	0
"109"	"Pecheur (1980)"	"F2F CBT"	"BDI"	7	-4.0883	0.5862	0	1	8	50	4	0	1	0	0	1	0	0	0	0	0	0	0
"110"	"Pellowe (2006)"	"Placebo"	"BDI"	27	-0.5049	0.04	0	0	4	50	2	0	0	0	0	0	0	0	0	0	0	0	0
"111"	"Pellowe (2006)"	"F2F CBT"	"BDI"	24	-0.9322	0.0515	1	1	4	50	2	0	1	0	0	0	0	0	0	0	0	1	1
"112"	"Perini (2009)"	"Wait list"	"BDI"	17	-0.5606	0.0653	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"113"	"Perini (2009)"	"Multimedia CBT"	"BDI"	18	-1.3544	0.0817	0	0	NA	NA	NA	1	1	1	0	1	1	1	0	0	0	0	0
"114"	"Propst (1992)"	"Wait list"	"BDI"	11	-0.5814	0.1039	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"115"	"Propst (1992)"	"F2F CBT"	"BDI"	19	-1.7984	0.0911	1	1	18	50	9	0	1	1	0	1	0	0	0	0	0	0	0
"116"	"Propst (1992)"	"F2F CBT"	"BDI"	19	-1.7357	0.089	1	1	18	50	9	0	1	1	0	1	0	0	0	0	0	0	0
"117"	"Rehm (1981)"	"Wait list"	"BDI"	15	-0.6317	0.076	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"118"	"Rehm (1981)"	"F2F CBT"	"BDI"	11	-1.0644	0.1245	1	1	7	NA	NA	0	0	1	0	1	0	0	0	1	0	0	0
"119"	"Rehm (1981)"	"F2F CBT"	"BDI"	12	-0.9327	0.1073	1	1	7	NA	NA	0	0	1	0	1	0	0	0	1	0	0	0
"120"	"Rehm (1981)"	"F2F CBT"	"BDI"	9	-1.0077	0.1527	1	1	7	NA	NA	0	0	1	0	1	0	0	0	1	0	0	0
"121"	"Ross (1985)"	"Wait list"	"BDI"	20	-0.7351	0.0582	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"122"	"Ross (1985)"	"F2F CBT"	"BDI"	10	-4.853	0.4322	1	1	12	90	10.8	0	1	0	0	1	0	0	0	0	0	0	0
"123"	"Ross (1985)"	"F2F CBT"	"BDI"	19	-3.0308	0.1353	0	1	12	45	5.4	0	1	0	0	1	0	0	0	0	0	0	0
"124"	"Ruwaard (2009)"	"Wait list"	"BDI"	16	-0.9968	0.0807	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"125"	"Ruwaard (2009)"	"Multimedia CBT"	"BDI"	33	-2.0401	0.0553	0	1	8	180	14.4	1	1	0	0	1	0	1	0	0	1	0	0
"126"	"Schmidt (1983)"	"Wait list"	"BDI"	10	-0.6058	0.1161	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"127"	"Schmidt (1983)"	"F2F CBT"	"BDI"	12	-2.7095	0.2064	0	1	8	90	7.2	0	1	1	0	0	0	1	1	0	0	0	0
"128"	"Schmidt (1983)"	"F2F CBT"	"BDI"	11	-2.0906	0.1862	1	1	8	90	7.2	0	1	1	0	0	0	1	1	0	0	0	0
"129"	"Schmidt (1983)"	"F2F CBT"	"BDI"	11	-1.6526	0.158	1	1	8	90	7.2	0	1	1	0	0	0	1	1	0	0	0	0
"130"	"Schmidt (1983)"	"Multimedia CBT"	"BDI"	12	-2.4897	0.1926	0	0	1	NA	NA	1	1	1	0	0	0	1	1	0	0	0	0
"131"	"Schmitt (1988)"	"Placebo"	"BDI"	11	-0.2854	0.0964	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"132"	"Schmitt (1988)"	"F2F CBT"	"BDI"	15	-1.303	0.0974	1	1	12	105	12.6	0	0	0	0	0	1	0	0	0	0	0	0
"133"	"Scott (1992)"	"TAU"	"HAM-17"	29	-2.0519	0.0636	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"134"	"Scott (1992)"	"F2F CBT"	"HAM-17"	29	-2.5079	0.0738	0	1	NA	50	NA	0	1	1	0	0	0	0	0	0	0	0	0
"135"	"Scott (1997)"	"TAU"	"BDI"	11	-1.5181	0.1498	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"136"	"Scott (1997)"	"F2F CBT"	"BDI"	16	-1.4099	0.0947	0	1	6	30	1.8	0	1	0	1	0	0	0	0	0	0	0	0
"137"	"Serfaty (2009)"	"TAU"	"BDI"	58	-0.9478	0.021	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"138"	"Serfaty (2009)"	"Placebo"	"BDI"	55	-0.9039	0.0219	0	0	12	50	6	0	0	0	0	0	0	0	0	0	0	0	0
"139"	"Serfaty (2009)"	"F2F CBT"	"BDI"	64	-1.1279	0.0203	0	1	12	50	6	0	1	1	1	1	0	0	0	1	0	0	0
"140"	"Shah (2011)"	"Wait list"	"HAM-17"	16	-0.5593	0.0695	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"141"	"Shah (2011)"	"Multimedia CBT"	"HAM-17"	15	-1.4619	0.1036	0	0	8	NA	NA	1	1	1	1	0	1	1	1	1	1	0	0
"142"	"Skinner (1983)"	"Placebo"	"BDI"	9	-1.1062	0.1593	0	0	5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"143"	"Skinner (1983)"	"F2F CBT"	"BDI"	7	-1.4162	0.2482	0	1	5	60	3	0	1	0	1	0	0	0	0	0	0	0	0
"144"	"Smit (2005)"	"TAU"	"BDI"	62	-0.683	0.0181	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"145"	"Smit (2005)"	"F2F CBT"	"BDI"	38	-1.1418	0.0346	0	1	11	45	4.95	0	1	1	1	1	0	0	0	1	0	0	0
"146"	"Taylor (1977)"	"Wait list"	"BDI"	7	-0.509	0.1677	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"147"	"Taylor (1977)"	"F2F CBT"	"BDI"	7	-2.9026	0.4298	0	1	6	40	2.4	0	1	1	0	0	0	0	0	0	0	0	0
"148"	"Unlu Ince (2013)"	"Wait list"	"CES-D"	30	-0.2409	0.0342	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"149"	"Unlu Ince (2013)"	"Multimedia CBT"	"CES-D"	26	-1.0321	0.0492	0	0	5	NA	NA	1	0	0	0	0	1	0	0	0	0	0	0
"150"	"Usaf (1990)"	"Wait list"	"BDI"	24	-0.6527	0.047	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"151"	"Usaf (1990)"	"F2F CBT"	"BDI"	19	-0.8755	0.0644	1	1	10	120	12	0	1	1	1	0	0	1	1	0	0	0	0
"152"	"Vernmark (2010)"	"Wait list"	"BDI"	29	-0.8811	0.0416	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"153"	"Vernmark (2010)"	"Multimedia CBT"	"BDI"	27	-1.7975	0.0627	0	0	7	NA	NA	1	1	1	1	0	0	0	0	1	1	0	0
"154"	"Vernmark (2010)"	"Multimedia CBT"	"BDI"	29	-2.8464	0.0816	0	1	8	NA	NA	1	1	1	1	0	0	0	0	1	1	0	0
"155"	"Wagner (2014)"	"F2F CBT"	"BDI"	28	-1.6728	0.0577	0	1	8	60	4.8	0	0	1	1	1	0	1	0	0	1	0	0
"156"	"Wagner (2014)"	"Multimedia CBT"	"BDI"	17	-1.3905	0.088	0	1	8	NA	NA	1	0	1	1	1	0	1	0	0	1	0	0
"157"	"Williams (2013)"	"TAU"	"BDI"	102	-0.8065	0.0114	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"158"	"Williams (2013)"	"Hybrid CBT"	"BDI"	101	-1.6347	0.0153	0	1	3	40	1.2	1	0	0	0	1	0	0	0	0	1	0	0
"159"	"Wilson (1983)"	"Wait list"	"BDI"	9	-0.3763	0.1217	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"160"	"Wilson (1983)"	"F2F CBT"	"BDI"	5	-2.3094	0.5915	0	1	8	60	4.8	0	1	0	0	0	0	0	0	0	0	0	0
"161"	"Wong (2008)"	"No treatment"	"BDI"	159	-0.2712	0.0064	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"162"	"Wong (2008)"	"F2F CBT"	"BDI"	163	-1.1377	0.0079	1	1	10	150	15	0	1	1	1	0	0	0	0	0	0	0	0
"163"	"Wright (2005)"	"Wait list"	"BDI"	14	0.8398	0.0878	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
"164"	"Wright (2005)"	"F2F CBT"	"BDI"	13	-1.7202	0.1341	0	1	9	50	4.5	0	1	1	1	1	0	0	0	0	1	0	0
"165"	"Wright (2005)"	"Hybrid CBT"	"BDI"	13	-1.5169	0.124	0	1	9	25	2.25	1	1	1	1	1	0	0	0	0	1	0	0
"166"	"Zettle (1989)"	"F2F CBT"	"BDI"	10	-3.0642	0.2845	1	1	12	90	10.8	0	0	1	0	0	0	0	0	0	0	0	0
"167"	"Zettle (1989)"	"F2F CBT"	"BDI"	15	-1.6331	0.1107	1	1	12	90	10.8	0	1	1	0	0	0	0	0	0	0	0	0
