"Station" "S1" "VarS1" "S2" "VarS2" "S3" "VarS3" "Const"
"SITE1_STA1" 168 3502.7424 9 2301 -109 2301 1
"SITE1_STA2" 123 2301 -9 2301 -71 1603.4889 1
"SITE2_STA1" 302 5846 -213 13738.9074 -1 5846 1
"SITE2_STA2" 220 12815.933 -306 8523.612 162 10331.2344 1
"SITE2_STA3" 350 3154.7614 -220 15295.4021 56 5846 1
"SITE2_STA4" 337 1890.6559 -336 11428.804 180 7707.7479 1
"SITE2_STA5" 233 8644.3041 -389 10296.2071 231 2577.2668 1
"SITE2_STA6" 283 5846 -460 9629.2758 148 5846 1
"SITE2_STA7" 353 10344.5677 -320 12964.8288 300 5846 1
"SITE3_STA1" 177 2562 -140 2562 -97 2562 1
"SITE3_STA2" 229 4301.727 -111 2562 29 2562 1
"SITE4_STA1" 248 4606.0582 -126 955.6867 117 3338.5788 1
"SITE4_STA2" 197 5436.9501 -34 2301 -16 2301 1
"SITE5_STA1" 93 950 -14 1160.7161 21 950 1
"SITE5_STA2" 34 468.8432 3 697 -21 446.6578 1
"SITE5_STA3" 61 594.4956 -16 950 47 950 1
"SITE5_STA4" 61 950 96 950 44 950 1
"SITE6_STA1" 271 4165.3333 -187 6756.4437 -167 4165.3333 1
"SITE6_STA2" 319 4165.3333 -182 2885.4519 -98 3567.5292 1
"SITE7_STA1" 14 817 -41 817 -115 817 1
"SITE7_STA2" 61 1499.0587 -59 817 -75 817 1
"SITE8_STA1" 305 9035.2651 -123 2842 -68 2842 1
"SITE8_STA2" 315 5096.2897 58 2842 41 2842 1
"SITE8_STA3" 195 2842 -31 2842 117 2842 1
"SITE9_STA1" 308 11395.6877 243 5497.171 -3 1568.0952 1
"SITE9_STA2" 345 5395.0077 316 3461.6667 -139 3461.6667 1
"SITE9_STA3" 294 3461.6667 -89 3461.6667 -193 3461.6667 1
"SITE9_STA4" 318 5212.034 -78 3461.6667 -123 8405.0704 1
"SITE10_STA1" 114 739.1046 -37 950 0 950 1
"SITE10_STA2" 92 2640.7189 -62 1096.6667 -46 1096.6667 1
"SITE11_STA1" 50 2021.0911 -24 1096.6667 79 1096.6667 1
"SITE11_STA2" 309 4550.3333 -112 4550.3333 -12 4550.3333 1
"SITE11_STA3" 225 3107.6097 -75 4550.3333 -6 4550.3333 1
"SITE11_STA4" 37 1096.6667 -44 1096.6667 11 1096.6667 1
"SITE11_STA5" 44 1661.369 -5 950 46 950 1
