"site1_sta1" "site1_sta2" "site2_sta1" "site2_sta2" "site2_sta3" "site2_sta4" "site2_sta5" "site2_sta6" "site2_sta7" "site3_sta1" "site3_sta2" "site4_sta1" "site4_sta2" "site5_sta1" "site5_sta2" "site5_sta3" "site5_sta4" "site6_sta1" "site6_sta2" "site7_sta1" "site7_sta2" "site8_sta1" "site8_sta2" "site8_sta3" "site9_sta1" "site9_sta2" "site9_sta3" "site9_sta4" "site10_sta1" "site10_sta2" "site11_sta1" "site11_sta2" "site11_sta3" "site11_sta4" "site11_sta5"
"site1_sta1" 0 6 10000 10000 10000 10000 10000 10000 10000 271 285 10000 10000 423 415 414 409 10000 10000 41 50 10000 10000 10000 10000 10000 10000 10000 140 153 10000 10000 10000 10000 10000
"site1_sta2" 6 0 10000 10000 10000 10000 10000 10000 10000 265 279 10000 10000 417 409 408 403 10000 10000 35 44 10000 10000 10000 10000 10000 10000 10000 134 147 10000 10000 10000 10000 10000
"site2_sta1" 10000 10000 0 1 1 6 11 11 13 10000 10000 10000 10000 10000 10000 10000 10000 329 336 10000 10000 10000 10000 10000 224 227 241 232 10000 10000 352 368 371 401 392
"site2_sta2" 10000 10000 1 0 1 5 10 10 12 10000 10000 10000 10000 10000 10000 10000 10000 328 335 10000 10000 10000 10000 10000 223 226 240 231 10000 10000 351 367 370 400 391
"site2_sta3" 10000 10000 1 1 0 5 10 10 12 10000 10000 10000 10000 10000 10000 10000 10000 328 335 10000 10000 10000 10000 10000 223 226 240 231 10000 10000 351 367 370 400 391
"site2_sta4" 10000 10000 6 5 5 0 5 5 7 10000 10000 10000 10000 10000 10000 10000 10000 323 330 10000 10000 10000 10000 10000 218 221 235 226 10000 10000 346 362 365 395 386
"site2_sta5" 10000 10000 11 10 10 5 0 1 2 10000 10000 10000 10000 10000 10000 10000 10000 318 325 10000 10000 10000 10000 10000 213 216 230 221 10000 10000 341 357 360 390 381
"site2_sta6" 10000 10000 11 10 10 5 1 0 2 10000 10000 10000 10000 10000 10000 10000 10000 318 325 10000 10000 10000 10000 10000 213 216 230 221 10000 10000 341 357 360 390 381
"site2_sta7" 10000 10000 13 12 12 7 2 2 0 10000 10000 10000 10000 10000 10000 10000 10000 316 323 10000 10000 10000 10000 10000 211 214 228 219 10000 10000 339 355 358 388 379
"site3_sta1" 271 265 10000 10000 10000 10000 10000 10000 10000 0 14 10000 10000 152 144 143 138 10000 10000 230 221 10000 10000 10000 10000 10000 10000 10000 131 118 10000 10000 10000 10000 10000
"site3_sta2" 285 279 10000 10000 10000 10000 10000 10000 10000 14 0 10000 10000 138 130 129 124 10000 10000 244 235 10000 10000 10000 10000 10000 10000 10000 145 132 10000 10000 10000 10000 10000
