article_no	article_author	exp	design	dep_var	sample_id	condition	mean	st_dev	reprt_est_means	raw_stats	cond_collapsed_over	cond_type	pairing	part_per_cond	stimuli_per_cond	memory_test	learning_type	stimuli_type	stimuli_relation	encode_type	manip_design	gen_task	gen_diff	memory_type	present_style	divided_attn	self_pace	filler_task	age_grp	retention_delay	gen_difficulty	gen_constraint_cons	gen_constraint_AF	gen_constraint_AS	gen_constraint_MPM	gen_task_orig	Notes
12	slamecka_graf_1978	1	2x5	item_recognition	1	associate_generate	0.879		2	1	0	1	1	12	20	1	2	2	1	1	2	5		1	2	2	99	2	1	1		2	2	3	3	6	
12	slamecka_graf_1978	1	2x5	item_recognition	2	associate_read	0.713		2	1	0	2	1	12	20	1	2	2	1	1	2	5		1	2	2	99	2	1	1						6	
12	slamecka_graf_1978	1	2x5	item_recognition	1	category_generate	0.906		2	1	0	1	2	12	20	1	2	2	2	1	2	5		1	2	2	99	2	1	1		3	3	3	3	10	
12	slamecka_graf_1978	1	2x5	item_recognition	2	category_read	0.684		2	1	0	2	2	12	20	1	2	2	2	1	2	5		1	2	2	99	2	1	1						10	
12	slamecka_graf_1978	1	2x5	item_recognition	1	opposite_generate	0.842		2	1	0	1	3	12	20	1	2	2	3	1	2	5		1	2	2	99	2	1	1		3	3	3	3	4	
12	slamecka_graf_1978	1	2x5	item_recognition	2	opposite_read	0.753		2	1	0	2	3	12	20	1	2	2	3	1	2	5		1	2	2	99	2	1	1						4	
12	slamecka_graf_1978	1	2x5	item_recognition	1	synonym_generate	0.893		2	1	0	1	4	12	20	1	2	2	4	1	2	5		1	2	2	99	2	1	1		3	3	3	3	5	
12	slamecka_graf_1978	1	2x5	item_recognition	2	synonym_read	0.697		2	1	0	2	4	12	20	1	2	2	4	1	2	5		1	2	2	99	2	1	1						5	
12	slamecka_graf_1978	1	2x5	item_recognition	1	rhyme_generate	0.733		2	1	0	1	5	12	20	1	2	2	5	1	2	5		1	2	2	99	2	1	1		3	3	3	3	9	
12	slamecka_graf_1978	1	2x5	item_recognition	2	rhyme_read	0.643		2	1	0	2	5	12	20	1	2	2	5	1	2	5		1	2	2	99	2	1	1						9	
12	slamecka_graf_1978	2	2x5	item_recognition	1	associate_generate	0.838		2	1	0	1	6	12	10	1	2	2	1	1	1	5		1	2	2	2	2	1	1		2	2	3	3	6	
12	slamecka_graf_1978	2	2x5	item_recognition	1	associate_read	0.652		2	1	0	2	6	12	10	1	99	2	1	1	1	5		1	2	2	2	2	1	1						6	
12	slamecka_graf_1978	2	2x5	item_recognition	1	category_generate	0.872		2	1	0	1	7	12	10	1	99	2	2	1	1	5		1	2	2	2	2	1	1		3	3	3	3	10	
12	slamecka_graf_1978	2	2x5	item_recognition	1	category_read	0.665		2	1	0	2	7	12	10	1	99	2	2	1	1	5		1	2	2	2	2	1	1						10	
12	slamecka_graf_1978	2	2x5	item_recognition	1	opposite_generate	0.878		2	1	0	1	8	12	10	1	99	2	3	1	1	5		1	2	2	2	2	1	1		3	3	3	3	4	
12	slamecka_graf_1978	2	2x5	item_recognition	1	opposite_read	0.699		2	1	0	2	8	12	10	1	99	2	3	1	1	5		1	2	2	2	2	1	1						4	
12	slamecka_graf_1978	2	2x5	item_recognition	1	synonym_generate	0.871		2	1	0	1	9	12	10	1	99	2	4	1	1	5		1	2	2	2	2	1	1		3	3	3	3	5	
12	slamecka_graf_1978	2	2x5	item_recognition	1	synonym_read	0.677		2	1	0	2	9	12	10	1	99	2	4	1	1	5		1	2	2	2	2	1	1						5	
12	slamecka_graf_1978	2	2x5	item_recognition	1	rhyme_generate	0.741		2	1	0	1	10	12	10	1	99	2	5	1	1	5		1	2	2	2	2	1	1		3	3	3	3	9	
12	slamecka_graf_1978	2	2x5	item_recognition	1	rhyme_read	0.548		2	1	0	2	10	12	10	1	99	2	5	1	1	5		1	2	2	2	2	1	1						9	
12	slamecka_graf_1978	3	2x2	item_recognition	1	stimulus_generate	0.521		2	1	0	1	11	12	33	1	99	2	5	1	1	5		6	2	2	2	2	1	1		3	2	3	3	9	
12	slamecka_graf_1978	3	2x2	item_recognition	1	stimulus_read	0.492		2	1	0	2	11	12	33	1	99	2	5	1	1	5		6	2	2	2	2	1	1						9	
12	slamecka_graf_1978	3	2x2	item_recognition	2	response_generate	0.711		2	1	0	1	12	12	33	1	99	2	5	1	1	5		1	2	2	2	2	1	1		3	2	3	3	9	
12	slamecka_graf_1978	3	2x2	item_recognition	2	response_read	0.533		2	1	0	2	12	12	33	1	99	2	5	1	1	5		1	2	2	2	2	1	1						9	
13	mcfarland_etal_1980	1	2x2	item_free_recall	1	rhyme_generate	0.354		2	1	1	1	13	20	8	3	1	1	5	1	1	8		1	2	2	1	2	1	1		2	2	2	2	9	
13	mcfarland_etal_1980	1	2x2	item_free_recall	1	rhyme_read	0.151		2	1	1	2	13	20	8	3	1	1	5	1	1	8		1	2	2	1	2	1	1						9	
13	mcfarland_etal_1980	1	2x2	item_free_recall	1	sentence_generate	0.361		2	1	1	1	14	20	8	3	1	1	1	1	1	4		1	2	2	1	2	1	1		2	2	2	2	7	
13	mcfarland_etal_1980	1	2x2	item_free_recall	1	sentence_read	0.21		2	1	1	2	14	20	8	3	1	1	1	1	1	4		1	2	2	1	2	1	1						7	
13	mcfarland_etal_1980	2	2x2	item_free_recall	1	rhyme_generate	0.302		2	1	1	1	15	20	16	3	1	1	5	1	2	8		1	2	2	1	2	1	1		2	2	2	2	9	
13	mcfarland_etal_1980	2	2x2	item_free_recall	2	rhyme_read	0.162		2	1	1	2	15	20	16	3	1	1	5	1	2	8		1	2	2	1	2	1	1						9	
13	mcfarland_etal_1980	2	2x2	item_free_recall	1	sentence_generate	0.368		2	1	1	1	16	20	16	3	1	1	1	1	2	4		1	2	2	1	2	1	1		2	1	2	2	7	
13	mcfarland_etal_1980	2	2x2	item_free_recall	2	sentence_read	0.287		2	1	1	2	16	20	16	3	1	1	1	1	2	4		1	2	2	1	2	1	1						7	
13	mcfarland_etal_1980	3a	2x2	item_cued_recall	1	rhyme_generate	0.861		2	1	1	1	17	20	8	2	1	9	5	1	1	8		1	2	2	1	2	1	1		2	2	2	2	9	
13	mcfarland_etal_1980	3a	2x2	item_cued_recall	1	rhyme_read	0.512		2	1	1	2	17	20	8	2	1	9	5	1	1	8		1	2	2	1	2	1	1						9	
13	mcfarland_etal_1980	3a	2x2	item_cued_recall	1	sentence_generate	0.928		2	1	1	1	18	20	8	2	1	9	1	1	1	4		1	2	2	1	2	1	1		2	1	2	2	7	
13	mcfarland_etal_1980	3a	2x2	item_cued_recall	1	sentence_read	0.893		2	1	1	2	18	20	8	2	1	9	1	1	1	4		1	2	2	1	2	1	1						7	
