study		ni		ri			type		struct
1			123	.00		j			s
2			95		.06		p			u
3			69		.36		j			s
4			1832	.15		j			s
5			78		.14		j			s
6			329	.06		j			s
7			153	.09		j			s
8			29		.40		j			s
9			29		.39		s			s
10			157	.14		s			s
11			149	.36		s			s
12			92		.28		j			u
13			15		.62		j			s
14			15		.07		j			u
15			170	.18		j			u
16			19		.42		j			s
17			19		.08		j			u
18			68		.18		p			u
19			93		.43		j			u
20			57		.04		j			u
21			80		-.04		p			NA
22			53		.05		p			NA
23			24		-.14		p			NA
24			57		.05		j			s
25			275	.35		j			s
26			45		-.08		p			NA
27			79		.24		p			NA
28			107	.16		p			NA
29			31		.25		j			u
30			407	.68		j			s
31			84		.61		j			s
32			8		.81		j			s
33			6		.99		j			s
34			7		.66		j			s
35			12		.45		j			s
36			14		.71		j			s
37			40		.27		j			s
38			40		-.02		j			s
39			99		.29		j			u
40			164	.13		j			u
41			67		.03		j			u
42			57		.00		j			u
43			50		.09		j			s
44			129	-.03		j			u
45			49		.46		s			s
46			63		.30		s			s
47			56		.33		s			s
48			238	.24		p			NA
49			20		.64		j			s
50			122	.12		j			u
51			51		.15		j			u
52			40		.44		j			u
53			210	.00		j			s
54			334	.16		j			s
55			310	.21		p			NA
56			180	.29		j			s
57			93		.19		j			u
58			472	.04		j			u
59			44		.56		j			u
60			75		.14		j			u
61			68		.44		j			u
62			38		.36		j			u
63			42		.34		j			NA
64			39		.11		j			NA
65			49		.40		j			NA
66			41		.23		j			NA
67			200	.22		j			s
68			850	.44		j			s
69			41		.27		j			s
70			32		.11		j			s
71			65		.27		j			s
72			125	-.07		j			s
73			134	.32		j			s
74			21		.05		j			u
75			44		.20		j			u
76			170	.18		j			u
77			149	.34		j			s
78			296	.03		j			s
79			24		.45		s			s
80			312	.34		j			s
81			205	.51		j			s
82			30		.41		s			s
83			11		.37		s			s
84			22		.25		s			s
85			37		-.17		j			s
86			43		.47		j			s
87			72		.32		j			s
88			72		-.09		s			s
89			108	.33		j			s
90			73		.22		j			s
91			73		.27		s			s
92			117	.00		j			s
93			80		.41		j			s
94			95		.16		j			s
95			182	.00		j			s
96			93		.03		j			s
97			64		.01		j			s
98			370	.03		j			s
99			131	.14		j			s
100		87		.11		j			s
101		80		.08		j			s
102		41		-.13		j			s
103		35		.13		j			u
104		106	.36		j			s
105		86		.06		j			s
106		54		.19		j			s
107		393	.27		j			s
108		102	.17		j			s
109		115	.34		j			s
110		63		.28		s			s
111		22		.11		j			s
112		37		.07		j			u
113		116	-.13		NA			NA
114		416	.12		j			u
115		101	.12		j			u
116		1359	.37		j			u
117		82		.26		p			u
118		32		.42		j			s
119		42		.37		j			s
120		196	.17		j			s
121		44		.19		j			s
122		47		.32		s			s
123		37		.33		NA			NA
124		12		.24		j			s
125		1807	.09		NA			NA
126		73		.36		j			s
127		73		.26		s			s
128		70		.42		j			s
129		30		.62		j			s
130		60		.87		j			s
131		38		-.07		j			s
132		12		.65		j			s
133		33		.17		j			u
134		33		.30		j			u
135		28		.45		s			s
136		51		.24		p			u
137		49		.02		p			u
138		164	.23		j			s
139		195	.17		j			s
140		165	.32		j			s
141		40		.36		j			s
142		100	.09		p			s
143		4195	.13		j			u
144		179	.29		j			s
145		74		.49		j			s
146		110	.40		j			s
147		31		.23		j			s
148		70		.31		j			s
149		21		.46		j			s
150		29		-.12		j			s
151		51		.22		j			u
152		51		.59		j			s
153		40		.21		j			s
154		40		.02		j			s
155		129	-.03		j			s
156		196	.28		j			s
157		31		-.04		j			s
158		494	.19		j			u
159		101	.23		j			s
160		175	.30		j			s
