"study"	"treatment1"	"treatment2"	"yi"	"vi"	"sei"	"treatment1.details"	"treatment2.details"	"design"	"instrument"	"time.weeks"	"mean.age"	"percent.women"	"rob"	"country"
"1"	"Arean, 1993"	"psy"	"wl"	0.2038	0.07032817586916	0.2651946	"pst, lrt"	"pst, lrt"	"psy vs wl"	"LIS (Subscale complexity: rate of engagement in work and activities)"	12	66.49	75	"high risk"	"north america"
"2"	"Asnis, 2013"	"pha"	"pla"	0.2266	0.0087033991298401	0.09329201	"levomilnacipran"	"levomilnacipran"	"pha vs pla"	"SDS"	8	41.05	63	"high risk"	"north america"
"3"	"Bakish, 2014"	"pha"	"pla"	0.3597	0.01594019877025	0.1262545	"levomilnacipran"	"levomilnacipran"	"pha vs pla"	"SDS"	8	42.77	64	"low risk"	"north america"
"4"	"Baldwin, 2012"	"pha"	"pla"	0.1619	0.01164415804561	0.1079081	"vortioxetine/duloxetine pooled"	"vortioxetine/duloxetine pooled"	"pha vs pla"	"SDS"	8	44.6	68	"low risk"	"cross-continental"
"5"	"Barber, 2012/Zilcha-Mano, 2014"	"psy"	"pha"	0.30733333	0.02307400494169	0.1519013	"dyn"	"dyn"	"psy vs pha"	"Q-LES-Q subscales"	16	37.5	59	"low risk"	"north america"
"6"	"Barber, 2012/Zilcha-Mano, 2014"	"pha"	"pla"	0.15426667	0.02327452308801	0.1525599	"mixed pha"	"mixed pha"	"pha vs pla"	"Q-LES-Q subscales"	16	37.5	59	"low risk"	"north america"
"7"	"Barber, 2012/Zilcha-Mano, 2014"	"psy"	"pla"	0.4616	0.02373627072964	0.1540658	"dyn"	"dyn"	"psy vs pla"	"Q-LES-Q subscales"	16	37.5	59	"low risk"	"north america"
"8"	"Baune, 2018"	"pha"	"pla"	0.3483	0.031139896225	0.176465	"vortioxetine/paroxetine pooled"	"vortioxetine/paroxetine pooled"	"pha vs pla"	"FAST"	8	46.2	67	"high risk"	"europe"
"9"	"Bedi, 2000"	"psy"	"pha"	-0.00742201370531555	0.0472225522138205	0.217307506114769	"other psy"	"other psy"	"psy vs pha"	"SF-36 (social functioning subscale)"	8	37.27	75	"high risk"	"europe"
"10"	"Bosc, 1997"	"pha"	"pla"	0.4078	0.01318287459889	0.1148167	"fluoxetine/reboxetine pooled"	"fluoxetine/reboxetine pooled"	"pha vs pla"	"SASS"	8	41.44	62	"high risk"	"cross-continental"
"11"	"Boulenger, 2014"	"pha"	"pla"	0.5232	0.01288172790529	0.1134977	"vortioxetine/duloxetine pooled"	"vortioxetine/duloxetine pooled"	"pha vs pla"	"SDS"	8	46.75	66	"high risk"	"cross-continental"
"12"	"Boyer, 2008"	"pha"	"pla"	0.3804	0.0094676441753124	0.09730182	"desvenlafaxine"	"desvenlafaxine"	"pha vs pla"	"SDS"	8	45.32	70	"some concerns"	"cross-continental"
"13"	"Choi, 2012"	"psy"	"wl"	0.504032704504423	0.0817616644378606	0.285939966492725	"cbt"	"cbt"	"psy vs wl"	"SDS"	8	39	80	"low risk"	"australia"
"14"	"Clayton, 2003"	"pha"	"pla"	0.1024	0.01054729	0.1027	"reboxetine/fluoxetine pooled"	"reboxetine/fluoxetine pooled"	"pha vs pla"	"SASS"	8	40.1	63	"high risk"	"north america"
