"author"	"ri"	"ni"	"yi"	"sei"	"vi"	"radiation"	"es.id"
"1"	"Aghajanyan & Suskov, 2009"	0.2061	91	0.209094891929065	0.106600358177805	0.0113636363636364	"low"	"id.1"
"2"	"Aghajanyan & Suskov, 2009"	0.2687	91	0.275462130434823	0.106600358177805	0.0113636363636364	"low"	"id.2"
"3"	"Aghajanyan & Suskov, 2009"	0.2049	92	0.207841981010897	0.105999788000636	0.0112359550561798	"low"	"id.3"
"4"	"Aghajanyan & Suskov, 2009"	0.2672	92	0.27384610385012	0.105999788000636	0.0112359550561798	"low"	"id.4"
"5"	"Alexanin, 2010"	0.9317	559	1.67112297831775	0.0424094464839985	0.00179856115107914	"low"	"id.5"
"6"	"Alexanin, 2010"	0.4429	559	0.47583274963822	0.0424094464839985	0.00179856115107914	"low"	"id.6"
"7"	"Alexanin, 2010"	0.8996	559	1.47011820470867	0.0424094464839985	0.00179856115107914	"low"	"id.7"
"8"	"Alexanin, 2010"	0.9547	559	1.88234248773499	0.0424094464839985	0.00179856115107914	"low"	"id.8"
"9"	"Alexanin, 2010"	0.9602	559	1.94846743777234	0.0424094464839985	0.00179856115107914	"low"	"id.9"
"10"	"Alexanin, 2010"	0.6335	559	0.747240854857209	0.0424094464839985	0.00179856115107914	"low"	"id.10"
"11"	"Bochkov, 1993"	0.2732	560	0.280318679442961	0.0423713598607036	0.00179533213644524	"medium"	"id.11"
"12"	"Bochkov, 1993"	0.833	15	1.19785771771147	0.288675134594813	0.0833333333333333	"medium"	"id.12"
"13"	"Dubrova, 1996"	0.2975	79	0.306774606916071	0.114707866935281	0.0131578947368421	"low"	"id.13"
"14"	"Dubrova, 1997"	0.418	94	0.445266129680317	0.104828483672192	0.010989010989011	"low"	"id.14"
"15"	"Dubrova, 1998"	0.3596	127	0.376426418349701	0.0898026510133875	0.00806451612903226	"low"	"id.15"
"16"	"Dubrova, 1998"	0.4015	127	0.425435922803408	0.0898026510133875	0.00806451612903226	"low"	"id.16"
"17"	"Dubrova, 2002"	0.1177	256	0.118248073581753	0.0628694613461931	0.00395256916996047	"low"	"id.17"
"18"	"Dubrova, 2002"	-0.1932	256	-0.195659123280268	0.0628694613461931	0.00395256916996047	"low"	"id.18"
"19"	"Dubrova, 2002"	0.1409	256	0.141843686979156	0.0628694613461931	0.00395256916996047	"low"	"id.19"
"20"	"Forster, 2002"	0.0767	988	0.0768509390215445	0.0318626493938583	0.00101522842639594	"low"	"id.20"
"21"	"Khandogina, 2010"	0.7594	69	0.994796158638998	0.123091490979333	0.0151515151515152	"medium"	"id.21"
"22"	"Kodaira, 2010"	0.0155	129	0.0155012414706296	0.0890870806374748	0.00793650793650794	"high"	"id.22"
"23"	"Kodaira, 2010"	-0.0539	129	-0.0539522881147463	0.0890870806374748	0.00793650793650794	"high"	"id.23"
"24"	"Kodaira, 2010"	0.0461	129	0.0461326990992764	0.0890870806374748	0.00793650793650794	"high"	"id.24"
"25"	"Maznik & Vinnikov, 2004"	0.4289	470	0.458547935402054	0.0462744813382748	0.00214132762312634	NA	"id.25"
"26"	"Neronova, 2003"	0.0783	442	0.0784606074442041	0.0477273959903348	0.00227790432801822	"low"	"id.26"
"27"	"Neronova, 2003"	0.147	442	0.148072784818846	0.0477273959903348	0.00227790432801822	"low"	"id.27"
"28"	"Neronova, 2003"	0.14	442	0.140925576070494	0.0477273959903348	0.00227790432801822	"low"	"id.28"
"29"	"Stepanova & Misharina, 2001"	0.7478	57	0.967945354831312	0.136082763487954	0.0185185185185185	"high"	"id.29"
"30"	"Stepanova & Misharina, 2001"	0.8834	57	1.39104232957979	0.136082763487954	0.0185185185185185	"high"	"id.30"
"31"	"Stepanova & Misharina, 2001"	0.8725	57	1.34345667539645	0.136082763487954	0.0185185185185185	"high"	"id.31"
"32"	"Stepanova & Misharina, 2001"	0.7319	57	0.932807152746542	0.136082763487954	0.0185185185185185	"high"	"id.32"
"33"	"Weinberg, 2001"	0.8008	63	1.10083847222101	0.129099444873581	0.0166666666666667	NA	"id.33"
