"study.id"	"effect.size.id"	"species"	"species.id"	"subphylum"	"phylum"	"assortment.trait"	"trait.dimensions"	"field.collection"	"publication.year"	"pooled.data"	"spatially.pooled.data"	"temporally.pooled.data"	"ri"	"ni"
"Adams and Greenwood 1983"	1	"Gammarus pulex"	"Gammarus_pulex_gallicus_ott1024016"	"Crustacea"	"Arthropoda"	"body length"	"uni"	"yes"	1983	"no"	"no"	"no"	0.23	53
"Adams et al. 1985a"	2	"Trapezia ferruginea"	"Trapezia_bidentata_ott787242"	"Crustacea"	"Arthropoda"	"carapace length"	"uni"	"yes"	1985	"yes"	"yes"	"no"	0.57	23
"Adams et al. 1985a"	3	"Trapezia ferruginea"	"Trapezia_bidentata_ott787242"	"Crustacea"	"Arthropoda"	"carapace width"	"uni"	"yes"	1985	"yes"	"yes"	"no"	0.54	23
"Adams et al. 1985a"	4	"Trapezia ferruginea"	"Trapezia_bidentata_ott787242"	"Crustacea"	"Arthropoda"	"cheliped length"	"uni"	"yes"	1985	"yes"	"yes"	"no"	0.53	23
"Adams et al. 1985b"	5	"Asellus aquaticus"	"Asellus_aquaticus_ott335971"	"Crustacea"	"Arthropoda"	"weight"	"uni"	"yes"	1985	"no"	"no"	"no"	0.85	12
"Adams et al. 1985b"	6	"Asellus aquaticus"	"Asellus_aquaticus_ott335971"	"Crustacea"	"Arthropoda"	"weight"	"uni"	"yes"	1985	"no"	"no"	"no"	0.82	15
"Adams et al. 1985b"	7	"Asellus aquaticus"	"Asellus_aquaticus_ott335971"	"Crustacea"	"Arthropoda"	"weight"	"uni"	"yes"	1985	"no"	"no"	"no"	0.75	17
"Adams et al. 1985b"	8	"Asellus aquaticus"	"Asellus_aquaticus_ott335971"	"Crustacea"	"Arthropoda"	"weight"	"uni"	"yes"	1985	"no"	"no"	"no"	0.73	16
"Adams et al. 1985b"	9	"Asellus aquaticus"	"Asellus_aquaticus_ott335971"	"Crustacea"	"Arthropoda"	"weight"	"uni"	"yes"	1985	"no"	"no"	"no"	0.61	21
"Adams et al. 1985b"	10	"Asellus aquaticus"	"Asellus_aquaticus_ott335971"	"Crustacea"	"Arthropoda"	"weight"	"uni"	"yes"	1985	"no"	"no"	"no"	0.52	11
"Adams et al. 1985b"	11	"Asellus aquaticus"	"Asellus_aquaticus_ott335971"	"Crustacea"	"Arthropoda"	"weight"	"uni"	"yes"	1985	"no"	"no"	"no"	0.44	16
"Adams et al. 1985b"	12	"Asellus aquaticus"	"Asellus_aquaticus_ott335971"	"Crustacea"	"Arthropoda"	"weight"	"uni"	"yes"	1985	"no"	"no"	"no"	0.32	93
"Adams et al. 1985b"	13	"Asellus aquaticus"	"Asellus_aquaticus_ott335971"	"Crustacea"	"Arthropoda"	"weight"	"uni"	"yes"	1985	"no"	"no"	"no"	0.16	20
"Ahmad et al 1985"	14	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1985	"yes"	"yes"	"no"	0.36	1500
"Ajala et al. 2011"	15	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	2011	"yes"	"yes"	"no"	0.18	226
"Alcantara et al. 2007"	16	"Scinax centralis"	"Scinax_centralis_ott3619799"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2007	"no"	"no"	"no"	0.55	11
"Alcantara et al. 2007"	17	"Scinax centralis"	"Scinax_centralis_ott3619799"	"Amphibia"	"Chordata"	"weight"	"uni"	"yes"	2007	"no"	"no"	"no"	0.07	11
"Alcock and Hadley 1987"	18	"Lytta magister"	"Lytta_magister_ott3356974"	"Insecta"	"Arthropoda"	"head width"	"uni"	"yes"	1987	"yes"	"yes"	"yes"	0.6	20
"Al-Kandari et al.  2002"	19	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	2002	"yes"	"yes"	"no"	0.4	121
"Al-Kandari et al.  2002"	20	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	2002	"yes"	"yes"	"no"	0.25	79
"Al-Kandari et al.  2002"	21	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	2002	"yes"	"yes"	"no"	0.21	121
"Al-Kandari et al.  2002"	22	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	2002	"yes"	"yes"	"no"	0.2	79
"Al-Kandari et al.  2002"	23	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	2002	"yes"	"yes"	"no"	0.14	42
"Al-Kandari et al.  2002"	24	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	2002	"yes"	"yes"	"no"	-0.22	42
"Alonzo et al. 2001"	25	"Amatitlania nigrofasciata"	"Amatitlania_nigrofasciata_ott170115"	"Teleostei"	"Chordata"	"standard length"	"uni"	"yes"	2001	"no"	"no"	"no"	0.572	70
"Angeloni and Bradbury 1999"	26	"Aplysia vaccaria"	"Aplysia_vaccaria_ott640603"	"Gastropoda"	"Lophotrochozoa"	"weight"	"uni"	"yes"	1999	"yes"	"no"	"yes"	0.13	190
"Angeloni et al. 2003"	27	"Aplysia californica"	"Aplysia_californica_ott51009"	"Gastropoda"	"Lophotrochozoa"	"weight"	"uni"	"yes"	2003	"no"	"no"	"no"	0.19	108
"Annest et al. 1983"	28	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1983	"no"	"no"	"no"	0.251	407
"Annest et al. 1983"	29	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	1983	"no"	"no"	"no"	0.183	407
"Apanius and Nisbet 2006"	30	"Sterna hirundo"	"Sterna_hirundo_hirundo_ott5560401"	"Aves"	"Chordata"	"weight"	"uni"	"yes"	2006	"no"	"no"	"no"	-0.05	26
"Arak 1988"	31	"Epidalea calamita"	"Epidalea_calamita_ott436364"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	1988	"yes"	"no"	"yes"	0.12	30
"Arnqvist 1996"	32	"Gerris lacustris"	"Gerris_lacustris_ott543700"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.16	108
"Arnqvist 1996"	33	"Halobates robustus"	"Halobates_robustus_ott219408"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.07	18
"Arnqvist 1996"	34	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.23	28
"Arnqvist 1996"	35	"Gerris buenoi"	"Gerris_buenoi_ott706417"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	-0.16	27
"Arnqvist 1996"	36	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.05	13
"Arnqvist 1996"	37	"Gerris buenoi"	"Gerris_buenoi_ott706417"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.2	25
"Arnqvist 1996"	38	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.52	12
"Arnqvist 1996"	39	"Gerris buenoi"	"Gerris_buenoi_ott706417"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	-0.05	20
"Arnqvist 1996"	40	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.12	24
"Arnqvist 1996"	41	"Gerris buenoi"	"Gerris_buenoi_ott706417"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.28	63
"Arnqvist 1996"	42	"Gerris odontogaster"	"Gerris_odontogaster_ott494591"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.14	75
"Arnqvist 1996"	43	"Gerris odontogaster"	"Gerris_odontogaster_ott494591"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.25	80
"Arnqvist 1996"	44	"Gerris odontogaster"	"Gerris_odontogaster_ott494591"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.18	54
"Arnqvist 1996"	45	"Gerris odontogaster"	"Gerris_odontogaster_ott494591"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	-0.1	79
"Arnqvist 1996"	46	"Gerris odontogaster"	"Gerris_odontogaster_ott494591"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	-0.19	78
"Arnqvist 1996"	47	"Gerris lateralis"	"Gerris_lateralis_ott782398"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.01	31
"Arnqvist 1996"	48	"Gerris odontogaster"	"Gerris_odontogaster_ott494591"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.05	77
"Arnqvist 1996"	49	"Gerris lateralis"	"Gerris_lateralis_ott782398"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.15	80
"Arnqvist 1996"	50	"Gerris odontogaster"	"Gerris_odontogaster_ott494591"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.09	80
"Arnqvist 1996"	51	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.48	13
"Arnqvist 1996"	52	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.23	22
"Arnqvist 1996"	53	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.23	41
