,species,animal,reference,unit,Trait,trait_details,male_mean,male_SD,male_n,female_mean,female_SD,female_n
1,Tachycineta_bicolor,Tachycineta_bicolor,Kempenaers et al. 1999,NA,length,Wing length,120.2,2.8,35,115.9,3.1,36
2,Tachycineta_bicolor,Tachycineta_bicolor,Kempenaers et al. 1999,NA,length,Wing length,119.7,4.6,13,116.8,2.5,13
4,Tachycineta_bicolor,Tachycineta_bicolor,Kempenaers et al. 1999,NA,mass,body mass,21,1.4,27,20.5,1.4,29
5,Tachycineta_bicolor,Tachycineta_bicolor,Kempenaers et al. 1999,NA,mass,body mass,21.4,1.6,12,21,1.1,11
9,Molothrus_ater,Molothrus_ater,Payne & Payne 1998,NA,mass,body mass,14.96,0.74,1159,14.33,0.96,398
13,Cygnus_atratus,Cygnus_atratus,Kraaijeveld et al. 2004,NA,length,wing length,49.64,1.744391011,69,45.87,3.897114317,75
14,Cygnus_atratus,Cygnus_atratus,Kraaijeveld et al. 2004,NA,mass,body mass,6.64,0.645368112,85,5.26,0.55641711,86
18,Malurus_alboscapulatus,Malurus_alboscapulatus,Swaddle et al. 2004,NA,length,wing length,46.8,1.5,11,44.8,1.4,10
19,Malurus_alboscapulatus,Malurus_alboscapulatus,Swaddle et al. 2004,NA,length,wing length,50.1,1.9,16,48.1,1.4,18
20,Malurus_alboscapulatus,Malurus_alboscapulatus,Swaddle et al. 2004,NA,length,wing length,47.9,2,33,46,1.1,20
24,Malurus_melanocephalus,Malurus_melanocephalus,Swaddle et al. 2004,NA,length,wing,40.93,0.96,50,40.47,1.01,39
25,Malurus_melanocephalus,Malurus_melanocephalus,Swaddle et al. 2004,NA,mass,body mass,7.71,0.67,51,7.05,0.97,35
26,Malurus_leucopterus,Malurus_leucopterus,Swaddle et al. 2004,NA,length,wing length,47.3,1.5,119,45.5,1.2,40
30,Falco_tinnunculus,Falco_tinnunculus,Tolonen & Korpimaki 1995,NA,mass,body mass,178,11,24,206,19,28
31,Falco_tinnunculus,Falco_tinnunculus,Tolonen & Korpimaki 1995,NA,mass,body mass,180,13,29,224,17,36
32,Falco_tinnunculus,Falco_tinnunculus,Tolonen & Korpimaki 1995,NA,mass,body mass,183,17,27,227,20,30
36,Oenanthe_leucura,Oenanthe_leucura,Moller et al. 1995,NA,length,Wing length,98.81,2.662442488,134,92.36,3.510128203,90
37,Oenanthe_leucura,Oenanthe_leucura,Moller et al. 1995,NA,mass,body mass,38.15,2.43092575,134,35.55,3.415259873,90
41,Phalacrocorax_aristotelis,Phalacrocorax_aristotelis,Velando 2000,NA,mass,body mass,1722,99.979998,51,1473,109.6904736,47
45,Parus_major,Parus_major,Christe et al. 1996,NA,mass,body mass,17.9,0.84,16,16.9,0.897997773,14
46,Parus_major,Parus_major,Christe et al. 1996,NA,mass,body mass,17.7,1.047664068,14,16.7,0.937443332,13
50,Sitta_europaea,Sitta_europaea,Nilsson et al.  1993,NA,length,wing length,90.1,1.2,16,87.9,1.2,16
51,Sitta_europaea,Sitta_europaea,Nilsson et al.  1993,NA,length,wing length,90,1.3,14,87,1.5,14
55,Pygoscelis_antarctica,Pygoscelis_antarcticus,Fargallo et al. 2006,NA,length,flipper length,167.7,9.949874371,99,161.1,9.219544457,85
56,Pygoscelis_antarctica,Pygoscelis_antarcticus,Fargallo et al. 2006,NA,mass,weight,2105,238.7969849,99,1982,239.7081559,85
60,Euplectes_jacksoni,Euplectes_jacksoni,Andersson 1992,NA,mass,weigth ,43,2.1,209,31.9,2.1,141
64,Gallus_gallus,Gallus_gallus,Leclercq 1986,NA,mass,weight,2294,234,35,1832,147,35
65,Gallus_gallus,Gallus_gallus,Leclercq 1986,NA,mass,weight,2133,206,39,1709,139,41
66,Gallus_gallus,Gallus_gallus,Leclercq 1986,NA,mass,weight,2263,202,39,1784,166,34
67,Gallus_gallus,Gallus_gallus,Leclercq 1986,NA,mass,weight,2283,179,35,1888,167,48
71,Dendrocopos_pubescens,Picoides_pubescens,James 1970,NA,length,wing length,91.9,2,21,92.4,2.01,12
75,Prunella_collaris,Prunella_collaris,Davies et al. 1995,NA,length,wing ,103.5,3.1,26,96.6,2,20
80,Anser_anser,Anser_anser,Rouvier et al. 1992,NA,mass,weight,84.4,7.311347345,318,78.4,7.360414391,293
84,Taeniopygia_guttata,Taeniopygia_guttata,Dall & Witter 1998,NA,mass,body mass,11.4,1.628127759,12,12.1,1.143153533,12
85,Taeniopygia_guttata,Taeniopygia_guttata,Dall & Witter 1998,NA,mass,body mass,11.9,1.628127759,12,12.7,1.697409791,12
86,Taeniopygia_guttata,Taeniopygia_guttata,Dall & Witter 1998,NA,mass,body mass,11.9,1.524204711,12,12.6,1.35099963,12
87,Taeniopygia_guttata,Taeniopygia_guttata,Dall & Witter 1998,NA,mass,body mass,12.3,1.766691824,12,13.1,1.454922678,12
88,Taeniopygia_guttata,Taeniopygia_guttata,Dall & Witter 1998,NA,mass,body mass,12.7,1.628127759,12,13.1,1.281717598,12
92,Phylloscopus_inornatus,Phylloscopus_inornatus, Marchetti 1998,NA,length,wing length,58.58,1.68,185,54.05,1.52,118
96,Branta_leucopsis,Branta_leucopsis,Larsson et al. 1995,NA,mass,body mass,1888,133.6119007,46,1638,135.6465997,46
97,Branta_leucopsis,Branta_leucopsis,Larsson et al. 1995,NA,mass,body mass,1857,108.0253674,17,1624,78.75131745,17
100,Vidua_paradisaea,Vidua_paradisaea,Barnard 1995,NA,length,wing length,82.17,1.5,112,78.1,1.42,102
101,Vidua_paradisaea,Vidua_paradisaea,Barnard 1995,NA,mass,body mass,21.85,1.74,102,18.96,1.53,98
102,Vidua_regia,Vidua_regia,Barnard 1995,NA,length,wing length,74.13,1.24,39,70.51,1.69,67
103,Vidua_regia,Vidua_regia,Barnard 1995,NA,mass,body mass,14.95,0.89,43,13.8,0.95,64
107,Taeniopygia_guttata,Taeniopygia_guttata,Kogel & Prijs 1996,NA,mass,body mass,15.42,1.57,26,15.8,1.92,34
108,Taeniopygia_guttata,Taeniopygia_guttata,Kogel & Prijs 1996,NA,mass,body mass,14.56,1.8,26,14.26,1.59,34
112,Erithacus_rubecula,Erithacus_rubecula,Harper 1999,NA,length,Wing,74,1.3,34,72.1,1.2,28
113,Erithacus_rubecula,Erithacus_rubecula,Harper 1999,NA,length,Wing,75.3,1.5,35,73.1,1,27
116,Troglodytes_troglodytes,Troglodytes_troglodytes,Harper 1999,NA,length,wing ,50.7,1.3,30,47.8,1.4,27
118,Parus_caeruleus,Parus_caeruleus,Harper 1999,NA,length,wing,65.1,1.5,48,62,1.4,30
120,Parus_major,Parus_major,Harper 1999,NA,length,wing,77.4,1.6,30,73.9,1.4,30
122,Prunella_modularis,Prunella_modularis,Harper 1999,NA,length,wing,68.1,1.2,26,71.1,1.3,34
124,Fringilla_coelebs,Fringilla_coelebs,Harper 1999,NA,length,wing,87,1.2,34,87.5,1.3,27
126,Carduelis_chloris,Carduelis_chloris,Harper 1999,NA,length,wing,91.9,1.5,33,87.3,1.8,26
131,Hirundo_rustica,Hirundo_rustica,MËller & Nielsen 1997,NA,length,wing length,126.8,5.589275445,781,124.77,5.578530272,778
135,Gavia_immer,Gavia_immer,Piper er al. 2000,g,mass,weight,4550,298,133,3640,220,126
139,Sterna_hirundo,Sterna_hirundo,Gonzˆlez-SolÍs et al. 1999,g,mass,body mass,135.8,6.6,38,136.3,8.5,33
140,Sterna_hirundo,Sterna_hirundo,Gonzˆlez-SolÍs et al. 1999,NA,mass,body mass,130,5.4,33,125.1,6.2,33
144,Lanius_collurio,Lanius_collurio,Jakober & Stauber 2000,mm,length,wing length,94.87,1.88,1124,94.41,1.92,901
148,Sterna_hirundo,Sterna_hirundo,Becker & Wink 2003,g,mass,mass,125.6,7.2,8,119.3,12.2,25
149,Sterna_hirundo,Sterna_hirundo,Becker & Wink 2003,g,mass,mass,126.7,9.3,38,123.9,8.1,37
150,Sterna_hirundo,Sterna_hirundo,Becker & Wink 2003,g,mass,mass,123.2,8.7,109,121.1,9,164
154,Parus_major,Parus_major,Rytk_nen 2002,g,mass,body mass,18.74,0.4,22,17.26,0.56,22
155,Parus_major,Parus_major,Rytk_nen 2002,g,mass,body mass,18.9,0.4,24,17.1,0.54,24
159,Cinclorhamphus_cruralis,Cincloramphus_cruralis,Magrath et al. 2003,g,mass,weight,74.8,4,21,32.4,1.9,141
163,Perdix_perdix,Perdix_perdix,Dahlgren 1990,g,mass,Body weight,399.1,25.1,47,390,37.8,47
167,Hirundo_rustica,Hirundo_rustica,MËller 1990,mm,length,wing length,125.6,2.6,74,124.6,3.1,63
171,Rissa_tridactyla,Rissa_tridactyla,Porter 1990,g,mass,weight,394,27.46106334,171,358.3,27.20294102,185
172,Rissa_tridactyla,Rissa_tridactyla,Porter 1990,g,mass,weight,386.8,27.98213716,87,344.5,30.21986102,79
175,Rissa_tridactyla,Rissa_tridactyla,Porter 1990,mm,length,wing length,311.4,6.538348415,171,303.7,6.800735254,185
176,Rissa_tridactyla,Rissa_tridactyla,Porter 1990,mm,length,wing length,310.8,5.596427432,87,301.7,6.221736092,79
179,Gallus_gallus,Gallus_gallus,Parker & Garant 2005,g,mass,mass,1025.8,135.3,225,711.9,85,267
182,Sula_sula,Sula_sula,Weimerskirch et al. 2006,mm,length,Wing length,383.9,7.7,31,394.1,8.9,36
183,Sula_sula,Sula_sula,Weimerskirch et al. 2006,g,mass,weight,891.2,64.4,34,1020.4,50.1,46
187,Hirundo_rustica,Hirundo_rustica,MËller & Mousseau 2003,NA,mass,body mass,19.07,1.13,1510,20.15,1.97,1539
188,Hirundo_rustica,Hirundo_rustica,MËller & Mousseau 2003,NA,length,wing length,126.41,3.03,1510,124.35,2.94,1538
192,Phalaropus_lobatus,Phalaropus_lobatus,Rubega 1996,mm,length,wing chord,110.24,3.392653828,29,113.04,4.213122358,24
193,Phalaropus_lobatus,Phalaropus_lobatus,Rubega 1996,mm,length,head length,44.56,1.08853112,41,45.2,1.322875656,28
194,Phalaropus_lobatus,Phalaropus_lobatus,Rubega 1996,mm,length,total culmen ,26.36,1.664812302,41,26.43,1.454922678,27
198,Agelaius_phoeniceus,Agelaius_phoeniceus,Weatherhead & Clark 1994,mm,length,wing length,118.4,2.6,348,99.1,2.7,30
199,Agelaius_phoeniceus,Agelaius_phoeniceus,Weatherhead & Clark 1994,mm,length,wing length,121,3.8,14,99.7,2.1,30
200,Agelaius_phoeniceus,Agelaius_phoeniceus,Weatherhead & Clark 1994,mm,length,wing length,121.2,3,61,99.2,2,127
201,Agelaius_phoeniceus,Agelaius_phoeniceus,Weatherhead & Clark 1994,mm,length,wing length,123,2.8,207,101.4,1.9,129
205,Sterna_hirundo,Sterna_hirundo,Wendeln et al. 1997,mm,length,Flôgell_nge,270.8,6.1,41,270.2,6.9,45
