study author year ci n2i ai n1i
1 Bach 1996 3 117 0 116
2 George 1997 3 35 1 44
3 Maki 1997 9 195 2 208
4 Raad 1997 7 136 0 130
5 Heard 1998 6 157 5 151
6 Collin 1999 4 139 1 98
7 Hannan 1999 3 177 1 174
8 Marik 1999 2 39 1 74
9 Pierce 2000 19 103 1 97
10 Sheng 2000 2 122 1 113
11 Chatzinikolaou 2003 7 64 0 66
12 Corral 2003 1 58 0 70
13 Brun-Buisson 2004 5 175 3 188
14 Leon 2004 11 180 6 187
15 Yucel 2004 0 105 0 118
16 Moretti 2005 1 262 0 252
17 Rupp 2005 3 362 1 345
18 Osma 2006 1 69 4 64
