"study" "yi" "sei" "outcome"
1 -0.11 0.67 "DFS"
1 -0.14 0.81 "OS"
2 0.3 0.26 "DFS"
2 0.67 0.29 "OS"
3 0.41 0.88 "DFS"
3 0.43 0.81 "OS"
4 0.47 0.54 "DFS"
4 2.08 0.67 "OS"
5 0.76 0.49 "DFS"
5 0.7 0.56 "OS"
6 1.06 0.54 "DFS"
6 1.32 0.51 "OS"
7 1.46 0.41 "DFS"
7 1.51 0.48 "OS"
8 1.64 0.64 "DFS"
8 0.71 0.63 "OS"
9 1.64 0.64 "DFS"
9 2.59 1.04 "OS"
10 1.64 0.51 "DFS"
10 1.54 0.52 "OS"
11 1.7 0.39 "DFS"
11 1.38 0.37 "OS"
12 1.85 0.66 "DFS"
12 2.9 1.1 "OS"
13 1.9 0.46 "DFS"
13 1.83 0.47 "OS"
14 1.9 0.88 "DFS"
14 1.82 0.71 "OS"
15 2.19 0.42 "DFS"
15 2.99 0.51 "OS"
16 2.95 1.08 "DFS"
16 2.75 1.1 "OS"
17 5.7 1.73 "DFS"
17 5.7 1.73 "OS"
18 0.25 0.29 "DFS"
19 0.29 0.59 "DFS"
20 0.52 0.41 "DFS"
21 0.55 0.38 "DFS"
22 0.84 0.26 "DFS"
23 0.93 0.32 "DFS"
24 1.18 0.57 "DFS"
25 1.34 0.51 "DFS"
26 1.43 0.37 "DFS"
27 1.44 1.17 "DFS"
28 1.45 0.57 "DFS"
29 1.52 0.35 "DFS"
30 1.6 0.49 "DFS"
31 1.62 0.42 "DFS"
32 1.77 0.46 "DFS"
33 1.9 0.58 "DFS"
34 1.92 0.34 "DFS"
35 2.04 0.62 "DFS"
36 2.19 0.35 "DFS"
37 2.37 1 "DFS"
38 2.39 0.73 "DFS"
39 2.5 0.76 "DFS"
40 2.56 0.55 "DFS"
41 2.98 0.58 "DFS"
42 3.29 0.5 "DFS"
43 -0.84 0.85 "OS"
44 0.05 0.4 "OS"
45 0.73 0.71 "OS"
46 0.76 0.2 "OS"
47 0.91 0.66 "OS"
48 0.93 0.27 "OS"
49 0.96 0.47 "OS"
50 1.05 0.86 "OS"
51 1.16 1.18 "OS"
52 1.22 0.22 "OS"
53 1.26 0.49 "OS"
54 1.26 0.38 "OS"
55 1.27 1.28 "OS"
56 1.31 0.82 "OS"
57 1.52 0.46 "OS"
58 1.54 0.55 "OS"
59 1.55 0.7 "OS"
60 1.63 0.83 "OS"
61 1.67 1.13 "OS"
62 1.72 0.67 "OS"
63 1.74 0.45 "OS"
64 1.75 0.72 "OS"
65 1.75 0.64 "OS"
66 1.87 0.57 "OS"
67 2.07 0.69 "OS"
68 2.13 0.83 "OS"
69 2.19 0.12 "OS"
70 2.25 0.87 "OS"
71 2.31 0.5 "OS"
72 2.33 0.88 "OS"
73 2.36 0.57 "OS"
74 2.37 0.72 "OS"
75 2.63 0.75 "OS"
76 2.66 0.68 "OS"
77 2.77 1.1 "OS"
78 2.8 0.52 "OS"
79 3.33 0.71 "OS"
80 3.54 0.91 "OS"
81 5.04 1.1 "OS"
