"study","year","dose","events","total"
"Yamada",2003,100,0,3
"Yamada",2003,125,0,3
"Yamada",2003,150,1,6
"Takiuchi",2005,40,1,6
"Takiuchi",2005,60,0,3
"Takiuchi",2005,80,0,4
"Takiuchi",2005,100,3,6
"Inokuchi",2006,70,0,3
"Inokuchi",2006,80,10,42
"Inokuchi",2006,90,0,3
"Inokuchi",2006,100,2,3
"Nakafusa",2008,60,7,39
"Nakafusa",2008,80,2,3
"Ishimoto",2009,50,0,3
"Ishimoto",2009,60,0,3
"Ishimoto",2009,70,0,3
"Ishimoto",2009,80,2,4
"Ogata",2009,40,0,3
"Ogata",2009,50,0,3
"Ogata",2009,60,3,4
"Shiozawa",2009,80,1,6
"Shiozawa",2009,100,2,6
"Shiozawa",2009,120,2,6
"Shiozawa",2009,150,2,3
"Yoshioka",2009,100,0,3
"Yoshioka",2009,125,1,6
"Yoshioka",2009,150,0,3
"Komatsu",2010,100,1,9
"Komatsu",2010,125,1,9
"Komatsu",2010,150,0,3
"Kusaba",2010,80,0,6
"Kusaba",2010,100,2,3
"Yoda",2011,60,0,3
"Yoda",2011,80,3,6
"Goya",2012,70,0,3
"Goya",2012,80,0,3
"Goya",2012,90,3,5
