"","ID","StudyID","Study.name","N","g","se","var","r","var_HS","comparison","age","type","Notes","Test","Model"
"1",1,1001,"Anguera et al 2012",44,0.54450959463473,0.309002413772023,0.0954824917169367,0.262693059577584,0.12236543566592,"Active","adults",NA,NA,"operation span",1
"2",2,1001,"Anguera et al 2012",44,0.841569845652695,0.316843338472364,0.100389701134313,0.387847394718034,0.137039410037608,"Active","adults",NA,NA,"4-back objects",1
"3",3,1001,"Anguera et al 2012",44,0.640209098946108,0.311181159743453,0.0968337141792806,0.304866049046408,0.126585624284177,"Active","adults",NA,NA,"3-back objects",1
"4",4,1002,"Bürki,  et al. 2014 comp1",42,0.0861753566037736,0.310600212062347,0.0964724917331749,0.0430477367364161,0.114423313439958,"Active","adults",NA,NA,"Reading span",1
"5",5,1002,"Bürki,  et al. 2014 comp1",42,0.382641509433962,0.313387886177696,0.0982119672029248,0.187912522505749,0.122323995622536,"Active","adults",NA,NA,"Number updating",1
"6",6,1002,"Bürki,  et al. 2014 comp1",42,0.327044024830189,0.312599033686787,0.0977181558619127,0.161378657766335,0.120470357614344,"Active","adults",NA,NA,"spatial 2 back ",1
"7",7,1002,"Bürki, et al. 2014 comp 2",43,-0.139965789447853,0.307166588214039,0.0943513129150527,-0.0698121473515929,0.108888440295176,"Non-Active","adults",NA,NA,"Reading span",1
"8",8,1002,"Bürki, et al. 2014 comp 2",43,0.215950920245399,0.307703600724912,0.0946815058990763,0.107351484165998,0.11434053287467,"Non-Active","adults",NA,NA,"Number updating",1
"9",9,1002,"Bürki, et al. 2014 comp 2",43,0,0.306776999671642,0.0941121275275347,0,0.110215587424119,"Non-Active","adults",NA,NA,"spatial 2 back ",1
"10",10,1003,"Chooi & Thompson, 2012 comp 1",24,0.173793103448276,0.413348483989649,0.170856969216541,0.0865703197060396,0.217317774593399,"Active","adults",NA,NA,"operation span",1
"11",11,1003,"Chooi & Thompson, 2012 comp 2",31,0.136347826086957,0.36256201582351,0.131451215318007,0.0680160377977686,0.161032774322637,"Non-Active","adults",NA,NA,"operation span",1
"12",12,1003,"Chooi & Thompson, 2012 comp 3",24,0.115862068965517,0.41288508291023,0.170474091689787,0.0578340700607842,0.21483184514433,"Active","adults",NA,NA,"operation span",1
"13",13,1003,"Chooi & Thompson, 2012 comp 4",36,0.0782222222222222,0.335791430464898,0.112755884773663,0.0390812316633098,0.135114509767507,"Non-Active","adults",NA,NA,"operation span",1
"14",14,1004,"Clouter 2013",35,-0.0168540570381679,0.340492219714392,0.115934951686034,-0.00842672931310675,0.137552904601718,"Active","adults",NA,NA,"symmetry span ",1
