"author","year","Ne","Me","Se","Nc","Mc","Sc","agegroup","order"
"Boner","1988",13,13.54,13.85,13,20.77,21.46,"Children",1
"Boner","1989",20,15.7,13.1,20,22.7,16.47,"Children",7
"Chudry","1987",12,21.3,13.1,12,39.7,12.9,"Children",9
"Comis","1993",12,14.5,12.2,12,31.3,15.1,"Children",10
"Debelic","1986",12,29.83,15.95,12,48.08,15.08,"Children",11
"DeBenedictis","1994a",17,14.4,11.1,17,27.4,17.3,"Children",5
"DeBenedictis","1994b",8,14.8,18.6,8,31.4,20.6,"Children",3
"DeBenedictis","1995",13,15.7,16.8,13,29.6,18.9,"Children",6
"Henriksen","1988",12,17.5,13.1,12,47.2,16.47,"Children",8
"Novembre","1994f",24,15.42,8.35,24,28.46,13.84,"Children",2
"Novembre","1994s",19,11,12.4,19,26.1,14.9,"Children",4
"Konig","1987",12,12,14.6,12,26.2,12.3,"Adults",14
"Morton","1992",16,15.83,13.43,16,38.36,18.01,"Adults",12
"Oseid","1995",20,14.1,9.5,20,28.9,18,"Adults",17
"Roberts","1985",9,18.9,17.7,9,38.9,18.9,"Adults",16
"Shaw","1985",8,10.27,7.02,8,34.43,10.96,"Adults",13
"Todaro","1993",13,10.1,8.9,13,23.5,4,"Adults",15
