studyid  yi vi sei   aget1 aget2 propmale  sexmix
2  -0.060   0.001 0.027 14.5  18 1.000 male
2  -0.050   0.001 0.027 14.5  18 1.000 male
3  -0.050   0.001 0.028 14.5  18 0.000 female
3  -0.050   0.001 0.028 14.5  18 0.000 female
5  -0.010   0.006 0.080 11.5  13.5  1.000 male
5  0.030 0.006 0.080 11.5  13.5  1.000 male
5  0.100 0.006 0.080 11.5  13.5  1.000 male
6  0.141 0.007 0.085 11.5  13.5  0.000 female
6  0.110 0.007 0.085 11.5  13.5  0.000 female
6  0.213 0.007 0.085 11.5  13.5  0.000 female
7  0.245 0.006 0.080 13.5  15.5  1.000 male
7  0.299 0.006 0.080 13.5  15.5  1.000 male
7  0.266 0.006 0.080 13.5  15.5  1.000 male
8  0.141 0.007 0.085 13.5  15.5  0.000 female
8  0.182 0.007 0.085 13.5  15.5  0.000 female
8  0.030 0.007 0.085 13.5  15.5  0.000 female
24 0.117 0.008 0.089 11 13 0.533 mixed
24 0.048 0.008 0.089 11 14 0.533 mixed
24 0.189 0.008 0.089 11 12 0.533 mixed
24 0.032 0.008 0.089 11 14 0.533 mixed
24 0.246 0.008 0.089 11 14 0.533 mixed
24 0.125 0.008 0.089 11 12 0.533 mixed
24 0.065 0.008 0.089 11 13 0.533 mixed
24 0.068 0.008 0.089 11 13 0.533 mixed
24 -0.003   0.008 0.089 11 12 0.533 mixed
25 0.377 0.007 0.085 14 15 0.550 mixed
25 0.121 0.007 0.085 14 15 0.550 mixed
25 -0.006   0.007 0.085 13 15 0.550 mixed
25 0.130 0.007 0.085 14 15 0.550 mixed
25 -0.007   0.007 0.085 12 15 0.550 mixed
25 0.016 0.007 0.085 12 15 0.550 mixed
25 0.279 0.007 0.085 13 15 0.550 mixed
25 0.036 0.007 0.085 13 15 0.550 mixed
25 0.026 0.007 0.085 12 15 0.550 mixed
26 0.140 0.007 0.086 13 16 0.543 mixed
26 0.176 0.007 0.086 14 15 0.543 mixed
26 0.175 0.007 0.086 13 16 0.543 mixed
26 0.214 0.007 0.086 13 15 0.543 mixed
26 0.144 0.007 0.086 14 16 0.543 mixed
26 0.068 0.007 0.086 13 15 0.543 mixed
26 0.201 0.007 0.086 14 16 0.543 mixed
26 0.163 0.007 0.086 14 15 0.543 mixed
26 0.208 0.007 0.086 14 16 0.543 mixed
26 0.194 0.007 0.086 14 15 0.543 mixed
26 0.107 0.007 0.086 13 15 0.543 mixed
26 0.280 0.007 0.086 13 16 0.543 mixed
27 0.149 0.008 0.089 14 17 0.523 mixed
27 0.198 0.008 0.089 14 17 0.523 mixed
27 0.231 0.008 0.089 14 15 0.523 mixed
27 0.189 0.008 0.089 14 16 0.523 mixed
27 0.216 0.008 0.089 14 16 0.523 mixed
27 0.327 0.008 0.089 14 16 0.523 mixed
27 0.221 0.008 0.089 14 15 0.523 mixed
27 0.122 0.008 0.089 14 17 0.523 mixed
27 0.076 0.008 0.089 14 15 0.523 mixed
28 0.137 0.008 0.088 15 18 0.519 mixed
28 0.182 0.008 0.088 15 18 0.519 mixed
28 0.205 0.008 0.088 16 18 0.519 mixed
28 0.120 0.008 0.088 16 18 0.519 mixed
28 0.174 0.008 0.088 17 18 0.519 mixed
28 0.033 0.008 0.088 16 18 0.519 mixed
28 -0.006   0.008 0.088 17 18 0.519 mixed
28 0.153 0.008 0.088 15 18 0.519 mixed
28 -0.002   0.008 0.088 17 18 0.519 mixed
29 0.119 0.008 0.090 16 18 0.556 mixed
29 0.053 0.008 0.090 17 18 0.556 mixed
29 0.068 0.008 0.090 16 18 0.556 mixed
29 0.141 0.008 0.090 16 18 0.556 mixed
29 0.135 0.008 0.090 16 18 0.556 mixed
29 0.170 0.008 0.090 16 18 0.556 mixed
29 0.014 0.008 0.090 17 18 0.556 mixed
29 0.029 0.008 0.090 16 18 0.556 mixed
29 -0.119   0.008 0.090 17 18 0.556 mixed
29 0.139 0.008 0.090 17 18 0.556 mixed
29 -0.049   0.008 0.090 17 18 0.556 mixed
29 0.083 0.008 0.090 17 18 0.556 mixed
30 0.098 0.014 0.120 17 19 0.534 mixed
30 0.078 0.014 0.120 17 18 0.534 mixed
30 -0.117   0.014 0.120 17 19 0.534 mixed
30 0.122 0.014 0.120 17 18 0.534 mixed
30 -0.097   0.014 0.120 17 20 0.534 mixed
30 -0.131   0.014 0.120 17 20 0.534 mixed
30 -0.078   0.014 0.120 17 18 0.534 mixed
30 -0.090   0.014 0.120 17 20 0.534 mixed
30 -0.022   0.014 0.120 17 19 0.534 mixed
36 0.000 0.002 0.046 13.75 19.5  1.000 male
36 0.000 0.002 0.046 13.75 19.5  1.000 male
61 0.152 0.001 0.028 17.68 18.5  1.000 male
61 0.151 0.001 0.028 17.68 18.5  1.000 male
61 0.090 0.001 0.028 15.49 18.5  1.000 male
61 0.141 0.001 0.028 17.68 18.5  1.000 male
61 0.077 0.001 0.028 15.49 18.5  1.000 male
61 0.060 0.001 0.028 15.49 18.5  1.000 male
61 0.090 0.001 0.028 15.49 18.5  1.000 male
61 0.191 0.001 0.028 17.68 18.5  1.000 male
61 0.213 0.001 0.028 17.68 18.5  1.000 male
61 0.090 0.001 0.028 15.49 18.5  1.000 male
61 0.151 0.001 0.028 17.68 18.5  1.000 male
61 0.077 0.001 0.028 15.49 18.5  1.000 male
86 0.010 0.005 0.072 14 16 1.000 male
86 0.030 0.005 0.072 14 16 1.000 male
86 0.251 0.004 0.062 13 15 1.000 male
86 0.090 0.005 0.072 14 16 1.000 male
86 0.161 0.005 0.072 14 16 1.000 male
86 0.213 0.005 0.072 14 16 1.000 male
86 0.363 0.004 0.062 13 15 1.000 male
87 0.121 0.005 0.073 14 16 0.000 female
87 0.383 0.004 0.065 13 15 0.000 female
87 0.060 0.005 0.073 14 16 0.000 female
87 0.070 0.005 0.073 14 16 0.000 female
87 0.514 0.004 0.065 13 15 0.000 female
87 0.234 0.005 0.073 14 16 0.000 female
87 0.161 0.005 0.073 14 16 0.000 female
