trial nTi nCi xTi xCi dose
    1  66  59  42  24  100
    2  59  65  42  34  200
    3 253 257  96  32  250
    4 137 144  51  44  125
    5 327 326  47  39   50
    6 584 588  38  87   25
    7 526 532 390 323  125
    8  28  30  10   3  125
    9 191 201 165 126  125
   10  86  94  58  39  150
   11 229 221  72  60  100
   12 153 144  79  56  150
   13  93  95  48  35  200
   14  40  40   8   4   25
   15  85  88  44  21  175
   16 100 107  10  13   25
   17  72  64  11   9   25
   18  80  74  47  23  200
   19 191 195 144 116  100
   20  85  85  48  49   75
