author,year,exppop,id,history_trait,category,color,animal,carotenoid_form,col_variable,sex,species,n,r,z_trans,var,se,lcl,ucl
Aguilera et al,2007,1,1,Antibody,Immune,Yellow,European Greenfinch,Converted,Chroma,M,Carduelis_chloris,16,-0.726502461,-0.921280159,0.076923077,0.277350098,-1.270108653,-0.182896269
Brawner et al,2000,2,2,MG,Immune,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,25,0.176,0.177851799,0.045454545,0.213200716,-0.241873404,0.593873404
Brawner et al,2000,2,3,MG,Immune,Red,House Finch,Converted,Saturation,M,Carpodacus_mexicanus,25,0.158,0.159334822,0.045454545,0.213200716,-0.259873404,0.575873404
Brawner et al,2000,2,8,MG,Immune,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,6,0.714434508,0.896183588,0.333333333,0.577350269,-0.417172019,1.846041036
Brawner et al,2000,2,4,MGxCocc,Immune,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,38,0.799751606,1.097922686,0.028571429,0.169030851,0.468451138,1.131052074
Brawner et al,2000,2,5,MGxCocc,Immune,Red,House Finch,Converted,Saturation,M,Carpodacus_mexicanus,38,0.666730041,0.804833038,0.028571429,0.169030851,0.335429573,0.998030509
Brawner et al,2000,2,9,MGxCocc,Immune,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,8,0.735391052,0.940367495,0.2,0.447213595,-0.141147595,1.6119297
Brawner et al,2000,2,6,Cocc,Parasite,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,32,0.528562319,0.588147995,0.034482759,0.185695338,0.164599456,0.892525182
Brawner et al,2000,2,7,Cocc,Parasite,Red,House Finch,Converted,Saturation,M,Carpodacus_mexicanus,32,0.288146013,0.296543225,0.034482759,0.185695338,-0.075816849,0.652108876
Chui et al,2011,3,10,Body Condition,Condition,Yellow,Golden-crowned Kinglet,Converted,Saturation,M,Regulus_satrapa,116,0.002649055,0.002649062,0.008849558,0.094072087,-0.181732235,0.187030346
