study_id,obs,exp_obs,control,class,genus,species,sex,iridescent,col_var,col_component,quality_measure,region,n,r
p105,e001,exp,0,insecta,pseudomantis,Pseudomantis_albofimbriata,female,0,brightness,achromatic,condition,abdomen,50,0.437
p11,e002,obs,0,aves,Cyanocitta,Cyanocitta_stelleri,male,0,hue,chromatic,condition,wing,22,0.41
p11,e003,obs,0,aves,Cyanocitta,Cyanocitta_stelleri,male,0,chroma,chromatic,condition,wing,22,-0.33
p11,e004,obs,0,aves,Cyanocitta,Cyanocitta_stelleri,male,0,brightness,achromatic,condition,wing,22,-0.13
p11,e005,obs,0,aves,Cyanocitta,Cyanocitta_stelleri,male,0,hue,chromatic,parasite,wing,59,-0.08
p11,e006,obs,0,aves,Cyanocitta,Cyanocitta_stelleri,male,0,chroma,chromatic,parasite,wing,59,-0.31
p11,e007,obs,0,aves,Cyanocitta,Cyanocitta_stelleri,male,0,brightness,achromatic,parasite,wing,59,-0.12
p11,e008,exp,0,aves,Cyanocitta,Cyanocitta_stelleri,male,0,hue,chromatic,parasite,wing,9,0.15
p11,e009,exp,0,aves,Cyanocitta,Cyanocitta_stelleri,male,0,chroma,chromatic,parasite,wing,9,-0.09
p11,e010,exp,0,aves,Cyanocitta,Cyanocitta_stelleri,male,0,brightness,achromatic,parasite,wing,18,0.27
p125,e011,obs,0,aves,Zenaida,Zenaida_aurita,male,1,brightness,achromatic,condition,throat,72,0.26
p125,e012,obs,0,aves,Zenaida,Zenaida_aurita,male,1,brightness,achromatic,condition,throat,46,-0.36
p129,e013,obs,0,aves,Aptenodytes,Aptenodytes_patagonicus,zcombined,0,brightness,achromatic,age,beak,36,-0.2415
p129,e014,obs,0,aves,Aptenodytes,Aptenodytes_patagonicus,zcombined,0,brightness,achromatic,parasite,beak,30,0.5411
p129,e015,obs,0,aves,Aptenodytes,Aptenodytes_patagonicus,zcombined,0,chroma,chromatic,parasite,beak,30,-0.1109
p129,e016,obs,0,aves,Aptenodytes,Aptenodytes_patagonicus,zcombined,0,hue,chromatic,parasite,beak,30,0.1461
p137,e017,exp,0,reptilia,Lacerta,Lacerta_viridis,male,0,chroma,chromatic,condition,throat,15,0.23
p137,e018,exp,0,reptilia,Lacerta,Lacerta_viridis,male,0,brightness,achromatic,condition,throat,15,0.18
p137,e019,exp,0,reptilia,Lacerta,Lacerta_viridis,male,0,chroma,chromatic,condition,throat,15,0.17
p137,e020,exp,0,reptilia,Lacerta,Lacerta_viridis,male,0,brightness,achromatic,condition,throat,15,-0.07
p139,e021,obs,0,aves,Cyanistes,Cyanistes_caeruleus,male,0,chroma,chromatic,immune,crown,16,0.145
p153,e022,obs,0,aves,Cyanistes,Cyanistes_caeruleus,female,0,chroma,chromatic,condition,crown,28,0.02
p158,e023,obs,0,aves,Aptenodytes,Aptenodytes_patagonicus,male,0,hue,chromatic,age,beak,13,0.96
p158,e024,obs,0,aves,Aptenodytes,Aptenodytes_patagonicus,male,0,chroma,chromatic,age,beak,13,0.78
p158,e025,obs,0,aves,Aptenodytes,Aptenodytes_patagonicus,male,0,brightness,achromatic,age,beak,13,-0.98
p17,e026,exp,0,aves,Cyanistes,Cyanistes_caeruleus,male,0,chroma,chromatic,immune,crown,18,-0.2
p199,e027,obs,0,aves,Passerina,Passerina_caerulea,male,0,hue,chromatic,condition,breast,56,0.32
p199,e028,obs,0,aves,Passerina,Passerina_caerulea,male,0,brightness,achromatic,condition,breast,56,-0.02
p199,e029,obs,0,aves,Passerina,Passerina_caerulea,male,0,chroma,chromatic,condition,breast,56,-0.06
p199,e030,obs,0,aves,Passerina,Passerina_caerulea,male,0,hue,chromatic,condition,breast,56,-0.2
p199,e031,obs,0,aves,Passerina,Passerina_caerulea,male,0,hue,chromatic,condition,rump,56,0.37
p199,e032,obs,0,aves,Passerina,Passerina_caerulea,male,0,brightness,achromatic,condition,rump,56,0.39
p199,e033,obs,0,aves,Passerina,Passerina_caerulea,male,0,chroma,chromatic,condition,rump,56,0.37
p199,e034,obs,0,aves,Passerina,Passerina_caerulea,male,0,hue,chromatic,condition,rump,56,0.1
p200,e035,obs,0,aves,Passerina,Passerina_caerulea,male,0,hue,chromatic,condition,breast,58,0.41
p200,e036,obs,0,aves,Passerina,Passerina_caerulea,male,0,brightness,achromatic,condition,breast,58,0.05
p200,e037,obs,0,aves,Passerina,Passerina_caerulea,male,0,chroma,chromatic,condition,breast,58,0.03
p200,e038,obs,0,aves,Passerina,Passerina_caerulea,male,0,hue,chromatic,condition,rump,58,0.4
p200,e039,obs,0,aves,Passerina,Passerina_caerulea,male,0,brightness,achromatic,condition,rump,58,0.27
p200,e040,obs,0,aves,Passerina,Passerina_caerulea,male,0,chroma,chromatic,condition,rump,58,0.32
p212,e041,obs,1,insecta,Colias,Colias_eurytheme,male,1,brightness,achromatic,age,forewing,98,0.65
p212,e042,obs,1,insecta,Colias,Colias_eurytheme,male,1,hue,chromatic,age,forewing,98,0.1
p212,e043,obs,1,insecta,Colias,Colias_eurytheme,male,1,chroma,chromatic,age,forewing,98,0.44
p248,e044,obs,0,aves,Sialia,Sialia_currucoides,male,0,pca,zcombined,condition,rump,109,0.01
p248,e045,obs,0,aves,Sialia,Sialia_currucoides,female,0,pca,zcombined,condition,rump,101,0.11
p27,e046,obs,1,reptilia,Gallotia,Gallotia_galloti,male,0,chroma,chromatic,condition,cheek,17,0.56
p27,e047,obs,1,reptilia,Gallotia,Gallotia_galloti,female,0,chroma,chromatic,condition,cheek,22,-0.33
p27,e048,obs,1,reptilia,Gallotia,Gallotia_galloti,male,0,chroma,chromatic,parasite,cheek,18,-0.62
p27,e049,obs,1,reptilia,Gallotia,Gallotia_galloti,female,0,chroma,chromatic,parasite,cheek,22,-0.28
p27,e050,obs,1,reptilia,Gallotia,Gallotia_galloti,male,0,hue,chromatic,condition,cheek,17,0.62
p27,e051,obs,1,reptilia,Gallotia,Gallotia_galloti,female,0,hue,chromatic,condition,cheek,23,0.41
p27,e052,obs,1,reptilia,Gallotia,Gallotia_galloti,male,0,hue,chromatic,parasite,cheek,17,-0.37
