StudyNo,EffectID,Author,Year,Journal,Species,Phylum,ExptLifeStage,ManipType,CatchUp,Sex,SexDiff,StageType,AdultDiet,NStartControl,NStartExpt,lnHR,varlnHR
39,1,Barrett,2009,PRSB,Cockroach,Invertebrate,Postnatal,Quality,1.Unk,F,NA,Juv,R,75,57,0.726588337,0.042646821
39,2,Barrett,2009,PRSB,Cockroach,Invertebrate,Postnatal,Quality,1.Unk,F,NA,Juv,C,76,57,0.752637047,0.040645155
39,3,Barrett,2009,PRSB,Cockroach,Invertebrate,Postnatal,Quality,1.Unk,F,NA,Juv,R,75,57,0.04415792,0.0399961
39,4,Barrett,2009,PRSB,Cockroach,Invertebrate,Postnatal,Quality,1.Unk,F,NA,Juv,C,76,57,0.120958543,0.038066061
106,5,Cheney,1983,JGerontol,Mouse,Vertebrate,Postnatal,Quantity,1.Unk,F,NA,Prewean,C,49,40,-0.210380734,0.064640334
41,7,Kelly,2014,JEvolBiol,TexasFieldCricket,Invertebrate,Postnatal,Quality,2.No,F,Y,Juv,C,15,6,0.30767104,0.337478962
41,8,Kelly,2014,JEvolBiol,TexasFieldCricket,Invertebrate,Postnatal,Quality,2.No,F,Y,Juv,C,15,7,0.266570535,0.310301799
41,9,Kelly,2014,JEvolBiol,TexasFieldCricket,Invertebrate,Postnatal,Quality,2.No,F,Y,Juv,C,55,28,-0.655987611,0.083588934
41,10,Kelly,2014,JEvolBiol,TexasFieldCricket,Invertebrate,Postnatal,Quality,2.No,M,Y,Juv,C,25,15,1.260843904,0.159055947
12,11,Langley-Evans,2006,FEBSLett,Rat,Vertebrate,Prenatal,Quality,2.No,B,N,Gest,C,23,22,-0.439770781,0.12883935
12,12,Langley-Evans,2006,FEBSLett,Rat,Vertebrate,Prenatal,Quality,2.No,B,N,Gest,C,23,19,-0.385112537,0.1426911
12,13,Langley-Evans,2006,FEBSLett,Rat,Vertebrate,Prenatal,Quality,2.No,B,N,Gest,C,23,18,-0.176998752,0.128272719
12,14,Langley-Evans,2006,FEBSLett,Rat,Vertebrate,Prenatal,Quality,2.No,B,N,Gest,C,23,22,-0.439990085,0.130912383
57,15,Lynch,1983,ExpGerontol,DaphniaPulex,Invertebrate,Prenatal,Quality,2.No,F,NA,Gest ,C,30,30,0.243837858,0.083219543
57,16,Lynch,1983,ExpGerontol,DaphniaPulex,Invertebrate,Prenatal,Quality,2.No,F,NA,Gest,R,30,30,-0.074356646,0.099929325
94,17,Partadiredja,2010,NutNeuroscience,Mouse,Vertebrate,PreNatal-PostNatal,Quantity,3.Yes,F,NA,GestPrewean,C,41,43,0.095895547,0.059805342
25,18,Sayer,2001,Gerontol,Rat,Vertebrate,Prenatal,Quality,2.No,F,Y,Gest,C,19,13,0.513963544,0.163276609
25,19,Sayer,2001,Gerontol,Rat,Vertebrate,Prenatal,Quality,2.No,M,Y,Gest,C,15,12,0.129852649,0.181283274
92,20,Sun,2009,JGerontol,Mouse,Vertebrate,Postnatal,Quantity,2.No,B,Y,Prewean,C,25,36,-0.666829993,0.120819812
92,21,Sun,2009,JGerontol,Mouse,Vertebrate,Postnatal,Quality,3.Yes,B,N,Prewean,C,25,25,-0.244788113,0.116218009
100,22,Tu,2003,AgingCell,Drosophila,Invertebrate,Postnatal,Quality,2.No,B,N,Juv,C,465,237,0.307669508,0.009851658
83,23,Zajistchek,2009,FuncEcol,BlackFieldCricket,Invertebrate,Postnatal,Quality,1.Unk,F,Y,Juv,R,62,63,0.064732095,0.042171938
83,24,Zajistchek,2009,FuncEcol,BlackFieldCricket,Invertebrate,Postnatal,Quality,1.Unk,F,Y,Juv,C,62,62,-0.086179878,0.044160048
