Parasite species,Phylum,Class,Family,Host species,Host taxon,CMean,CSD,CN,EMean,ESD,EN,Transmission by predation/vector or not,spontaneous or stimulus response,Behaviour details,Year of publication,Reference,Expected direction of change
Hymenolepis diminuta,Platyhelminthes,Cestoda,Hymenolepididae,Tenebrio molitor,Insect,7.5,1.39,12,5.5,2.42,12,Yes,Spontaneous,Time spent moving by females,1991,Hurd & Fogo (1991),Increase
Hymenolepis diminuta,Platyhelminthes,Cestoda,Hymenolepididae,Tenebrio molitor,Insect,8.3,0.69,12,5.8,3.12,12,Yes,Spontaneous,Time spent moving by males,1991,Hurd & Fogo (1991),Increase
mermithid sp.,Nematoda,Adenophorea,Mermithidae,Ameletus similior,Insect,4,11,121,9.8,11.49,33,No,Spontaneous,Distance walked,1990,Benton & Pritchard (1990),No change
mermithid sp.,Nematoda,Adenophorea,Mermithidae,Ameletus similior,Insect,80,110,121,420,172.3,33,No,Spontaneous,Distance swum,1990,Benton & Pritchard (1990),No change
mermithid sp.,Nematoda,Adenophorea,Mermithidae,Ameletus similior,Insect,85,110,121,425,172.5,33,No,Response,Moved with current,1990,Benton & Pritchard (1990),No change
mermithid sp.,Nematoda,Adenophorea,Mermithidae,Ameletus similior,Insect,7,24.2,121,0.4,2.3,33,No,Response,Moved against current,1990,Benton & Pritchard (1990),No change
Eubothrium salvelini,Platyhelminthes,Cestoda,Triaenophoridae,Cyclops vernalis,Crustacean,191.14,56.88,42,151.64,43.96,33,Yes,Spontaneous,Time spent motionless,1992,Poulin et al. (1992),Decrease
Eubothrium salvelini,Platyhelminthes,Cestoda,Triaenophoridae,Cyclops vernalis,Crustacean,23.93,12.93,42,32.49,12.12,33,Yes,Spontaneous,Distance travelled,1992,Poulin et al. (1992),Increase
Eubothrium salvelini,Platyhelminthes,Cestoda,Triaenophoridae,Cyclops vernalis,Crustacean,47.26,69.53,42,41.58,64.55,33,Yes,Response,Time in upper 5 cm of water,1992,Poulin et al. (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,46,25.5,26,43,24,36,Yes,Spontaneous,% time active by males under red light,1992,Gotelli & Moore (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,28,25.5,26,15,18,36,Yes,Spontaneous,% time active by males under white light,1992,Gotelli & Moore (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,28,15.8,10,27,17.4,19,Yes,Spontaneous,% time active by females under red light,1992,Gotelli & Moore (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,28,12.6,10,45,39.2,19,Yes,Spontaneous,% time active by females under white light,1992,Gotelli & Moore (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Blattella germanica,Insect,37,25,25,45,20.6,17,Yes,Spontaneous,% time active by males under red light,1992,Gotelli & Moore (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Blattella germanica,Insect,20,20,25,12,16.5,17,Yes,Spontaneous,% time active by males under white light,1992,Gotelli & Moore (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Blattella germanica,Insect,45,20,25,50,20,25,Yes,Spontaneous,% time active by females under red light,1992,Gotelli & Moore (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Blattella germanica,Insect,31,30,25,20,20,25,Yes,Spontaneous,% time active by females under white light,1992,Gotelli & Moore (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,515,458.9,26,470,420,36,Yes,Spontaneous,Distance travelled by males under red light,1992,Gotelli & Moore (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,395,535,26,210,540,36,Yes,Spontaneous,Distance travelled by males under white light,1992,Gotelli & Moore (1992),Increase
