Species name,Seed plant/Spore plant,Woody/Herbaceous,Broadleaved tree/Coniferous tree,Evergreen tree/Deciduous tree,Legume/Non-legume,Annual herb/Perennial herb,Grass/Forb/Shrub/Tree,C3/C4,Tissue types,mean_control,mean_treatment,SD_control,SD_treatment,N_control,N_treatment,units,Reference,N amount (g m-2yr-1),MAT,MAP(mm),Latitude,Other resources
Abutilon theophrasti,Seedplant,Herbaceous,*,*,Non-legume,Annual,Forb,*,aboveground,0,0.2,0,0.2,11,13,g,Cahill JF 1999 ,8.4,*,*,34.7,Control
Acacia mearnsii,Seedplant,Woody,Broadleaved,Evergreen,Legume,*,Tree,*,aboveground,363,896,249.4,0.3,12,12,g,Forrester DI et al. 2006,*,*,630,35.2,Control
Acacia mearnsii,Seedplant,Woody,Broadleaved,Evergreen,Legume,*,Tree,*,aboveground,498,1329,249.4,0,12,12,g,Forrester DI et al. 2006,*,*,630,35.2,Control
Acacia nilotica,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,branch/twig,0.9,1.2,0.8,0.7,3,3,g,Khurana and Singh 2004,3,20,1145,25.2,Control
Acacia nilotica,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,branch/twig,0.9,1.5,0.7,0.6,3,3,g,Khurana and Singh 2004,3,20,1145,25.2,Control
Acacia nilotica,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,root,0.4,0.7,0.2,0.4,3,3,g,Khurana and Singh 2004,3,20,1145,25.2,Control
Acacia nilotica,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,root,0.4,0.5,0.2,0.2,3,3,g,Khurana and Singh 2004,3,20,1145,25.2,Control
Acacia nilotica,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,branch/twig,0.9,0.9,0.7,0.7,3,3,g,Khurana and Singh 2004,6,20,1145,25.2,Control
Acacia nilotica,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,root,0.4,0.7,0.2,0.2,3,3,g,Khurana and Singh 2004,6,20,1145,25.2,Control
Acacia nilotica,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,branch/twig,0.9,1.8,0.8,0.7,3,3,g,Khurana and Singh 2004,12,20,1145,25.2,Control
Acacia nilotica,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,branch/twig,0.9,1.5,0.7,0.7,3,3,g,Khurana and Singh 2004,12,20,1145,25.2,Control
Acacia nilotica,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,branch/twig,0.9,2.1,0.8,0.6,3,3,g,Khurana and Singh 2004,12,20,1145,25.2,Control
Acacia salicina,Seedplant,Woody,*,*,Legume,*,Shrub,*,root,1.8,16.9,1.8,1.2,4,4,g,Oliet JA et al. 2005,1.4,18.5,2002,36.5,Facilitated
Acacia salicina,Seedplant,Woody,*,*,Legume,*,Shrub,*,shoot,0.7,8.8,0.4,0.4,4,4,g,Oliet JA et al. 2005,1.4,18.5,2002,36.5,Facilitated
Acacia salicina,Seedplant,Woody,*,*,Legume,*,Shrub,*,root,1.8,22.1,1.8,1,4,4,g,Oliet JA et al. 2005,1.7,18.5,2002,36.5,Facilitated
Acacia salicina,Seedplant,Woody,*,*,Legume,*,Shrub,*,shoot,0.7,3.6,0.4,1.2,4,4,g,Oliet JA et al. 2005,1.7,18.5,2002,36.5,Facilitated
Acacia salicina,Seedplant,Woody,*,*,Legume,*,Shrub,*,shoot,0.7,9.5,0.4,0,4,4,g,Oliet JA et al. 2005,2.5,18.5,2002,36.5,Facilitated
Acacia salicina,Seedplant,Woody,*,*,Legume,*,Shrub,*,shoot,0.7,7.7,0.4,1.2,4,4,g,Oliet JA et al. 2005,2.5,18.5,2002,36.5,Facilitated
Acacia salicina,Seedplant,Woody,*,*,Legume,*,Shrub,*,root,1.8,22.8,1.8,0.3,4,4,g,Oliet JA et al. 2005,3.6,18.5,2002,36.5,Facilitated
Acacia salicina,Seedplant,Woody,*,*,Legume,*,Shrub,*,root,1.8,26.7,1.8,0.4,4,4,g,Oliet JA et al. 2005,3.6,18.5,2002,36.5,Facilitated
Acacia salicina,Seedplant,Woody,*,*,Legume,*,Shrub,*,root,1.8,9.7,1.8,1.8,4,4,g,Oliet JA et al. 2005,*,18.5,2002,36.5,Facilitated
Acacia salicina,Seedplant,Woody,*,*,Legume,*,Shrub,*,root,1.8,18.8,1.8,0,4,4,g,Oliet JA et al. 2005,*,18.5,2002,36.5,Facilitated
Acacia salicina,Seedplant,Woody,*,*,Legume,*,Shrub,*,shoot,0.7,7.2,0.4,1,4,4,g,Oliet JA et al. 2005,*,18.5,2002,36.5,Facilitated
Acacia salicina,Seedplant,Woody,*,*,Legume,*,Shrub,*,shoot,0.7,5.7,0.4,0.3,4,4,g,Oliet JA et al. 2005,*,18.5,2002,36.5,Facilitated
Acer pensylvanicum,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,aboveground,1,5.6,0.1,0.5,6,6,g,Bazzaz and Miao1993,40,*,*,42.4,CO2
Acer pensylvanicum,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,belowground,0.8,4,0,0.2,6,6,g,Bazzaz and Miao1993,40,*,*,42.4,CO2
Acer pensylvanicum,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,wholeplant,23,120,2.1,8.5,6,6,g,Bazzaz and Miao1993,40,*,*,42.4,CO2
Acer pensylvanicum,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,wholeplant,0.9,10.5,0.1,1.2,6,6,g,Bazzaz and Miao1993,40,*,*,42.4,CO2
Acer pensylvanicum,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,wholeplant,45,190,3.2,14,6,6,g,Bazzaz and Miao1993,40,*,*,42.4,CO2
Acer pensylvanicum,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,wholeplant,1.6,14.4,0.3,0.8,6,6,g,Bazzaz and Miao1993,40,*,*,42.4,CO2
Acer pensylvanicum,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,wholeplant,0.5,3.7,0.4,0.4,6,6,g,Bazzaz and Miao1993,40,*,*,42.4,CO2
Acer pensylvanicum,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,aboveground,0.6,2.8,0.1,0.3,6,6,g,Bazzaz and Miao1993,40,*,*,42.4,Control
Acer pensylvanicum,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,belowground,0.4,2,0,0.2,6,6,g,Bazzaz and Miao1993,40,*,*,42.4,Control
Acer pensylvanicum,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,wholeplant,25,116,1.8,8,6,6,g,Bazzaz and Miao1993,40,*,*,42.4,Control
Acer pensylvanicum,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,wholeplant,26,110,3.2,18,6,6,g,Bazzaz and Miao1993,40,*,*,42.4,Control
Acer platanoides,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,leaf,42.1,50.2,4.4,6,4,4,g m-2,Portsmuth and Niinemets 2006a,*,*,*,59.2,Control
Acer platanoides,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,leaf,35.2,38.3,2.2,4.8,4,4,g m-2,Portsmuth and Niinemets 2006a,*,*,*,59.2,Control
Acer rubrum,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,belowground,0.8,5.3,0.1,0.3,6,6,g,Bazzaz and Miao1993,40,*,*,42.4,CO2
Acer rubrum,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,wholeplant,45,255,4.2,38,6,6,g,Bazzaz and Miao1993,40,*,*,42.4,CO2
Acer rubrum,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,wholeplant,1.2,18.5,0.1,2.1,6,6,g,Bazzaz and Miao1993,40,*,*,42.4,CO2
Acer rubrum,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,wholeplant,2.4,19.7,0.3,0.9,6,6,g,Bazzaz and Miao1993,40,*,*,42.4,CO2
Acer rubrum,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,wholeplant,35,220,1.8,23,6,6,g,Bazzaz and Miao1993,40,*,*,42.4,Control
Acer rubrum,Seedplant,Woody,Broadleaved,Deciduous,Non-legume,*,Tree,*,wholeplant,1.1,6.8,0.2,0.5,6,6,g,Bazzaz and Miao1993,40,*,*,42.4,Limited
Achillea millefolium,Seedplant,Herbaceous,*,*,Non-legume,Perennial,Forb,C3,wholeplant,337,49.5,263.4,128.1,3,3,g m-2,Fridley JD et al. 2003,90,16.4,*,42.3,P
Achillea millefolium,Seedplant,Herbaceous,*,*,Non-legume,Perennial,Forb,C3,wholeplant,291.8,111,469.8,113.9,3,3,g m-2,Fridley JD et al. 2003,90,16.4,*,42.3,P
Achillea millefolium,Seedplant,Herbaceous,*,*,Non-legume,Perennial,Forb,C3,shoot,3.1,3.2,1.1,3,6,6,g,Johnson NC et al..2003,4,*,330,35.2,CO2
Achillea millefolium,Seedplant,Herbaceous,*,*,Non-legume,Perennial,Forb,C3,shoot,5.1,6.1,1.5,2,6,6,g,Johnson NC et al..2003,4,*,330,35.2,CO2
Achillea millefolium,Seedplant,Herbaceous,*,*,Non-legume,Perennial,Forb,C3,shoot,5.9,4,1,1.4,6,6,g,Johnson NC et al..2003,4,*,330,35.2,Control
Achillea millefolium,Seedplant,Herbaceous,*,*,Non-legume,Perennial,Forb,C3,shoot,6,8.1,2.2,6.4,6,6,g,Johnson NC et al..2003,4,*,330,35.2,Control
Achillea millefolium,Seedplant,Herbaceous,*,*,Non-legume,Perennial,Forb,C3,aboveground,266,295,42,42,4,4,g m-2,Reich PB et al. 2001,4,6.7,660,45,Control
Achillea millefolium,Seedplant,Herbaceous,*,*,Non-legume,Perennial,Forb,C3,belowground,944,770,118,118,4,4,g m-2,Reich PB et al. 2001,4,6.7,660,45,Control
Aegilops kotschyi,Seedplant,Herbaceous,*,*,*,Annual,Grass,*,aboveground,48.2,110.8,5.8,16.1,5,5,g m-2,Grunzweig JM et al. 2003,3,*,*,31.2,CO2
Aegilops kotschyi,Seedplant,Herbaceous,*,*,*,Annual,Grass,*,aboveground,55.4,157.9,11.5,18.4,5,5,g m-2,Grunzweig JM et al. 2003,3,*,*,31.2,CO2
Aegilops kotschyi,Seedplant,Herbaceous,*,*,*,Annual,Grass,*,aboveground,61.5,171.3,6.9,21.8,5,5,g m-2,Grunzweig JM et al. 2003,3,*,*,31.2,CO2
Aextoxicon punctatum,Seedplant,Woody,Broadleaved,Evergreen,Non-legume,*,Tree,*,wholeplant,0.7,1.5,0.2,0,12,12,g,Lusk CH et al. 1997,*,14.4,*,36,Control
Aextoxicon punctatum,Seedplant,Woody,Broadleaved,Evergreen,Non-legume,*,Tree,*,wholeplant,0.7,5,0.2,0,12,12,g,Lusk CH et al. 1997,*,14.4,*,36,Control
Agropyron repens,Seedplant,Herbaceous,*,*,*,Perennial,Grass,C3,shoot,14.8,16.6,13.7,10.6,6,6,g,Johnson NC et al..2003,4,*,330,35.2,CO2
Agropyron repens,Seedplant,Herbaceous,*,*,*,Perennial,Grass,C3,shoot,13.4,19.3,7.8,8,6,6,g,Johnson NC et al..2003,4,*,330,35.2,CO2
Agropyron repens,Seedplant,Herbaceous,*,*,*,Perennial,Grass,C3,shoot,9.8,15.7,4.8,10,6,6,g,Johnson NC et al..2003,4,*,330,35.2,Control
Agropyron repens,Seedplant,Herbaceous,*,*,*,Perennial,Grass,C3,shoot,14.3,23.9,5,12.4,6,6,g,Johnson NC et al..2003,4,*,330,35.2,Control
Agropyron repens,Seedplant,Herbaceous,*,*,*,Perennial,Grass,C3,aboveground,282,333,42,42,4,4,g m-2,Reich PB et al. 2001,4,6.7,660,45,Control
Agropyron repens,Seedplant,Herbaceous,*,*,*,Perennial,Grass,C3,belowground,883,1037,118,118,4,4,g m-2,Reich PB et al. 2001,4,6.7,660,45,Control
Agropyron repens,Seedplant,Herbaceous,*,*,*,Perennial,Grass,C3,aboveground,1.1,3,1.5,3.7,6,6,g m-2,Tilman GD 1984,13.6,6.7,765,45,Control
Agropyron repens,Seedplant,Herbaceous,*,*,*,Perennial,Grass,C3,aboveground,0.5,2.8,0.7,3.7,6,6,g m-2,Tilman GD 1984,13.6,6.7,765,45,Control
Agropyron smithii,Seedplant,Herbaceous,*,*,*,Perennial,Grass,C3,aboveground,44,125.6,16.3,0.3,6,6,g m-2,Vinton MA et al. 1995,12.5,9.5,309,40.5,Control
Agropyron smithii,Seedplant,Herbaceous,*,*,*,Perennial,Grass,C3,belowground,43.3,99.7,10.1,1.8,6,6,g m-2,Vinton MA et al. 1995,12.5,9.5,309,40.5,Control
Agropyron smithii,Seedplant,Herbaceous,*,*,*,Perennial,Grass,c3,root,144.9,403,28.5,53,5,5,g m-2,Boryslawski Z et al. 1985,*,*,660,40.9,Control
Agropyron smithii,Seedplant,Herbaceous,*,*,*,Perennial,Grass,c3,root,52.2,149.3,23.1,27.5,5,5,g m-2,Boryslawski Z et al. 1985,*,*,660,40.9,Control
Agropyron smithii,Seedplant,Herbaceous,*,*,*,Perennial,Grass,c3,shoot,84.7,173.4,25,34.4,5,5,g m-2,Boryslawski Z et al. 1985,*,*,660,40.9,Control
Agropyron smithii,Seedplant,Herbaceous,*,*,*,Perennial,Grass,c3,shoot,13.7,72.4,13.7,40.7,5,5,g m-2,Boryslawski Z et al. 1985,*,*,660,40.9,Control
Agropyron smithii,Seedplant,Herbaceous,*,*,*,Perennial,Grass,C3,leaf,12.3,19.5,6.2,13.3,8,8,g m-2,Jaramillo VJ et al. 1992,51,*,338,41,Control
Agropyron smithii,Seedplant,Herbaceous,*,*,*,Perennial,Grass,C3,leaf,17.4,36,9.3,27.4,8,8,g m-2,Jaramillo VJ et al. 1992,51,*,338,41,Control
Agropyron smithii,Seedplant,Herbaceous,*,*,*,Perennial,Grass,C3,wholeplant,0.1,0.2,0,0.1,8,8,g,Jaramillo VJ et al. 1992,51,*,338,41,Control
Agropyron smithii,Seedplant,Herbaceous,*,*,*,Perennial,Grass,C3,wholeplant,0.1,0.2,0,0,8,8,g,Jaramillo VJ et al. 1992,51,*,338,41,Control
